taxon_id	input	rank	suggested
1107802	Megaleptyphantes	genus	Megalepthyphantes
	Myriapoda	class	myrianida
2882180	Kelisia vittipenis	species	Kelisia vittipennis
27427	Myrmeleonidae	family	Myrmeleontidae
	Agonoxenidae	family	agonoxeninae
1870142	Oxyptilus parvidactylus	species	Oxyptilus parvidactyla
	Ethmiidae	family	stomiidae	ethmiinae	etheriidae
	Aglais	genus	aglaia	agelas
	Sipuncula	order	sipunculus
2592946	Schizotrichidae	family	Rhizotrichidae
126420	Acanthochiton crinitus	species	Acanthochitona crinita
83166	Neobisidae	family	Neobisiidae
2844362	Cradoscrupocellaria ellisi	species	Cradoscrupocellaria ellisii
2886804	Acetropis gimmerthali	species	Acetropis gimmerthalii
95463	Scatophaga stercoraria	species	Scathophaga stercoraria
