institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	10422586	Dry frozen (-80°C)		Insecta	Diptera	?chloropidae			2023	sample_collected	DTOL	NHM
NHMUK	10422585	Dry frozen (-80°C)	Arthropoda	Insecta	Raphidioptera	Raphidiidae	Xanthostigma	corsicum	2023	sample_collected	DTOL	NHM
NHMUK	10422622	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Tortricidae	Archips	podana	2023	sample_collected	DTOL	NHM
NHMUK	10422386	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Tortricidae	Archips	podana	2023	sample_collected	DTOL	NHM
NHMUK	10060722	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Tortricidae	Archips	podana	2022	sample_collected	DTOL	NHM
NHMUK	10422553	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Eriocraniidae	Eriocrania	sparmannella	2023	sample_collected	DTOL	NHM
NHMUK	10422540	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Tortricidae	Ancylis	mitterbachiana	2023	sample_collected	DTOL	NHM
NHMUK	9968908	Dry frozen (-80°C)		Actinopterygii	Aulopiformes	Synodontidae	Bathysaurus	sp	2022	sample_collected	DTOL	NHM
NHMUK	9248401	Liquid Nitrogen	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2020	sample_collected	DTOL	NHM
NHMUK	9414762	Dry frozen (-80°C)	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9414761	Dry frozen (-80°C)	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9414760	Dry frozen (-80°C)	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9422572	70% ethanol	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9422571	70% ethanol	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9422561	70% ethanol	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	9422559	70% ethanol	Mollusca	Gastropoda	Apogastropoda	Pomatiidae	Pomatias	elegans	2021	sample_collected	DTOL	NHM
NHMUK	10061470	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Chloropidae	Chlorops	calceatus	2022	sample_collected	DTOL	NHM
NHMUK	9203171	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9203167	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9203168	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9203164	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248454	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248450	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248448	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248441	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248453	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248452	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248451	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248447	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248446	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248445	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248444	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248443	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	9248442	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	10247461	Dry frozen (-80°C)							2022	sample_collected	DTOL	NHM
NHMUK	10176568	Dry frozen (-80°C)							2022	sample_collected	DTOL	NHM
NHMUK	9968235	Dry frozen (-80°C)	Annelida							sample_collected	DTOL	NHM
NHMUK	9588947	80% ethanol	Echinodermata						2021	sample_collected	DTOL	NHM
NHMUK	9254304	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	9473963	80% ethanol	Nemertea						2021	sample_collected	DTOL	NHM
NHMUK	9528238	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	9169676	Ethanol					Physella		2018	sample_collected	DTOL	NHM
NHMUK	9588981	80% ethanol	Nemertea						2021	sample_collected	DTOL	NHM
NHMUK	9528228	IMS 80% (fixed in formalin)	Nemertea						2019	sample_collected	DTOL	NHM
NHMUK	9528220	IMS 80% (fixed in formalin)	Nemertea						2019	sample_collected	DTOL	NHM
NHMUK	9443150	Dry frozen (-80°C)	Nemertea						2021	sample_collected	DTOL	NHM
NHMUK	9968228	Dry frozen (-80°C)								sample_collected	DTOL	NHM
NHMUK	9528256	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	9528232	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	9528229	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	9528222	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	9474052	100% ethanol	Bryozoa						2021	sample_collected	DTOL	NHM
NHMUK	9294636	Liquid Nitrogen							2021	sample_collected	DTOL	NHM
NHMUK	9170088	Ethanol	Mollusca				Physa		2018	sample_collected	DTOL	NHM
NHMUK	9170943	Ethanol	Mollusca				Physa		2013	sample_collected	DTOL	NHM
NHMUK	9170860	Ethanol	Mollusca				Physa		2013	sample_collected	DTOL	NHM
