taxon_id	input	rank	suggested
934816	Perizoma affinitata	species	Perizoma affinitatum
1763907	Anacharis eucharoides	species	Anacharis eucharioides
494157	Cybocephalus nipponicus	species	Diplazon annulatus
1107802	Megaleptyphantes	genus	Megalepthyphantes
2484562	Rhagio scolopacea	species	Rhagio scolopaceus
2784597	Anoscopus histrionica	species	Anoscopus histrionicus
2886804	Acetropis gimmerthali	species	Acetropis gimmerthalii
1553790	Telmatophilus schonherrii	species	Telmatophilus schoenherrii
1720744	Rhagio tringaria	species	Rhagio tringarius
987421	Eilema lurideola	species	Eilema lurideolum
988056	Allophyes oxycanthae	species	Allophyes oxyacanthae
	Myriapoda	class	myrianida
1091202	Platyarthrus hoffmannseggi	species	Platyarthrus hoffmannseggii
333359	Nolella dilatata	species	Nitella clavata
