institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9505111	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Pteromalidae	Callitula	bicolor	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9505109	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Pteromalidae	Callitula	bicolor	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9505110	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Pteromalidae	Callitula	bicolor	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294638	Liquid Nitrogen	Arthropoda	Insecta	Hymenoptera	Scelionidae	Baeus	seminulum	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294727	Liquid Nitrogen	Arthropoda	Insecta	Hymenoptera	Tetracampidae	Epiclerus	panyas	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9414813	Dry frozen (-80°C)	Arthropoda	Arachnida	Araneae	Theridiidae	Rugathodes	instabilis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294636	Liquid Nitrogen							2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9170088	Ethanol	Mollusca				Physa		2018	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9170676	Ethanol	Mollusca				Pisidium		2013	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9170943	Ethanol	Mollusca				Physa		2013	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9171049	Ethanol	Mollusca				Pisidium		2013	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173253	Dry frozen (-200°C)	Mollusca				Pisidium		2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9170860	Ethanol	Mollusca				Physa		2013	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528257	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528258	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528255	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528256	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528238	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528232	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528229	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528228	IMS 80% (fixed in formalin)	Nemertea						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528222	IMS 80% (fixed in formalin)	Bryozoa						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528223	IMS 80% (fixed in formalin)	Porifera						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528220	IMS 80% (fixed in formalin)	Nemertea						2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9264507	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9264509	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9264512	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9169952	Ethanol	Nematomorpha						2018	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248446	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248158	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248170	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248171	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248151	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248159	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248164	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248166	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248168	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248169	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248176	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248519	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248520	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248522	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203164	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203167	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203168	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203169	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203171	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203177	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248084	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248512	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248513	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248514	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248515	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248516	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248517	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248518	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248521	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248101	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248147	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248156	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248157	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248165	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248167	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248444	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9254304	Liquid Nitrogen							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248441	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248442	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248443	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248445	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248447	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248448	100% ethanol							2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248450	100% ethanol							2020	sample_collected	DTOL	NHM
