taxon_id	input	rank	suggested
448512	Eleutherodactylus beguei	species	Eleutherodactylus inoptatus
1598024	Platymantis manus	species	Cornufer magnus
472304	Platymantis mimicus	species	Platymantis mimulus
126588	Nyctixalus pictum	species	Nyctixalus pictus
191201	Nyctixalus spinosum	species	Nyctixalus spinosus
2773048	Chiromantis simus	species	Danarma silus
1586410	Raorchestes primarrumpfi	species	Raorchestes primarrumfi
990557	Atelopus patazensis	species	Ateleopus natalensis
448947	Pristimantis wagteri	species	Pristimantis walkeri
333685	Petropedetes newtonii	species	Petropedetes newtoni
1267581	Tylototriton lizhengchangi	species	Tylototriton lizhenchangi
2420076	Scinax atratus	species	Scinax auratus
544672	Aubria occidentalis	species	Sacoglottis gabonensis
1967703	Nymphargus armatus	species	Niphargus armatus
926301	Philautus dubius	species	Philanthus politus
745276	Phrynobatrachus hylaios	species	Phrynobatrachus hylaois
2249821	Xenophrys caudoprocta	species	Megophrys caudoprocta
402886	Xenophrys lekaguli	species	Xenophrys legkaguli
2759542	Theloderma baibengense	species	Theloderma baibungense
197005	Litoria scabra	species	Tectarius antonii
2133923	Rana luanchuanensis	species	Rana luanchanensis
2153452	Xenophrys parallela	species	Megophrys parallela
2898653	Xenophrys tuberogranulatus	species	Panophrys tuberogranulata
1903879	Xenophrys wuliangshanensis	species	Megophrys wuliangshanensis
1903880	Xenophrys wushanensis	species	Megophrys wushanensis
2864240	Oreophryne graminus	species	Oreophryne graminis
427939	Chalcorana mocquardii	species	Chalcorana mocquardi
453407	Chalcorana parvaccola	species	Hylarana parvacola
690698	Pseudophilautus hoffmanni	species	Pseudophilautus hoffmani
1033715	Lysapsus boliviana	species	Lysapsus bolivianus
1498885	Micrixalus uttaraghaati	species	Micrixalus uttaraghati
2135415	Plethodonthyla laevis	species	Plethodontohyla laevis
8389	Anaxyrus mexicanus	species	Anaxyrus americanus
586090	Diasporus igneus	species	Phyllanthus aeneus
209478	Pseudophilautus temporalis	species	Pseudophilautus femoralis
357742	Dicrurus annectens	species	Dicrurus annectans
1689844	Montecincla meridionale	species	Montecincla meridionalis
172678	Eupodotis rueppelii	species	Eupodotis rueppellii
44144	Ophrysia † superciliosa †	species	Uranoscodon superciliosus
1638936	Dendrocoptes dorae	species	Dendrocopos dorae
1517829	Dendrocoptes auriceps	species	Leiopicus auriceps
245048	Buphagus erythrorynchus	species	Buphagus erythrorhynchus
39106	Glaucidium palmarum	species	Glaucidium palmatum
	Sylvia deserti	species	salvia deserta	salvia deserti
207705	Rhaphidura leucopygialis	species	Raphidura leucopygialis
1226242	Piezorina cinerea	species	Piezorhina cinerea
156162	Megalampitta gigantea	species	Melampitta gigantea
2153416	Dicaeum nitidum	species	Puccinia nitida
165740	Leuconotopicus borealis	species	Picoides borealis
372364	Leuconotopicus arizonae	species	Picoides arizonae
165750	Leuconotopicus stricklandi	species	Picoides stricklandi
33589	Leptoptilos crumenifer	species	Leptoptilos crumeniferus
1226211	Sicalis uropigyalis	species	Sicalis uropygialis
265644	Melanopareia bitorquata	species	Melanopareia torquata
2039007	Dryocopus schulzii	species	Dryocopus schulzi
721887	Lanius borealis	species	Lanius dorsalis
	Otus fuliginosus	species	lotus uliginosus
240730	Tricholaema lacrymosa	species	Tricholaema lachrymosa
62259	Geothlypis velata	species	Leiothlypis celata
126803	Otus enganensis	species	Bubo bengalensis
105628	Aethopyga magnifica	species	Astropyga magnifica
9118	Grus carunculata	species	Grus carunculatus
316358	Trogon caligatus	species	Jaydia carinatus
1356389	Machlolophus aplonotus	species	Machlolophus spilonotus
	Arremon phaeopleurus	species	buarremon phaeopleurus
388994	Scleroptila streptophora	species	Scleroptila streptophorus
65363	Atlapetes flaviceps	species	Atlapetes fulviceps
476438	Sylviorthorhynchus desmurii	species	Sylviorthorhynchus desmursii
2608421	Cephaloscyllium sarawakense	species	Cephaloscyllium sarawakensis
2717101	Oxynotus japonicus	species	Oxyporus japonicus
495824	Apristurus canutus	species	Apristurus platyrhynchus
1455673	Chiloscyllium burmense	species	Chiloscyllium burmensis
182853	Raja ocellifera	species	Raja miraletus
	Raja pita	species	rana picta	raja picta
393601	Rhinolophus yunanensis	species	Rhinolophus yunnanensis
160451	Hydromys neobritannicus	species	Hydromys neobrittanicus
10149	Hydrochoeris hydrochaeris	species	Hydrochoerus hydrochaeris
52631	Crocidura xantippe	species	Crocidura suaveolens
656091	Crocidura zimmeri	species	Crocidura wimmeri
8103	Cynopterus minutus	species	Cyclopterus lumpus
73861	Scarturus elator	species	Scarturus elater
2926629	Scarturus euphratica	species	Scarturus euphraticus
	Myoictis wallacii	species	myriactis wallichii	myoictis wallacei
2315243	Suncus zeylanicus	species	Scleria levis
594609	Dermanura incomitatus	species	Dermanura incomitata
	Dermanura rosenbergii	species	dermanura rosenbergi
2559806	Scotophilus livingstoni	species	Scotophilus livingstonii
160399	Oryzomys auriventer	species	Oryzomys couesi
141975	Sylvilagus cunicularius	species	Sylvilagus cunicularis
1100084	Gerbillus hoogstraali	species	Gerbillus hoogstrali
61406	Leopardus colocola	species	Leopardus colocolo
	Iomys horsfieldii	species	iomys horsfieldi	iodes horsfieldii
113357	Sorex bairdii	species	Sorex bairdi
9523	Callicebus regulus	species	Plecturocebus moloch
2678870	Alticola strelzowi	species	Alticola strelzovi
77229	Balioncyteris maculata	species	Balionycteris maculata
187019	Murina ryukyuana	species	Murina ryukyuna
112021	Lepus mandschuricus	species	Lepus mandshuricus
77149	Mustela eversmanii	species	Mustela eversmannii
9666	Mustela lutreolina	species	Mustela lutreola
2933645	Ptenochirus jagori	species	Ptenochirus jagorii
1330377	Melomys dollmani	species	Maxomys dollmani
2833618	Akodon bogotensis	species	Neomicroxus bogotensis
1088030	Nemorhaedus baileyi	species	Naemorhedus baileyi
2746145	Nemorhaedus evansi	species	Naemorhedus evansi
34871	Nemorhaedus goral	species	Naemorhedus goral
2946518	Pithecia pissinattii	species	Pithecia pissinatti
482537	Galeopterus variegates	species	Galeopterus variegatus
	Marmosa waterhousii	species	marmosa waterhousei
301547	Uromys neobritannicus	species	Uromys neobritanicus
395839	Cynogale bennettii	species	Cynogale bennetti
1305945	Tonkinomys daoventieni	species	Tonkinomys daovantieni
	Zyzomys palatilis	species	zyzomys palatalis	oryzomys palatinus
1582106	Mormopterus doriae	species	Mormopterus loriae
94186	Viverra civettina	species	Civettictis civetta
2033321	Proechimys trinitatus	species	Proechimys trinitatis
1969016	Tragulus versicolor	species	Zephlebia versicolor
415757	Microcebus manitatra	species	Microcebus mamiratra
32554	Ningaui yvonneae	species	Ningaui yvonnae
1488330	Crocidura abscondita	species	Crocidura absconditus
	Urva fusca	species	ulva fusca
354189	Vulpes rueppelli	species	Vulpes rueppellii
561559	Crocidura raineyi	species	Crocidura baileyi
666515	Pelomys minor	species	Praomys minor
1567507	Neacomys pictus	species	Callistomys pictus
1932377	Nectomys palmipes	species	Nectomys rattus
	Neotoma martinensis	species	geonoma martinicensis
43872	Cavia intermedia	species	Aesculus pavia
504413	Conger jordani	species	Cancer jordani
2999881	Characidium grajahuense	species	Characidium grajahuensis
137034	Barbodes microps	species	Enteromius macrops
60258	Fundulopanchax cinnamomeus	species	Fundulopanchax cinnamomeum
2999882	Characidium japuhybense	species	Characidium japuhybensis
622434	Stonogobiops xanthorhinicus	species	Stonogobiops xanthorhinica
2999392	Amblyceps yunnanense	species	Amblyceps yunnanensis
2614514	Diaphus minax	species	Dianthus minae
181399	Sirembo amaculata	species	Sirembo imberbis
1671890	Melanorivulus kayapo	species	Melanorivulus kayopo
1851009	Fundulopanchax marmoratum	species	Fundulopanchax marmoratus
59239	Spectrunculus crassus	species	Arctica islandica
1210106	Alcockia rostrata	species	Medicago rostrata
260692	Garra emarginata	species	Oenothera suffrutescens
	Symphurus ocellatus	species	symphodus ocellatus	symphodus ocellaris	symphurus ocellaris
101349	Paraliparis mandibularis	species	Paralipsis enervis
469931	Rhamdia humilis	species	Garcinia lateriflora
47594	Asterropteryx striata	species	Astegopteryx bambusae
2495013	Ecsenius pictus	species	Ectemnius guttatus
1001338	Paralepis elongata	species	Paralomis elongata
337753	Rineloricaria uracanthus	species	Rineloricaria uracantha
264914	Scarus gracilis	species	Acarus gracilis
1987368	Typhlonus nasus	species	Typhlomys nanus
3000881	Paralepis speciosa	species	Paralepis speciosus
8078	Fundulus heteroclithus	species	Fundulus heteroclitus
136830	Rhamdia lauticauda	species	Rhamdia laticauda
2742150	Pareiodon orinocensis	species	Parodon orinocensis
2891206	Chromis ovatiformes	species	Pycnochromis ovatiformis
860926	Brycon labiatus	species	Doryctes erythromelas
643337	Puntioplites poctozysron	species	Puntioplites proctozystron
238269	Garra gracilis	species	Oenothera hexandra
1571789	Cobitis obtusirostra	species	Cobitis sp. YC-2014c
1917011	Bodianus opercularis	species	Bodianus neopercularis
3001232	Scorpaenopsis rubrimarginata	species	Scorpaenopsis rubrimarginatus
475767	Iberochondrostoma olisiponense	species	Iberochondrostoma olisiponensis
2731437	Mesonoemacheilus remadeviae	species	Mesonoemacheilus remadevii
1783473	Triplophysa kungessana	species	Triplophysa dorsalis
2497546	Labeo nunensis	species	Epalzeorhynchos munense
1365576	Hetereleotris caminata	species	Ptereleotris carinata
	Lycodes bevicaudus	species	lycodes brevicaudus
238034	Luciobrama macrocephala	species	Luciobrama macrocephalus
85417	Awaous commersonii	species	Gobius niger
1792971	Triplophysa laticeps	species	Triplophysa alticeps
630733	Hymenocephalus longipes	species	Hymenocephalus longiceps
857708	Opsarius karatensis	species	Opsarius koratensis
577599	Synodontis thamalakanensis	species	Synodontis thamalakalensis
3001670	Sinogastromyzon minutus	species	Sinogastromyzon minutum
341087	Microdesmus affinis	species	Microcosmus claudicans
45783	Percalates novemaculeatus	species	Percalates novemaculeata
334912	Polyprion oxygeneiosus	species	Polyprion oxygeneios
1843429	Bryconamericus charalae	species	Knodus chapadae
137743	Discotrema zonatum	species	Abortiporus biennis
1202428	Calamus taurinus	species	Calamus longisetus
1821187	Lamnostoma orientale	species	Lamnostoma orientalis
1676938	Schilbe angolensis	species	Schilbe marmoratus
1529631	Awaous pallidus	species	Agabus pallidus
1920054	Sewellia speciosa	species	Trinchesia speciosa
129059	Platybelone argulus	species	Platybelone argala
205135	Systomus tripuinctatus	species	Pethia ticto
400010	Tariqilabeo bicornis	species	Tariqlabeo bicornis
3000755	Clarias dayi	species	Salarias dayi
182656	Lethrinops argenteus	species	Lethrinus lentjan
1190665	Hypostomus nigropunctatus	species	Aphanotorulus unicolor
403904	Onychostoma angustistomatum	species	Onychostoma angustistomata
iyMyiNige	Myoxocephalus niger	species	Myiocephalus niger
337759	Sturisomatichthys festivus	species	Sturisoma festivum
1149022	Hoplias patana	species	Hoplitis parana
1450721	Lycodes microlepidotes	species	Lycodes microlepidotus
2690406	Nemacheilus pfeifrerae	species	Nemacheilus pfeifferae
516015	Opsariichthys hieni	species	Rasbora steineri
475991	Labrus cynaedus	species	Choerodon cyanodus
1524930	Onychostoma dongnaiense	species	Onychostoma dongnaiensis
