taxon_id	input	rank
1314669	Polychaeton citri CBS 116435	strain
1314798	Backusella circina FSU 941	strain
1395130	Massarina eburnea CBS 473.64	strain
1314672	Peniophora sp. CONT	species
1314674	Cylindrobasidium torrendii FP15055 ss-10	strain
301207	Macroventuria anomochaeta	species
1496277	Lizonia empirigonia	species
147558	Byssothecium circinans	species
55340	Amylostereum chailletii	species
1280837	Meira miltonrushii	species
1569628	Jaminaea rosea	species
1168545	Lentithecium fluviatile CBS 122367	strain
101142	Thamnidium elegans	species
1400700	Suillus brevipes Sb2	strain
245834	Neohortaea acidophila	species
1314790	Basidiobolus meristosporus CBS 931.73	strain
1314670	Lepidopterella palustris CBS 459.81	strain
1314800	Rhizopogon vinicolor AM-OR11-026	strain
1314802	Melanomma pulvis-pyrius CBS 109.77	strain
1168544	Cucurbitaria berberidis CBS 394.84	strain
1150837	Didymella exigua CBS 183.55	strain
879819	Cutaneotrichosporon oleaginosum	species
101127	Hesseltinella vesiculosa	species
97972	Periconia macrospinosa	species
1052685	Obba rivulosa	species
1450536	Guyanagaster necrorhizus MCA 3950	strain
2655010	Melanogaster broomeanus	species
64574	Radiomyces spectabilis	species
1884261	Pterula gracilis	species
470096	Pseudovirgaria hyperparasitica	species
230819	Coprinopsis marcescibilis	species
1076256	Armillaria solidipes	species
574789	Mytilinidion resinicola	species
139406	Kalaharituber pfeilii	species
1314799	Neoconidiobolus thromboides FSU 785	strain
68775	Crucibulum laeve	species
109894	Geranomyces variabilis	species
101123	Pilobolus umbonatus	species
378194	Epithele typhae	species
1314780	Piedraia hortae CBS 480.64	strain
1314788	Lophiostoma macrostomum CBS 122681	strain
149040	Mollisia scopiformis	species
1907219	Piptocephalis cylindrospora	species
100035	Massariosphaeria phaeospora	species
690887	Lophiotrema nucula	species
210430	Setomelanomma holmii	species
1048955	Tothia fuscella	species
85948	Didymosphaeria enalia	species
1448309	Hydnum rufescens UP504	strain
1485227	Leptodontidium sp. 2 PMI_412	species
1486700	Clavulina sp. PMI_390	species
47427	Armillaria gallica	species
71717	Coprinellus micaceus	species
378272	Irpex rosettiformis	species
388810	Blyttiomyces helicus	species
85980	Leucogyrophana mollusca	species
50990	Rickenella mellea	species
2066989	Pholiota molesta	species
64632	Mycotypha africana	species
4850	Blakeslea trispora	species
1883072	Cytidiella melzeri	species
1940300	Cristinia sonorae	species
1340429	Rhizopus microsporus ATCC 52813	strain
1392246	Amniculicola lignicola CBS 123094	strain
1392245	Dothidotthia symphoricarpi CBS 119687	strain
1314678	Umbelopsis ramanniana AG	strain
1176127	Aplosporella prunicola CBS 121167	strain
1314807	Dendrothele bispora CBS 962.96	strain
1392243	Eremomyces bilateralis CBS 781.70	strain
682080	Polyplosphaeria fusca	species
703511	Trichodelitschia bisporula	species
1328760	Xylona heveae TC161	strain
1513339	Delitschia confertaspora ATCC 74209	strain
1450552	Coniochaeta sp. PMI_546	species
1485228	Flagelloscypha sp. PMI_526	species
304332	Ramicandelaber brevisporus	species
5364	Heliocybe sulcata	species
1684307	Pseudomicrostroma glucosiphilum	species
72124	Hygrophoropsis aurantiaca	species
1132860	Paxillus ammoniavirescens	species
1231657	Clohesyomyces aquaticus	species
370292	Thelephora ganbajun	species
1763456	Calycina marina	species
78915	Thamnocephalis sphaerospora	species
