ncbi_taxon_id	species	family	target_list_status	sequencing_status	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
2593365	Neoechinorhynchus agilis	Neoechinorhynchidae	long_list		ATLASEA	ATLASEA											
185730	Paratenuisentis ambiguus	Tenuisentidae	long_list		ATLASEA	ATLASEA											
185727	Echinorhynchus truttae	Echinorhynchidae	long_list		ATLASEA	ATLASEA											
317564	Acanthocephalus lucii	Paracanthocephalidae	long_list		ATLASEA	ATLASEA											
141832	Pomphorhynchus laevis	Pomphorhynchidae	long_list		ATLASEA	ATLASEA											
2796527	Plagiorhynchus crassicollis	Plagiorhynchidae	long_list		ATLASEA	ATLASEA											
141827	Corynosoma strumosum	Polymorphidae	long_list		ATLASEA	ATLASEA											
272948	Polymorphus minutus	Polymorphidae	long_list		ATLASEA	ATLASEA											
188921	Pontodrilus litoralis	Megascolecidae	long_list		ATLASEA	ATLASEA											
735363	Cernosvitoviella atrata	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913640	Cernosvitoviella immota	Enchytraeidae	long_list		ATLASEA	ATLASEA											
6390	Enchytraeus albidus	Enchytraeidae	long_list		ATLASEA	ATLASEA											
735359	Enchytraeus capitatus	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913644	Enchytraeus christenseni	Enchytraeidae	long_list		ATLASEA	ATLASEA											
710200	Grania maricola	Enchytraeidae	long_list		ATLASEA	ATLASEA											
710203	Grania postclitellochaeta	Enchytraeidae	long_list		ATLASEA	ATLASEA											
253858	Grania variochaeta	Enchytraeidae	long_list		ATLASEA	ATLASEA											
735368	Henlea nasuta	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913665	Henlea perpusilla	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913666	Henlea ventriculosa	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913683	Lumbricillus buelowi	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913668	Lumbricillus kaloensis	Enchytraeidae	long_list		ATLASEA	ATLASEA											
735370	Lumbricillus lineatus	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913669	Lumbricillus rivalis	Enchytraeidae	long_list		ATLASEA	ATLASEA											
1812981	Lumbricillus viridis	Enchytraeidae	long_list		ATLASEA	ATLASEA											
913670	Marionina argentea	Enchytraeidae	long_list		ATLASEA	ATLASEA											
1962991	Marionina spicula	Enchytraeidae	long_list		ATLASEA	ATLASEA											
195543	Branchiura sowerbyi	Naididae	long_list		ATLASEA	ATLASEA											
212246	Chaetogaster diaphanus	Naididae	long_list		ATLASEA	ATLASEA											
74738	Amphichaeta sannio	Naididae	long_list		ATLASEA	ATLASEA											
188228	Nais communis	Naididae	long_list		ATLASEA	ATLASEA											
74736	Nais elinguis	Naididae	long_list		ATLASEA	ATLASEA											
212334	Nais variabilis	Naididae	long_list		ATLASEA	ATLASEA											
212338	Paranais frici	Naididae	long_list		ATLASEA	ATLASEA											
74742	Paranais litoralis	Naididae	long_list		ATLASEA	ATLASEA											
167838	Uncinais uncinata	Naididae	long_list		ATLASEA	ATLASEA											
1592939	Pectinodrilus rectisetosus	Naididae	long_list		ATLASEA	ATLASEA											
1592949	Thalassodrilus prostatus	Naididae	long_list		ATLASEA	ATLASEA											
74729	Baltidrilus costatus	Naididae	long_list		ATLASEA	ATLASEA											
74740	Clitellio arenarius	Naididae	long_list		ATLASEA	ATLASEA											
76587	Limnodrilus hoffmeisteri	Naididae	long_list		ATLASEA	ATLASEA											
1969978	Limnodrilus profundicola	Naididae	long_list		ATLASEA	ATLASEA											
146604	Limnodrilus udekemianus	Naididae	long_list		ATLASEA	ATLASEA											
745771	Potamothrix bavaricus	Naididae	long_list		ATLASEA	ATLASEA											
1515648	Potamothrix heuscheri	Naididae	long_list		ATLASEA	ATLASEA											
1515650	Potamothrix vejdovskyi	Naididae	long_list		ATLASEA	ATLASEA											
883178	Psammoryctides barbatus	Naididae	long_list		ATLASEA	ATLASEA											
6386	Tubifex tubifex	Naididae	long_list		ATLASEA	ATLASEA											
188241	Tubificoides benedii	Naididae	long_list		ATLASEA	ATLASEA											
883180	Tubificoides diazi	Naididae	long_list		ATLASEA	ATLASEA											
449241	Tubificoides heterochaetus	Naididae	long_list		ATLASEA	ATLASEA											
883183	Tubificoides insularis	Naididae	long_list		ATLASEA	ATLASEA											
188243	Tubificoides pseudogaster	Naididae	long_list		ATLASEA	ATLASEA											
60941	Branchellion torpedinis	Piscicolidae	long_list		ATLASEA	ATLASEA											
251686	Calliobdella lophii	Piscicolidae	long_list		ATLASEA	ATLASEA											
251658	Caspiobdella fadejewi	Piscicolidae	long_list		ATLASEA	ATLASEA											
60958	Piscicola geometra	Piscicolidae	long_list		ATLASEA	ATLASEA											
2099791	Heptacyclus brunneus	Piscicolidae	long_list		ATLASEA	ATLASEA											
83990	Pontobdella muricata	Piscicolidae	long_list		ATLASEA	ATLASEA											
1318637	Diurodrilus subterraneus	Diurodrilidae	long_list		ATLASEA	ATLASEA											
1541896	Asteromyzostomum grygieri	Asteromyzostomidae	long_list		ATLASEA	ATLASEA											
125277	Myzostoma alatum	Myzostomatidae	long_list		ATLASEA	ATLASEA											
124864	Myzostoma cirriferum	Myzostomatidae	long_list		ATLASEA	ATLASEA											
167815	Eurythoe complanata	Amphinomidae	long_list		ATLASEA	ATLASEA											
259844	Hermodice carunculata	Amphinomidae	long_list		ATLASEA	ATLASEA											
283778	Hipponoe gaudichaudi	Amphinomidae	long_list		ATLASEA	ATLASEA											
222009	Paramphinome jeffreysii	Amphinomidae	long_list		ATLASEA	ATLASEA											
427286	Pareurythoe borealis	Amphinomidae	long_list		ATLASEA	ATLASEA											
427283	Euphrosine armadillo	Euphrosinidae	long_list		ATLASEA	ATLASEA											
427284	Euphrosine foliosa	Euphrosinidae	long_list		ATLASEA	ATLASEA											
273051	Abarenicola claparedi	Arenicolidae	long_list		ATLASEA	ATLASEA											
699073	Arenicola defodiens	Arenicolidae	long_list		ATLASEA	ATLASEA											
6344	Arenicola marina	Arenicolidae	long_list		ATLASEA	ATLASEA											
2980191	Arenicolides branchialis	Arenicolidae	long_list		ATLASEA	ATLASEA											
273060	Arenicolides ecaudata	Arenicolidae	long_list		ATLASEA	ATLASEA											
205106	Branchiomaldane vincenti	Arenicolidae	long_list		ATLASEA	ATLASEA											
226073	Barantolla lepte	Capitellidae	long_list		ATLASEA	ATLASEA											
51294	Capitella capitata	Capitellidae	long_list		ATLASEA	ATLASEA											
283909	Capitella teleta	Capitellidae	long_list		ATLASEA	ATLASEA											
397554	Heteromastus filiformis	Capitellidae	long_list		ATLASEA	ATLASEA											
2855566	Mediomastus capensis	Capitellidae	long_list		ATLASEA	ATLASEA											
2980194	Mediomastus fragilis	Capitellidae	long_list		ATLASEA	ATLASEA											
167831	Notomastus latericeus	Capitellidae	long_list		ATLASEA	ATLASEA											
34590	Chaetopterus variopedatus	Chaetopteridae	long_list		ATLASEA	ATLASEA											
1723709	Mesochaetopterus minutus	Chaetopteridae	long_list		ATLASEA	ATLASEA											
