taxon_id	input	rank
473867	Rhynchocyon cirnei	species
9391	Amblysomus hottentotus	species
1082180	Anomalurus beecrofti	species
10023	Pedetes capensis	species
188344	Leptosomus discolor	species
54374	Mesitornis unicolor	species
101491	Trionyx triunguis	species
179927	Furcifer oustaleti	species
367368	Pelusios castaneus	species
#fOphBar	Ophidion barbatum	species
7897	Latimeria chalumnae	species
2767355	Ardea goliath	species
1523049	Microcarbo africanus	species
8801	Struthio camelus	species
57412	Colius striatus	species
