Orders	Scientific name	Status	other_priority
Mesitornithiformes	Mesitornis unicolor		AFRICABP
Iguania (Chamaeleoninae)	Furcifer oustaleti		AFRICABP
Macroscelidea	Rhynchocyon cirnei		AFRICABP
Afrosoricida (Golden moles)	Amblysomus hottentotus		AFRICABP
Rodentia (Anomaluridae)	Anomalurus beecrofti		AFRICABP
Ophidiiformes	Ophidion barbatum		AFRICABP
Pelomedusidae	Pelusios castaneus		AFRICABP
Pelecaniformes (Ardeidae)	Ardea goliath	in_progress	AFRICABP
Serpentes (Anomalepidae)	Rhinotyphlops lalandei	in_progress	AFRICABP
Pelecaniformes (Phalacrocoracidae)	Microcarbo africanus	in_progress	AFRICABP
Rodentia (Pedetidae)	Pedetes capensis	in_progress	AFRICABP
Struthioniformes	Struthio camelus	in_progress	AFRICABP
Coelacanthiformes	Latimeria chalumnae	in_progress	AFRICABP
Trionychidae	Trionyx triunguis		AFRICABP
Leptosomiiformes	Leptosomus discolor		AFRICABP
Coliiformes	Colius striatus	in_progress	AFRICABP
