NCBI_taxon_id	Genus	Species	Subspecies	Family	Bioplatforms_initiative	sequencing_status	translated_status	sample_collected	sample_acquired	in_progress	insdc_open	published	sequencing_status_arg	sequencing_status_agi	sequencing_status_gap	sequencing_status_gbr	sequencing_status_omg	sequencing_status_tsi
2741728	Platyplectrum	ornatum		Limnodynastidae	ARG	in progress	in_progress	ARG	ARG	ARG			in_progress					
104073	Platyplectrum	spenceri		Limnodynastidae	ARG	planned												
356215	Lechriodus	fletcheri		Limnodynastidae	ARG	planned												
143878	Ranoidea (Litoria)	serrata	southern lineage	Hylidae	ARG	in progress	in_progress	ARG	ARG	ARG			in_progress					
8527	Tiliqua	rugosa		Scincidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
103694	Physignathus	lesueurii		Agamidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
316450	Bassiana	duperreyi		Scincidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
2856563	Gehyra	lapistola	australis	Gekkonidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
1955237	Gehyra	moritzi	variegata	Gekkonidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
747217	Gehyra	purpurascens		Gekkonidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
316451	Lampropholis	delicata	eugongylus	Scincidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
103695	Pogona	vitticeps		Agamidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
223249	Pseudemoia	entrecasteauxii		Scincidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
172942	Saiphos	equalis		Scincidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
355693	Hydrophis	major		Hydrophiidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
44489	Carettochelys	insculpta		Carettochelyidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
665104	Chelodina	expansa		Chelidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
326985	Rheobatrachus	silus		Rheobatrachidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
1338023	Pseudophryne	occidentalis		Myobatrachidae	ARG	complete	in_progress	ARG	ARG	ARG			in_progress					
13085	Heteronotia	binoei		Gekkonidae	ARG	planned												
106636	Themeda	triandra		Poaceae	AGI	in progress	in_progress	AGI	AGI	AGI				in_progress				
90392	Emydura	macquarii		Chelidae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
8386	Rhinella	marina		Bufonidae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
38626	Phascolarctos	cinereus		Phascolarctidae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
9315	Macropus	eugenii		Macropodidae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
880440	Acacia	pycnantha		Fabaceae	GAP	complete	in_progress	GAP	GAP	GAP					in_progress			
54955	Telopea	speciosissima		Proteaceae	GAP	complete	in_progress	GAP	GAP	GAP					in_progress			
2652523	Eremophila	drummondii		Scrophulariaceae	GAP													
1436930	Leucochrysum	albicans		Asteraceae	GAP													
77003	Phebalium	stellatum		Rutaceae	GAP													
1005581	Wahlenbergia	ceracea		Campanulaceae	GAP													
1592185	Xanthorrhoea 	johnsonii 		Asphodelaceae	GAP	in progress	in_progress	GAP	GAP	GAP					in_progress			
149347	Hibbertia	scandens		Dilleniaceae	GAP													
3420	Tasmannia	lanceolata		Winteraceae	GAP													
154548	Symbiodinium	goreaui	C1	Synbiodiniaceae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
104179	Symbiodinium	kawagutii	F	Synbiodiniaceae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
51062	Porites	lutea	holobiont	Poritidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
46745	Galaxea	fascicularis		Euphylliidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
46712	Fungia	spp.		Fungiidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
1540031	Goniastrea	aspera		Merulinidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
70783	Acropora	tenuis		Acroporidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
497657	Pachyseris	speciosa		Agariciidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
55974	Acropora	hyacinthus		Acroporidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
1869259	Favia	favus		Merulinidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
2052915	Montipora	spumosa		Acroporidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
45264	Acropora	millepora		Acroporidae	GBR	complete	in_progress	GBR	GBR	GBR						in_progress		
9411	Macroderma	gigas		Megadermatidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
9411	Macroderma	gigas		Megadermatidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
223568	Bettongia	gaimardi		Potoroidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
38600	Burramys	parvus		Burramyidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
38618	Gymnobelideus	leadbeateri		Petauridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
92651	Macrotis	lagotis		Thylacomyidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
55782	Myrmecobius	fasciatus		Myrmecobiidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
37699	Notoryctes	typhlops		Notoryctidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
37737	Perameles	gunnii		Peramelidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
37737	Perameles	gunnii		Peramelidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
54088	Petrogale	pencillata		Macropodidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
9301	Sminthopsis	crassicaudata		Dasyuridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
9280	Dasyurus	hallucatus		Dasyuridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
29139	Vombatus	ursinus		Vombatidae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
337222	Mastacomys	fuscus		Muridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
221914	Pseudomys	desertor		Muridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
442614	Pseudomys	novaehollandiae		Muridae	OMG	complete	in_progress	OMG	OMG	OMG							in_progress	
722651	Dasyornis	brachypterus		Dasyornithideae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
678581	Neophema	chrysogaster		Psittaculidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
2020318	Anthochaera	phrygia		Passeriformes	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
89556	Galaxias	fontanus		Galaxiidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
442616	Pseudomys	oralis		Muridae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
120735	Perameles	bougainville		Peramelidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
375277	Rhodomyrtus	psidioides		Myrtaceae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
89557	Galaxias	johnstoni		Galaxiidae	TSI	planned												
152194	Acanthocladium	dockeri		Asteraceae	TSI	planned												
1174718	Acacia	araneosa		Fabaceae	TSI	planned												
1174883	Acacia	rivalis		Fabaceae	TSI	planned												
204908	Eulamprus	tympanum	marnieae	Scincidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
