taxon_id	input	rank	suggested
235326	Abrornis chloronotus	species	Phylloscopus chloronotus
300940	Abrornis forresti	species	Phylloscopus forresti
48151	Abrornis humei	species	Phylloscopus humei
56436	Abrornis inornata	species	Phylloscopus inornatus
282068	Abrornis kansuensis	species	Phylloscopus kansuensis
56432	Abrornis maculipennis	species	Phylloscopus maculipennis
56435	Abrornis proregulus	species	Phylloscopus proregulus
282069	Abrornis yunnanensis	species	Phylloscopus yunnanensis
1464066	Acanthoptila nipalensis	species	Turdoides nipalensis
1105356	Agraphospiza rubescens	species	Carpodacus rubescens
451426	Agropsar philippensis	species	Sturnus philippensis
283637	Akialoa stejnegeri	species	Hemignathus stejnegeri
215310	Alaudala rufescens	species	Calandrella rufescens
977964	Alopecoenas rubescens	species	Gallicolumba rubescens
977960	Alopecoenas erythropterus	species	Gallicolumba erythroptera
552893	Amaurocichla bocagii	species	Motacilla bocagii
2861768	Amaurornis marginalis	species	Aenigmatolimnas marginalis
2817433	Amazilia beryllina	species	Saucerottia beryllina
215307	Ammomanes phoenicura	species	Ammomanes phoenicurus
1804667	Aplopelia larvata	species	Columba larvata
1717233	Arborophila charltonii	species	Tropicoperdix charltonii
555335	Asio clamator	species	Pseudoscops clamator
317126	Atticora pileata	species	Notiochelidon pileata
1740326	Atticora tibialis	species	Neochelidon tibialis
374660	Bernieria madagascariensis	species	Bernieria madagascariensis (Gmelin, 1789)
1960647	Brachypteryx major	species	Sholicola major
248152	Bradornis mariquensis	species	Melaenornis mariquensis
869898	Bradornis microrhynchus	species	Melaenornis microrhynchus
2162867	Bradypterus alfredi	species	Locustella alfredi
471713	Cacatua leadbeateri	species	Lophochroa leadbeateri
722674	Calamanthus cautus	species	Hylacola cauta
720583	Calamanthus pyrrhopygius	species	Hylacola pyrrhopygia
425645	Calidris falcinellus	species	Limicola falcinellus
425635	Calidris pygmea	species	Calidris pygmaea
240712	Caloramphus fuliginosus	species	Calorhamphus fuliginosus
374640	Calyptocichla serinus	species	Calyptocichla serina
335113	Caprimulgus longipennis	species	Macrodipteryx longipennis
382318	Caprimulgus vexillarius	species	Macrodipteryx vexillarius
1105366	Carpodacus subhimachalus	species	Pinicola subhimachala
2774042	Caryothraustes erythromelas	species	Periporphyrus erythromelas
2022788	Cerasophila thompsoni	species	Hypsipetes thompsoni
722445	Cercomacra nigrescens	species	Cercomacroides nigrescens
867196	Cercomacra parkeri	species	Cercomacroides parkeri
468374	Cercomacra tyrannina	species	Cercomacroides tyrannina
358818	Chaimarrornis leucocephalus	species	Phoenicurus leucocephalus
78196	Chalcites osculans	species	Chrysococcyx osculans
233789	Chalcomitra adelberti	species	Nectarinia adelberti
234099	Chalcomitra balfouri	species	Nectarinia balfouri
176062	Chalcopsitta cardinalis	species	Pseudeos cardinalis
317115	Cheramoeca leucosterna	species	Cheramoeca leucosternus
591142	Chlorodrepanis flava	species	Hemignathus flavus
570635	Chlorodrepanis stejnegeri	species	Hemignathus kauaiensis
287015	Chroicocephalus hartlaubii	species	Larus hartlaubii
126714	Chroicocephalus philadelphia	species	Larus philadelphia
126717	Chroicocephalus serranus	species	Larus serranus
1105372	Chrysocorythus estherae	species	Serinus estherae
111829	Ciccaba virgata	species	Strix virgata
28716	Cicinnurus magnificus	species	Diphyllodes magnificus
36259	Cicinnurus respublica	species	Diphyllodes respublica
234091	Cinnyris dussumieri	species	Nectarinia dussumieri
233792	Cinnyris erythrocercus	species	Nectarinia erythrocerca
234092	Cinnyris humbloti	species	Nectarinia humbloti
282505	Cinnyris rufipennis	species	Nectarinia rufipennis
233796	Cinnyris talatala	species	Nectarinia talatala
136970	Compsospiza baeri	species	Poospiza baeri
136974	Compsospiza garleppi	species	Poospiza garleppi
30423	Corvus monedula	species	Coloeus monedula
2479989	Crateroscelis murina	species	Origma murina
2479992	Crateroscelis nigrorufa	species	Aethomyias nigrorufus
2479990	Crateroscelis robusta	species	Origma robusta
2861774	Crex egregia	species	Crecopsis egregia
121526	Criniferoides leucogaster	species	Corythaixoides leucogaster
285237	Crithagra albogularis	species	Serinus albogularis
163854	Crithagra atrogularis	species	Serinus atrogularis
