	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
0	Abeillia abeillei		Emerald-chinned Hummingbird	Trochilidae		B10K	B10K	B10K		in_progress	B10K		
12	Abroscopus albogularis		Rufous-faced Warbler	Scotocercidae							B10K		
13	Abroscopus schisticeps		Black-faced Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
14	Abroscopus superciliaris		Yellow-bellied Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
15	Aburria aburri		Wattled Guan	Cracidae							B10K		
16	Acanthagenys rufogularis		Spiny-cheeked Honeyeater	Meliphagidae							B10K		
17	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
18	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
19	Acanthis hornemanni		Arctic Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
20	Acanthis johannis		Warsangli Linnet	Fringillidae							B10K		
22	Acanthisitta chloris		Rifleman	Acanthisittidae	Phase Order	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
23	Acanthiza apicalis		Inland Thornbill	Acanthizidae							B10K		
24	Acanthiza chrysorrhoa		Yellow-rumped Thornbill	Acanthizidae							B10K		
25	Acanthiza cinerea		Grey Thornbill	Acanthizidae							B10K		
26	Acanthiza ewingii		Tasmanian Thornbill	Acanthizidae							B10K		
27	Acanthiza inornata		Western Thornbill	Acanthizidae							B10K		
28	Acanthiza iredalei		Slender-billed Thornbill	Acanthizidae							B10K		
29	Acanthiza katherina		Mountain Thornbill	Acanthizidae							B10K		
30	Acanthiza lineata		Striated Thornbill	Acanthizidae							B10K		
31	Acanthiza murina		Papuan Thornbill	Acanthizidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
32	Acanthiza nana		Yellow Thornbill	Acanthizidae							B10K		
33	Acanthiza pusilla		Brown Thornbill	Acanthizidae							B10K		
34	Acanthiza reguloides		Buff-rumped Thornbill	Acanthizidae							B10K		
35	Acanthiza robustirostris		Slaty-backed Thornbill	Acanthizidae							B10K		
36	Acanthiza uropygialis		Chestnut-rumped Thornbill	Acanthizidae							B10K		
38	Acanthorhynchus superciliosus		Western Spinebill	Meliphagidae		B10K	B10K	B10K		in_progress	B10K		
39	Acanthorhynchus tenuirostris		Eastern Spinebill	Meliphagidae							B10K		
40	Acanthornis magna		Scrubtit	Acanthizidae							B10K		
41	Accipiter albogularis		Pied Goshawk	Accipitridae							B10K		
42	Accipiter badius		Shikra	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
43	Accipiter bicolor		Bicolored Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
44	Accipiter brachyurus		New Britain Sparrowhawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
45	Accipiter brevipes		Levant Sparrowhawk	Accipitridae							B10K		
46	Accipiter butleri		Nicobar Sparrowhawk	Accipitridae							B10K		
47	Accipiter castanilius		Chestnut-flanked Sparrowhawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
48	Accipiter cirrocephalus		Collared Sparrowhawk	Accipitridae							B10K		
49	Accipiter collaris		Semicollared Hawk	Accipitridae							B10K		
50	Accipiter cooperii		Cooper's Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
51	Accipiter erythrauchen		Rufous-necked Sparrowhawk	Accipitridae							B10K		
52	Accipiter erythropus		Red-thighed Sparrowhawk	Accipitridae							B10K		
53	Accipiter fasciatus		Brown Goshawk	Accipitridae							B10K		
54	Accipiter francesiae		Frances's Sparrowhawk	Accipitridae		B10K				sample_collected	B10K		
55	Accipiter gentilis		Northern Goshawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
