taxon_id	input	rank
208972	Craseonycteris thonglongyai	species
249012	Cormura brevirostris	species
249018	Saccopteryx leptura	species
59482	Saccopteryx bilineata	species
148082	Furipterus horrens	species
463808	Hipposideros ruber	species
186990	Hipposideros armiger	species
578340	Asellia tridens	species
188568	Aselliscus stoliczkanus	species
249021	Doryrhina cyclops	species
175524	Hipposideros larvatus	species
9414	Megaderma spasma	species
9413	Megaderma lyra	species
1552295	Molossus alvarezi	species
27622	Molossus molossus	species
2997257	Molossus nigricans	species
258863	Mops condylurus	species
9438	Tadarida brasiliensis	species
59460	Mormoops megalophylla	species
155038	Myzopoda aurita	species
94961	Mystacina tuberculata	species
155039	Chilonatalus micropus	species
59487	Natalus tumidirostris	species
94963	Noctilio leporinus	species
59467	Nycteris thebaica	species
51014	Artibeus intermedius	species
9417	Artibeus jamaicensis	species
249033	Antrozous dubiaquercus	species
9421	Brachyphylla cavernarum	species
40233	Carollia perspicillata	species
208969	Carollia sowelli	species
249003	Choeroniscus minor	species
27644	Centurio senex	species
40229	Artibeus phaeotis	species
9430	Desmodus rotundus	species
148087	Diaemus youngi	species
148089	Diphylla ecaudata	species
148036	Ectophylla alba	species
290569	Erophylla bombifrons	species
177162	Glossophaga morenoi	species
2994998	Glossophaga mutica	species
27638	Glossophaga soricina	species
148064	Glyphonycteris daviesi	species
55054	Leptonycteris curasoae	species
148090	Lionycteris spurrelli	species
574022	Lophostoma evotis	species
409030	Lonchorhina inusitata	species
9419	Macrotus californicus	species
148062	Macrophyllum macrophyllum	species
124750	Macrotus waterhousii	species
148066	Micronycteris megalotis	species
249008	Micronycteris microtis	species
89673	Phyllostomus discolor	species
9423	Phyllostomus hastatus	species
1505192	Platyrrhinus guianensis	species
27658	Platyrrhinus helleri	species
138707	Rhinophylla pumilio	species
196700	Sturnira parvidens	species
148073	Trachops cirrhosus	species
148068	Micronycteris nicefori	species
2683985	Uroderma convexum	species
2358194	Gardnerycteris keenani	species
362826	Vampyressa thyone	species
77227	Aethalops alecto	species
298109	Cynopterus horsfieldii	species
58067	Epomophorus wahlbergi	species
414523	Rousettus spinalatus	species
448084	Hypsignathus monstrosus	species
9407	Rousettus aegyptiacus	species
59477	Rhinolophus affinis	species
59478	Rhinolophus clivosus	species
89399	Rhinolophus sinicus	species
59485	Vespertilio murinus	species
59479	Rhinolophus ferrumequinum	species
302411	Rhinolophus hildebrandti	species
77218	Rhinolophus hipposideros	species
49443	Rhinolophus darlingi	species
430492	Rhinolophus trifoliatus	species
329870	Triaenops persicus	species
173903	Rhinopoma microphyllum	species
173902	Rhinopoma muscatellum	species
124759	Thyroptera tricolor	species
9440	Antrozous pallidus	species
59449	Barbastella barbastellus	species
124745	Corynorhinus townsendii	species
409022	Eptesicus chiriquinus	species
29078	Eptesicus fuscus	species
59451	Eptesicus nilssonii	species
124746	Eptesicus furinalis	species
360967	Ia io	species
258928	Dasypterus ega	species
98922	Myotis daubentonii	species
59463	Myotis lucifugus	species
51298	Myotis myotis	species
1163727	Myotis nesopolus	species
153286	Myotis nigricans	species
59472	Pipistrellus kuhlii	species
59473	Pipistrellus nathusii	species
59474	Pipistrellus pipistrellus	species
246814	Pipistrellus pygmaeus	species
61862	Plecotus auritus	species
109483	Plecotus austriacus	species
153298	Rhogeessa parvula	species
2940081	Myotis pilosatibialis	species
59465	Nyctalus leisleri	species
109479	Myotis mystacinus	species
568929	Laephotis botswanae	species
