ncbi_taxon_id	species	family	target_list_status	sequencing_status	synonym	publication_id	long_list	family_representative	other_priority	goat_status	sample_acquired	in_progress	sample_collected	insdc_open	published
7726	Styela plicata	Styelidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
7740	Branchiostoma lanceolatum	Branchiostomidae	long_list	completed		doi.org/10.1186/s13059‑022‑02808‑6	CBP			in_progress	CBP	CBP	CBP		
8959	Aegypius monachus	Accipitridae	other_priority	sample_acquired			CBP		CBP	sample_acquired	CBP		CBP		
27890	Dugesia subtentaculata	Dugesiidae	long_list	sample_acquired			CBP			sample_acquired	CBP		CBP		
28930	Fagus sylvatica	Fagaceae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
33608	Neophron percnopterus	Accipitridae	other_priority	sample_acquired			CBP		CBP	sample_acquired	CBP		CBP		
33610	Gypaetus barbatus	Accipitridae	other_priority	in_assembly			CBP		CBP	in_progress	CBP	CBP	CBP		
34765	Oikopleura dioica	Oikopleuridae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
48681	Puffinus mauretanicus	Procellariidae	other_priority	insdc_submitted		DOI: 10.1093/gbe/evac067	CBP		CBP	in_progress	CBP	CBP	CBP		
48815	Ramonda myconi	Gesneriaceae	other_priority	data_generation			CBP		CBP	in_progress	CBP	CBP	CBP		
48915	Diplodus puntazzo	Sparidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
61904	Belisarius xambeui	Chactidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
64176	Podarcis muralis	Lacertidae	long_list	sample_acquired			CBP			sample_acquired	CBP		CBP		
74358	Podarcis lilifordi	Lacertidae	other_priority	in_assembly		https://doi.org/10.1101/2023.02.15.528647	CBP		CBP	in_progress	CBP	CBP	CBP		
89891	Derocheilocaris remanei	Derocheilocarididae	family_representative	sample_acquired			CBP	CBP		sample_acquired	CBP		CBP		
133233	Achillea ptarmica subsp.pyrenaica	Asteraceae	long_list	data_generation			CBP			in_progress	CBP	CBP	CBP		
142104	Corallium rubrum	Coralliidae	other_priority	in_assembly			CBP		CBP	in_progress	CBP	CBP	CBP		
172826	Amastigomonas sp.	Apusomonadidae	long_list	in_assembly 	Amastigomonas sp.		CBP			in_progress	CBP	CBP	CBP		
242261	Coenonympha glycerion Borkhausen	Nymphalidae	long_list	sample_acquired			CBP			sample_acquired	CBP		CBP		
246179	Vipera latastei	Viperidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
317549	Paramuricea clavata	Plexauridae	other_priority	insdc_submitted		https://doi.org/10.1534/g3.120.401371	CBP		CBP	in_progress	CBP	CBP	CBP		
342570	Calotriton arnoldi	Salamandridae	other_priority	data_generation			CBP		CBP	in_progress	CBP	CBP	CBP		
390489	Dugastella valentina	Atyidae	other_priority	data_generation			CBP		CBP	in_progress	CBP	CBP	CBP		
595358	Cyclops abyssorum	Cyclopidae	long_list	data_generation			CBP			in_progress	CBP	CBP	CBP		
627345	Emberiza schoeniclus witherbyi	Emberizidae	other_priority	data_generation			CBP		CBP	in_progress	CBP	CBP	CBP		
1504802	Cyperus esculentus var. sativus	Cyperaceae	long_list	sample_acquired			CBP			sample_acquired	CBP		CBP		
2766786	Mediocremonas mediterraneus	Developayellaceae	other_priority	in_assembly			CBP		CBP	in_progress	CBP	CBP	CBP		
2795559	Helleia helle	Lycaenidae	long_list	sample_acquired	Lycaena helle		CBP			sample_acquired	CBP		CBP		
398063	Capra pyrenaica	Bovidae	long_list	sample_acquired			CBP			sample_acquired	CBP		CBP		
2890050	Xatardia scabra	Apiaceae	long_list				CBP								
2815560	Sensonator valentiensis	Sensonatoridae	family_representative	in_assembly			CBP	CBP		in_progress	CBP	CBP	CBP		
991102	Norana najaformis	Hormogastridae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
593788	Cystoseira mediterranea	Sargassaceae	other_priority	sample_acquired	Ericaria mediterranea		CBP		CBP	sample_acquired	CBP		CBP		
203899	Tethysbaena scabra	Monodellidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
178818	Iberolacerta aurelioi	Lacertidae		in_assembly			CBP			in_progress	CBP	CBP	CBP		
13765	Xyrichtys novacula	Labridae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
163714	Cyprideis torosa	Cytherideidae	family_representative	in_assembly	Cyprideis littoralis		CBP	CBP		in_progress	CBP	CBP	CBP		
7640	Arbacia lixula	Arbaciidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
317548	Eunicella singularis	Gorgoniidae	other_priority	in_assembly			CBP		CBP	in_progress	CBP	CBP	CBP		
124278	Alcyonium acaule	Alcyoniidae	other_priority	in_assembly			CBP		CBP	in_progress	CBP	CBP	CBP		
353214	Caecitellus pseudoparvulus	Bicosoecida	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
353213	Caecitellus paraparvulus	Bicosoecida	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
89770	Paraphysomonas bandaiensis	Chrysophyceae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
37642	Paraphysomonas imperforata	Chrysophyceae	long_list	No status yet			CBP								
130055	Cladocora caespitosa	Cladocoridae	long_list	data_generation			CBP			in_progress	CBP	CBP	CBP		
1031547	Clathrina clathrus	Clathrinidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
27923	Mnemiopsis leidyi	Bolinopsidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
	Dendrodoris temarana	Dendrodorididae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
	Heterotanais oerstedii	Leptocheliidae	family_representative	data_generation			CBP	CBP		in_progress	CBP	CBP	CBP		
	Singekia montserratensis						CBP								
