	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	Sample located	data_generation	in_assembly	insdc_submitted	sample_acquired	family_representative	long_list	other_priority
0	7726	Styela	plicata	Styelidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
1	7740	Branchiostoma	lanceolatum	Branchiostomidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
2	8959	Aegypius	monachus	Accipitridae	other_priority	sample_acquired		CBP					CBP	CBP	CBP	CBP
3	27890	Dugesia	subtentaculata	Dugesiidae	long_list	sample_acquired		CBP					CBP		CBP	
4	28930	Fagus	sylvatica	Fagaceae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
5	33608	Neophron	percnopterus	Accipitridae	other_priority	sample_acquired		CBP					CBP	CBP	CBP	CBP
6	33610	Gypaetus	barbatus	Accipitridae	other_priority	in_assembly		CBP		CBP	CBP		CBP	CBP	CBP	CBP
7	34765	Oikopleura	dioica	Oikopleuridae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
8	48681	Puffinus	mauretanicus	Procellariidae	other_priority	insdc_submitted		CBP		CBP	CBP	CBP	CBP	CBP	CBP	CBP
9	48815	Ramonda	myconi	Gesneriaceae	other_priority			CBP						CBP	CBP	CBP
10	48915	Diplodus	puntazzo	Sparidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
11	61904	Belisarius	xambeui	Chactidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
12	64176	Podarcis	muralis	Lacertidae	long_list	sample_acquired		CBP					CBP		CBP	
13	74358	Podarcis	lilfordi	Lacertidae	other_priority	in_assembly		CBP		CBP	CBP		CBP	CBP	CBP	CBP
14	89891	Derocheilocaris	remanei	Derocheilocarididae	family_representative	sample_acquired		CBP					CBP	CBP	CBP	
15	133233	Achillea	ptarmica subsp.pyrenaica	Asteraceae	long_list	Sample located		CBP	CBP						CBP	
16	142104	Corallium	rubrum	Coralliidae	other_priority	sample_acquired		CBP					CBP	CBP	CBP	CBP
17	172826	Amastigomonas	sp.	Apusomonadidae	long_list	data_generation		CBP		CBP			CBP		CBP	
18	242261	Coenonympha	glycerion Borkhausen	Nymphalidae	long_list	sample_acquired		CBP					CBP		CBP	
19	246179	Vipera	latastei	Viperidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
20	317549	Paramuricea	clavata	Plexauridae	other_priority	insdc_submitted		CBP		CBP	CBP	CBP	CBP	CBP	CBP	CBP
21	342570	Calotriton	arnoldi	Salamandridae	other_priority	data_generation		CBP		CBP			CBP	CBP	CBP	CBP
22	390489	Dugastella	valentina	Atyidae	other_priority	data_generation		CBP		CBP			CBP	CBP	CBP	CBP
23	595358	Cyclops	abyssorum	Cyclopidae	long_list	data_generation		CBP		CBP			CBP		CBP	
24	627345	Emberiza	schoeniclus witherbyi	Emberizidae	other_priority	data_generation		CBP		CBP			CBP	CBP	CBP	CBP
25	1504802	Cyperus	esculentus var. sativus	Cyperaceae	long_list	sample_acquired		CBP					CBP		CBP	
26	2766786	Mediocremonas	mediterraneus	Developayellaceae	other_priority	sample_acquired		CBP					CBP	CBP	CBP	CBP
27	2795559	Lycaena	helle	Lycaenidae	long_list	sample_acquired		CBP					CBP		CBP	
28	398063	Capra	pyrenaica	Bovidae	long_list	sample_acquired		CBP					CBP		CBP	
36	593788	Cystoseira 	mediterranea	Sargassaceae	other_priority	sample_acquired	Ericaria mediterranea	CBP					CBP	CBP	CBP	CBP
29		Xatardia	scabra	Apiaceae	long_list			CBP							CBP	
30		Sensonator	valentiensis	Sensonatoridae	family_representative	in_assembly		CBP		CBP	CBP		CBP	CBP	CBP	
31		Dysdera	catalonica	Dysderidae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
32		Eukoenenia	zariquieyi	Eukoeneniidae	family_representative	sample_acquired		CBP					CBP	CBP	CBP	
33		Dendrodoris	n. sp.	Dendrodorididae	long_list	in_assembly		CBP		CBP	CBP		CBP		CBP	
35		Heterotanais	oerstedii	Leptocheliidae	family_representative	data_generation		CBP		CBP			CBP	CBP	CBP	
