taxon_id	input	rank
134990	Chimaera phantasma	species
1213687	Heterodontus zebra	species
1443567	Cirrhoscyllium formosanum	species
263686	Carcharhinus melanopterus	species
496413	Triaenodon obesus	species
34770	Rhizoprionodon acutus	species
376633	Hemitriakis japanica	species
89020	Mustelus griseus	species
1214693	Halaelurus buergeri	species
496090	Hemipristis elongata	species
1155091	Centrophorus acus	species
55142	Squatina nebulosa	species
263718	Squatina squatina	species
55135	Pristiophorus japonicus	species
432798	Okamejei kenojei	species
62965	Narke japonica	species
27590	Tetronarce nobiliana	species
195328	Rhina ancylostoma	species
195319	Platyrhina sinensis	species
