Dilta	hibernica	Machilidae	DTOL	DTOL	DTOL
Aderus	populneus	Aderidae	DTOL	DTOL	DTOL
Aegialia	rufa	Aegialiidae	DTOL	DTOL	DTOL
Sphaerosoma	pilosum	Alexiidae	DTOL	DTOL	DTOL
Ptinus	clavipes	Anobiidae	DTOL	DTOL	DTOL
Anthicus	antherinus	Anthicidae	DTOL	DTOL	DTOL
Platyrhinus	resinosus	Anthribidae	DTOL	DTOL	DTOL
Aphodius	rufipes	Aphodiidae	DTOL	DTOL	DTOL
Pseudoprotapion	astragali	Apionidae	DTOL	DTOL	DTOL
Apoderus	coryli	Attelabidae	DTOL	DTOL	DTOL
Biphyllus	lunatus	Biphyllidae	DTOL	DTOL	DTOL
Lyctus	brunneus	Bostrichidae	DTOL	DTOL	DTOL
Anommatus	duodecimstriatus	Bothrideridae	DTOL	DTOL	DTOL
Agrilus	biguttatus	Buprestidae	DTOL	DTOL	DTOL
Byrrhus	pilula	Byrrhidae	DTOL	DTOL	DTOL
Byturus	tomentosus	Byturidae	DTOL	DTOL	DTOL
Rhagonycha	fulva	Cantharidae	DTOL	DTOL	DTOL
Carabus	intricatus	Carabidae	DTOL	DTOL	DTOL
Rutpela	maculata	Cerambycidae	DTOL	DTOL	DTOL
Cerophytum	elateroides	Cerophytidae	DTOL	DTOL	DTOL
Cerylon	ferrugineum	Cerylonidae	DTOL	DTOL	DTOL
Protaetia	metallica	Cetoniidae	DTOL	DTOL	DTOL
Agelastica	alni	Chrysomelidae	DTOL	DTOL	DTOL
Orsodacne	cerasi	Chrysomelidae	DTOL	DTOL	DTOL
Cis	bilamellatus	Ciidae	DTOL	DTOL	DTOL
Clambus	armadillo	Clambidae	DTOL	DTOL	DTOL
Thanasimus	formicarius	Cleridae	DTOL	DTOL	DTOL
Adalia	bipunctata	Coccinellidae	DTOL	DTOL	DTOL
Orthoperus	nigrescens	Corylophidae	DTOL	DTOL	DTOL
Pediacus	dermestoides	Cucujidae	DTOL	DTOL	DTOL
Platypus	cylindrus	Curculionidae	DTOL	DTOL	DTOL
Dascillus	cervinus	Dascillidae	DTOL	DTOL	DTOL
Dasytes	cyaneus	Dasytidae	DTOL	DTOL	DTOL
Dermestes	lardarius	Dermestidae	DTOL	DTOL	DTOL
Drilus	flavescens	Drilidae	DTOL	DTOL	DTOL
Dryophthorus	corticalis	Dryophthoridae	DTOL	DTOL	DTOL
Dryops	luridus	Dryopidae	DTOL	DTOL	DTOL
Oryctes	nasicornis	Dynastidae	DTOL	DTOL	DTOL
Deronectes	latus	Dytiscidae	DTOL	DTOL	DTOL
Agrypnus	murinus	Elateridae	DTOL	DTOL	DTOL
Elmis	aenea	Elmidae	DTOL	DTOL	DTOL
Endomychus	coccineus	Endomychidae	DTOL	DTOL	DTOL
