taxon_id	input	rank	suggested
1007343	Abraxas grossulariata	species	Abraxas grossulariatus
984420	Acanthodelphax denticauda	species	Kosswigianella denticauda
136140	Acartia clausi	species	Acartia clausii
1452646	Aceria rudis	species	Acalitus rudis
2566210	Acleris stettinensis	species	Acleris effractana
938230	Acontia trabealis	species	Emmelia trabealis
869165	Actenicerus sjaelandicus	species	Actenicerus siaelandicus
207238	Aegialia insularis	species	Aegialia crassa
2493244	Aepus robinii	species	Aepopsis robinii
302061	Aetideopsis armatus	species	Chiridius armatus
347357	Agaricochara latissima	species	Gyrophaena latissima
171585	Aglais io	species	Nymphalis io
111881	Aglais urticae	species	Nymphalis urticae
2817234	Aglossa dimidiatus	species	Aglossa dimidiata
1870262	Agnoea flavifrontella	species	Pseudatemelia flavifrontella
753415	Agnoea josephinae	species	Pseudatemelia josephinae
2561648	Agnoea subochreella	species	Pseudatemelia subochreella
1586962	Agonum moestum	species	Agonum duftschmidi
1869441	Agrotis syricola	species	Agrotis catalaunensis
1875109	Agrypnetes crassicornis	species	Agrypnia crassicornis
866029	Alaobia gagatina	species	Atheta gagatina
866035	Alaobia pallidicornis	species	Atheta pallidicornis
877728	Alaobia trinotata	species	Atheta trinotata
2578433	Aleiodes pallidicornis	species	Aleiodes hirtus
135908	Aleochara phycophila	species	Aleochara obscurella
1133223	Alevonota aurantiaca	species	Alevonota rufotestacea
1972262	Alloptes minor	species	Laminalloptes minor
1345121	Alloxysta castanea	species	Alloxysta fulviceps
1345122	Alloxysta halterata	species	Alloxysta pedestris
1655844	Alnetoidea alneti	species	Alnetoidia alneti
2699105	Alona costata	species	Flavalona costata
75000	Alopecosa barbipes	species	Alopecosa accentuata
1423235	Amauronematus malaisei	species	Euura malaisei
347265	Amischa soror	species	Amischa nigrofusca
1229735	Ampelisca cavicoxa	species	Ampelisca brevicornis
1920381	Ampithoe gammaroides	species	Ampithoe helleri
638455	Anaciaeschna isoceles	species	Aeshna isoceles
2479701	Anagrus nigriceps	species	Anagrus avalae
473338	Anagrus parvus	species	Anagrus ustulatus
1260860	Anarete coracina	species	Scatopsciara vitripennis
1109213	Anchistrotos zeugopteri	species	Taeniacanthus zeugopteri
1126407	Andrena nigrospina	species	Andrena pilipes
75150	Andricus lignicola	species	Andricus lignicolus
1586421	Anobium nitidum	species	Hemicoelus nitidus
2449055	Anonyx lilljeborgii	species	Anonyx lilljeborgi
346719	Anopleta corvina	species	Atheta corvina
373266	Anoplodactylus pygmaeus	species	Anoplodactylus petiolatus
452389	Anthocoris sibiricus	species	Anthocoris pilosus
997526	Apamea infesta	species	Apamea anceps
2795564	Aphantopus hyperantus	species	Maniola hyperantus
1594235	Aphelia viburnana	species	Aphelia viburniana
104018	Aphidius cingulatus	species	Euaphidius cingulatus
1097454	Aphidius rubi	species	Aphidius urticae
77497	Aphidius setiger	species	Euaphidius setiger
486013	Aphis ballotae	species	Brachycaudus ballotae
191316	Aphis citricola	species	Aphis fabae
1425456	Aphis epipactis	species	Aphis ilicis
345568	Aphis vandergooti	species	Toxopterina vandergooti
1553008	Aphodius brevis	species	Ammoecius brevis
1586959	Aphodius nemoralis	species	Agoliinus nemoralis
1501853	Aphodius punctatosulcatus	species	Melinopterus punctatosulcatus
1586967	Aphodius sordidus	species	Agrilinus sordidus
1553010	Aphodius subterraneus	species	Eupleurus subterraneus
1943927	Aphodius tenellus	species	Planolinus tenellus
1587396	Aphodius varians	species	Nialus varians
928255	Aphrodes aestuarina	species	Aphrodes aestuarinus
928254	Aphrodes diminuta	species	Aphrodes diminutus
58745	Apodesmia similis	species	Opius basirufus
1518045	Aprestes aberrans	species	Aprestes variicornis
987458	Apterogenum ypsillon	species	Fissipunctia ypsillon
1835302	Aptesis terminata	species	Sinarachna pallipes
1126397	Arachnospila trivialis	species	Sphecodes gibbus
1857966	Archips betulana	species	Archips betulanus
1857967	Archips crataegana	species	Archips crataeganus
191717	Archips semiferanus	species	Archips semiferana
2479177	Arescon dimidiata	species	Arescon dimidiatus
870211	Argas vespertilionis	species	Carios vespertilionis
405009	Argynnis adippe	species	Fabriciana adippe
96803	Armadillidium speyeri	species	Armadillidium nasatum
1783312	Arrenurus georgei	species	Arrenurus truncatellus
1783284	Arrenurus ornatus	species	Arrenurus compactus
2041964	Arrhopalites principalis	species	Pygmarrhopalites principalis
2041965	Arrhopalites pygmaeus	species	Pygmarrhopalites pygmaeus
1603186	Ascogaster armata	species	Allurus muricatus
214583	Aspigonus flavicornis	species	Aspigonus diversicornis
58718	Aspilota fuscicornis	species	Aphaereta minuta
1905393	Astiphromma hirsutum	species	Astiphromma dorsale
1553025	Atheta parvula	species	Acrotona parvula
1587079	Atomaria barani	species	Atomaria pulchra
1971784	Atomaria pseudatra	species	Atomaria mesomela
133132	Avenzoaria squatarolae	species	Avenzoaria calidridis
1732139	Axius stirhynchus	species	Axius stirynchus
28588	Bactrocera curcubitae	species	Zeugodacus cucurbitae
1077842	Baetis atrebatinus	species	Labiobaetis atrebatinus
1077833	Baetis muticus	species	Takobia muticus
198322	Baizongia pistaceae	species	Baizongia pistaciae
1588386	Batenus livens	species	Platynus livens
1622308	Bathyplectes tibiator	species	Agrothereutes abbreviatus
371418	Bathyporeia lindstromi	species	Bathyporeia sardoa
547356	Bembidion andreae	species	Bembidion pallidipenne
1874823	Bembidion inustum	species	Sinechostictus inustus
1553413	Bembidion schuppelii	species	Bembidion schueppelii
1587410	Bembidion stomoides	species	Sinechostictus stomoides
877750	Bessobia fungivora	species	Atheta fungivora
877751	Bessobia occulta	species	Atheta occulta
2259013	Biosteres bicolor	species	Townesilitus bicolor
722658	Biston strataria	species	Biston stratarius
1097111	Blacometeorus brevicauda	species	Charmon cruentatus
1555464	Blastobasis vittata	species	Blastobasis lignea
1587101	Bledius praetermissus	species	Bledius atricapillus
877826	Bolitochara reyi	species	Bolitochara lucida
133275	Bonnetella fuscus	species	Bonnetella fusca
1160986	Boreoclytocerus ocellaris	species	Clytocerus ocellaris
186181	Bosmina coregoni	species	Eubosmina coregoni
186181	Bosmina longispina	species	Eubosmina coregoni
1507105	Brachymeria tibialis	species	Brachymeria minuta
2796886	Brachypoda celeripes	species	Ocybrachypoda celeripes
1874286	Brachypogon perpusillus	species	Brachypogon incompletus
2555439	Bracon concolorans	species	Bracon nigricans
69819	Bracon hebetor	species	Habrobracon hebetor
138232	Bracon luteator	species	Bracon nigripedator
1045574	Bracon rugulosus	species	Aleiodes rugulosus
138230	Bracon xanthogaster	species	Bracon mauritanicus
1260855	Bradysia morio	species	Trichosia morio
191377	Britorchestia brito	species	Talorchestia brito
1511681	Brontaea humilis	species	Gymnodia humilis
166497	Bryobia humeralis	species	Bryobia praetiosa
523749	Bryobia speciosa	species	Bryobia berlesei
257370	Caligus coryphaenae	species	Caligus elongatus
424461	Callipallene phantoma	species	Callipallene sagamiensis
2527844	Caloglyphus berlesei	species	Sancassania berlesei
92091	Calyptostoma hardyi	species	Calyptostoma velutinus
1641916	Camilla glabra	species	Drosophila glabra
662498	Campoletis punctata	species	Syrphoctonus fissorius
2163655	Campoplex rufipes	species	Gelis proximus
191322	Campylomma nicolasi	species	Campylomma verbasci
