taxon_id	input	rank
644147	Abacarus acutatus	species
644148	Abacarus hystrix	species
102642	Abax parallelepipedus	species
1553012	Abdera affinis	species
442079	Abdera biflexuosa	species
1971261	Abdera flexuosa	species
433183	Abdera quadrifasciata	species
1553013	Abdera triguttata	species
1384715	Abia aenea	species
362089	Abia candens	species
1141323	Abia fasciata	species
410269	Abia lonicerae	species
410258	Abia sericea	species
1124591	Ablabesmyia longistyla	species
700369	Ablabesmyia monilis	species
2886802	Ablabesmyia phatta	species
1920391	Abludomelita obtusata	species
1586936	Abraeus granulum	species
1553014	Abraeus perpusillus	species
1869390	Abraxas pantaria	species
190335	Abraxas sylvata	species
92109	Abrolophus rubipes	species
938171	Abrostola tripartita	species
254365	Abrostola triplasia	species
501162	Absyrtus vicinator	species
1417799	Abyssorchomene abyssorum	species
2801455	Acaenitus dubitator	species
2499490	Acaeroplastes melanurus	species
1452646	Acalitus rudis	species
346680	Acalles misellus	species
298154	Acalles ptinoides	species
1545065	Acalypta carinata	species
1545069	Acalypta nigrina	species
1400082	Acalypta parvula	species
877846	Acalyptus carpini	species
55936	Acampsis alternipes	species
2578426	Acamptocladius submontanus	species
342632	Acanthephyra pelagica	species
576170	Acanthephyra purpurea	species
594011	Acanthiophilus helianthi	species
1323394	Acanthocinus aedilis	species
113152	Acanthocnema glaucescens	species
2566207	Acanthococcus azaleae	species
1266903	Acanthocyclops americanus	species
415614	Acanthocyclops robustus	species
908887	Acanthocyclops venustus	species
245077	Acanthocyclops vernalis	species
77750	Acantholeberis curvirostris	species
455475	Acantholyda erythrocephala	species
222798	Acantholyda posticalis	species
236554	Acanthomysis longicornis	species
1806090	Acanthonotozoma serratum	species
1869391	Acanthopsyche atra	species
472036	Acanthoscina acanthodes	species
483950	Acanthosoma haemorrhoidale	species
326040	Acanthoxyla prasina	species
682150	Acarapis dorsalis	species
588416	Acarapis externus	species
478375	Acarapis woodi	species
544687	Acartia bifilosa	species
545071	Acartia danae	species
1201398	Acartia discaudata	species
121149	Acartia longiremis	species
545072	Acartia negligens	species
716607	Acartophthalmus bicolor	species
1262227	Acartophthalmus nigrinus	species
264914	Acarus gracilis	species
223436	Acarus immobilis	species
66546	Acarus siro	species
934820	Acasis viretata	species
2737285	Acasta spongites	species
1666818	Acentria ephemerella	species
1670714	Aceria anthocoptes	species
2248744	Aceria drabae	species
2798759	Aceria erinea	species
426500	Aceria eximia	species
2813510	Aceria ficus	species
2652185	Aceria genistae	species
2815858	Aceria peucedani	species
2815859	Aceria salviae	species
2759134	Aceria squalida	species
561515	Aceria tosichella	species
2815860	Aceria tristriata	species
1670717	Aceria tuberculata	species
109366	Aceria tulipae	species
2886804	Acetropis gimmerthalii	species
493638	Achaius oratorius	species
1000615	Achalcus cinereus	species
1000616	Achalcus flavicollis	species
1000618	Achalcus vaillanti	species
1511674	Achanthiptera rohrelliformis	species
61895	Achelia echinata	species
136192	Achelia hispida	species
1587416	Achenium depressum	species
657993	Acherontia atropos	species
6997	Acheta domesticus	species
229769	Achipteria coleoptrata	species
753485	Achlya flavicornis	species
688607	Achroia grisella	species
198949	Achrysocharoides acerianus	species
198947	Achrysocharoides atys	species
198950	Achrysocharoides buekkensis	species
198951	Achrysocharoides butus	species
198952	Achrysocharoides carpini	species
198953	Achrysocharoides cilla	species
198954	Achrysocharoides insignitellae	species
108684	Achrysocharoides latreillii	species
297237	Achrysocharoides niveipes	species
198955	Achrysocharoides splendens	species
297238	Achrysocharoides suprafolius	species
150262	Achrysocharoides zwoelferi	species
2881103	Achyrolimonia decemmaculata	species
103409	Acidia cognata	species
1553348	Acidota crenata	species
358173	Acilius canaliculatus	species
107768	Acilius sulcatus	species
2886809	Acinia corniculata	species
121830	Acizzia uncatoides	species
2220080	Aclastus borealis	species
2890419	Aclastus eugracilis	species
1667460	Aclastus gracilis	species
2890420	Aclastus micator	species
2890421	Aclastus minutus	species
1667461	Aclastus solutus	species
2890422	Aclastus transversalis	species
758703	Acleris abietana	species
758704	Acleris aspersana	species
763074	Acleris bergmanniana	species
1869393	Acleris caledoniana	species
572800	Acleris comariana	species
758705	Acleris cristana	species
2566210	Acleris effractana	species
758706	Acleris emargana	species
758707	Acleris ferrugana	species
572801	Acleris forsskaleana	species
1594215	Acleris hastiana	species
572802	Acleris holmiana	species
1869394	Acleris hyemana	species
758708	Acleris kochiella	species
758709	Acleris laterana	species
758710	Acleris lipsiana	species
1100899	Acleris literana	species
758711	Acleris logiana	species
758712	Acleris lorquiniana	species
1195446	Acleris maccana	species
758713	Acleris notana	species
1869395	Acleris permutana	species
758714	Acleris rhombana	species
2560877	Acleris rufana	species
1113121	Acleris schalleriana	species
758716	Acleris shepherdana	species
758717	Acleris sparsana	species
758718	Acleris umbrana	species
572803	Acleris variegana	species
462272	Acletoxenus formosus	species
2886805	Aclista prolongata	species
1553017	Aclypea opaca	species
1888028	Acnemia amoena	species
2339098	Acnemia nitidicollis	species
2338586	Acodiplosis inulae	species
1511220	Acompocoris alpinus	species
1280447	Acompsia cinerella	species
1869396	Acompsia schmidtiellus	species
1545272	Acompus rufipes	species
319976	Acontia aprica	species
753144	Acontia lucida	species
2797664	Acosmetia caliginosa	species
2592957	Acrenhydrosoma perplexum	species
59808	Acricotopus lucens	species
1586938	Acritus homoeopathicus	species
877760	Acritus nigricornis	species
1594216	Acrobasis advenella	species
1100900	Acrobasis consociella	species
1869399	Acrobasis marmorea	species
1100902	Acrobasis repandana	species
1857951	Acrobasis suavella	species
1100903	Acrobasis tumidana	species
210248	Acrocera orbiculus	species
1329454	Acrocera sanguinea	species
198963	Acrocercops brongniardella	species
713687	Acroclita subsequana	species
2902233	Acrocormus semifasciatus	species
1835277	Acrodactyla carinator	species
290693	Acrodactyla degener	species
572548	Acrodactyla quadrisculpta	species
708378	Acrogalumna longipluma	species
1291411	Acrolepia autumnitella	species
57686	Acrolepiopsis assectella	species
295599	Acrolocha sulcula	species
2890424	Acrolyta flagellator	species
274003	Acrolyta marginata	species
2163651	Acrolyta nens	species
2890425	Acrolyta rufocincta	species
2886818	Acrometopia wahlbergi	species
987859	Acronicta aceris	species
987860	Acronicta alni	species
997507	Acronicta auricoma	species
