taxon_id	input	rank	suggested
295831	Micrambe ulicis	species	Micrambe vini
174907	Laricobius erichsonii	species	Laricobius erichsoni
414934	Silpha atrata	species	Phosphuga atrata
414285	Phytomyza autumnalis	species	Phytomyza spinaciae
169445	Neuroctena anilis	species	Dryomyza anilis
1262234	Neria cibaria	species	Compsobata cibaria
2725530	Palloptera muliebris	species	Toxonevra muliebris
2795682	Toxoneura trimacula	species	Toxonevra trimacula
1160986	Boreoclytocerus ocellaris	species	Clytocerus ocellaris
1161024	Pericoma trivialis	species	Satchelliella trivialis
419077	Sacchiphantes abietis	species	Adelges abietis
1449964	Livia juncorum	species	Livia junci
58002	Viteus vitifoliae	species	Daktulosphaira vitifoliae
1507105	Brachymeria tibialis	species	Brachymeria minuta
431182	Mymaromma anomalum	species	Palaeomymar anomalum
214181	Korscheltellus lupulina	species	Korscheltellus lupulinus
116135	Favonius quercus	species	Hypaurotis quercus
203779	Maculinea arion	species	Phengaris arion
138070	Polyommatus bellargus	species	Lysandra bellargus
268709	Polyommatus coridon	species	Lysandra coridon
171585	Aglais io	species	Nymphalis io
111881	Aglais urticae	species	Nymphalis urticae
2795564	Aphantopus hyperantus	species	Maniola hyperantus
113330	Melitaea athalia	species	Mellicta athalia
929971	Polygonia c-album	species	Nymphalis c-album
446513	Mystacides azurea	species	Mystacides azureus
173289	Haplophilus subterraneus	species	Stigmatogaster subterranea
863632	Haplophilus souletinus	species	Stigmatogaster souletina
1926190	Hahnia montana	species	Iberina montana
100976	Euscorpius flavicaudis	species	Tetratrichobothrius flavicaudis
