taxon_id	input	rank
#iaDilHibe	Dilta hibernica	species
#iaPetMari	Petrobius maritimus	species
442080	Aderus populneus	species
1587290	Euglenes oculatus	species
206943	Aegialia arenaria	species
1553744	Sphaerosoma pilosum	species
1546020	Ptinus sexpunctatus	species
878103	Hemicoelus fulvicornis	species
347267	Anthicus antherinus	species
1553591	Notoxus monoceros	species
1586622	Platyrhinus resinosus	species
207206	Aphodius rufipes	species
202145	Protapion fulvipes	species
1342102	Pseudoprotapion astragali	species
201766	Apoderus coryli	species
298143	Attelabus nitens	species
197003	Biphyllus lunatus	species
433040	Diplocoelus fagi	species
351485	Lyctus brunneus	species
295806	Anommatus duodecimstriatus	species
295808	Teredus cylindricus	species
324823	Agrilus biguttatus	species
1586972	Agrilus cyanescens	species
338701	Simplocaria semistriata	species
174916	Byrrhus pilula	species
153020	Byturus tomentosus	species
153018	Byturus ochraceus	species
41101	Rhagonycha fulva	species
195172	Cantharis rustica	species
106386	Pterostichus niger	species
49289	Carabus intricatus	species
878968	Rutpela maculata	species
878993	Stenocorus meridianus	species
347308	Cerylon ferrugineum	species
347309	Cerylon histeroides	species
290679	Cetonia aurata	species
#icProMeta	Protaetia metallica	species
131577	Agelastica alni	species
294607	Cassida rubiginosa	species
558334	Orsodacne cerasi	species
1425589	Orsodacne humeralis	species
577748	Cis bilamellatus	species
1553773	Sulcacis nitidus	species
442127	Calyptomerus dubius	species
877914	Clambus armadillo	species
295696	Tillus elongatus	species
295689	Thanasimus formicarius	species
7084	Adalia bipunctata	species
1143055	Halyzia sedecimpunctata	species
878979	Sericoderus brevicornis	species
347422	Orthoperus nigrescens	species
877929	Cryptophagus ruficornis	species
295831	Micrambe vini	species
878348	Pediacus dermestoides	species
1588349	Pediacus depressus	species
298138	Platypus cylindrus	species
202195	Sitona lineatus	species
285223	Dascillus cervinus	species
295669	Anthrenus verbasci	species
219542	Dermestes lardarius	species
174907	Laricobius erichsoni	species
886480	Dryops luridus	species
156932	Deronectes latus	species
107770	Agabus bipustulatus	species
195168	Agrypnus murinus	species
333879	Denticollis linearis	species
186982	Elmis aenea	species
1143046	Esolus parallelepipedus	species
295833	Endomychus coccineus	species
764667	Mycetaea subterranea	species
1553333	Grypus equiseti	species
166905	Stenopelmus rufinasus	species
295903	Triplax aenea	species
295902	Dacne bipustulata	species
878007	Eucinetus meridionalis	species
445480	Microrhagus pygmaeus	species
195231	Melasis buprestoides	species
295556	Georissus crenulatus	species
295525	Geotrupes spiniger	species
166376	Typhaeus typhoeus	species
107782	Orectochilus villosus	species
446440	Gyrinus substriatus	species
1553471	Haliplus sibiricus	species
110018	Haliplus ruficollis	species
346783	Helophorus brevipalpis	species
1971292	Helophorus aequalis	species
904166	Heterocerus fenestratus	species
979152	Heterocerus marginatus	species
1553327	Gnathoncus nannetensis	species
154191	Paromalus flavicornis	species
1309110	Ochthebius dilatatus	species
878058	Limnebius truncatellus	species
154139	Hydrochus angustatus	species
290637	Hydrochus elongatus	species
877902	Cercyon melanocephalus	species
295564	Sphaeridium scarabaeoides	species
107881	Hygrobia hermanni	species
433201	Brachypterus urticae	species
1553508	Kateretes pusillus	species
442084	Cryptolestes duplicatus	species
1586609	Notolaemus unifasciatus	species
41311	Lampyris noctiluca	species
454571	Phosphaenus hemipterus	species
1587142	Cartodere bifasciata	species
1531406	Cartodere nodifer	species
355579	Anisotoma humeralis	species
290668	Nargus velox	species
195212	Limnichus pygmaeus	species
41109	Lucanus cervus	species
41107	Dorcus parallelipipedus	species
195273	Platycis minutus	species
343837	Pyropterus nigroruber	species
295947	Hylecoetus dermestoides	species
295949	Lymexylon navale	species
#icZeuTurn	Zeugophora turneri	species
433183	Abdera quadrifasciata	species
351518	Orchesia undulata	species
1971829	Meloe rugosus	species
1323541	Meloe violaceus	species
295700	Malachius bipustulatus	species
295702	Anthocomus rufus	species
295920	Rhizophagus bipustulatus	species
1586431	Rhizophagus parallelocollis	species
878198	Mordellochroa abdominalis	species
1588616	Variimorda villosa	species
433053	Mycetophagus atomarius	species
878153	Mycetophagus multipunctatus	species
1588563	Mycterus curculioides	species
202047	Nanophyes marmoratus	species
#icDieGrac	Dieckmanniellus gracilis	species
201871	Cimberis attelaboides	species
295923	Epuraea melanocephala	species
110027	Noterus clavicornis	species
1501877	Noterus crassicornis	species
1553597	Oedemera lurida	species
116146	Oedemera nobilis	species
1588290	Olibrus corticalis	species
442093	Phalacrus fimetarius	species
2567272	Phloiophilus edwardsii	species
1587466	Eubria palustris	species
1588274	Nossidium pilosellum	species
#icAcrRoss	Acrotrichis rosskotheni	species
#icPtiExot	Ptilodactyla exotica	species
879067	Xestobium rufovillosum	species
346838	Pyrochroa serraticornis	species
295985	Pyrochroa coccinea	species
295987	Pytho depressus	species
#icFerMarq	Ferreria marqueti	species
1069883	Byctiscus populi	species
1342243	Tatianaerhynchites aequatus	species
433052	Metoecus paradoxus	species
577144	Salpingus planirostris	species
295991	Vincenzellus ruficollis	species
351519	Scirtes hemisphaericus	species
351684	Microcara testacea	species
2878392	Anaspis fasciata	species
433021	Anaspis frontalis	species
414934	Phosphuga atrata	species
307046	Nicrophorus humator	species
295940	Silvanus unidentatus	species
346868	Uleiota planata	species
154142	Sphaerites glabratus	species
1588469	Sphaerius acaroides	species
577441	Aspidiphorus orbiculatus	species
295944	Sphindus dubius	species
662956	Ocypus olens	species
2083605	Heterothops praevius	species
295998	Pseudocistela ceramboides	species
878205	Nalassus laevioctostriatus	species
195324	Trixagus dermestoides	species
442101	Trixagus carinifrons	species
1461469	Trox scaber	species
1553806	Trox sabulosus	species
1586549	Thymalus limbatus	species
433272	Tenebroides mauritanicus	species
346746	Bitoma crenata	species
295817	Colydium elongatum	species
13068	Forficula auricularia	species
63648	Forficula lesnei	species
50449	Labidura riparia	species
146840	Labia minor	species
406638	Ectobius pallidus	species
406639	Ectobius panzeri	species
6978	Periplaneta americana	species
6976	Blatta orientalis	species
1262227	Acartophthalmus nigrinus	species
716607	Acartophthalmus bicolor	species
210248	Acrocera orbiculus	species
2882485	Ogcodes pallipes	species
414285	Phytomyza spinaciae	species
132626	Phytomyza ilicis	species
2719098	Sylvicola punctatus	species
259846	Anthomyia pluvialis	species
259847	Anthomyia procellaris	species
500284	Anthomyza gracilis	species
500282	Anthomyza collini	species
2794001	Machimus atricapillus	species
468697	Asilus crabroniformis	species
1623482	Asteia concinna	species
716597	Asteia amoena	species
192424	Atelestus pulicarius	species
#idAteDiss	Atelestus dissonans	species
2025112	Atherix ibis	species
#idIbiMarg	Ibisia marginata	species
716610	Aulacigaster leucopeza	species
189979	Bibio marci	species
52734	Dilophus febrilis	species
52719	Bolitophila cinerea	species
#idBolSaud	Bolitophila saundersii	species
2741128	Bombylius discolor	species
240869	Bombylius major	species
305562	Braula coeca	species
7373	Calliphora vicina	species
2173294	Melanomya nana	species
#idCamFlav	Camilla flavicauda	species
#idCamGlab	Camilla glabra	species
#idCamObsc	Campichoeta obscuripennis	species
1262281	Campichoeta punctum	species
2725536	Canace nasica	species
2725528	Tethina illota	species
#idMeoVaga	Meoneura vagans	species
#idMeoFlav	Meoneura flavifacies	species
2045219	Contarinia quinquenotata	species
2597407	Dasineura urticae	species
289301	Culicoides obsoletus	species
1525489	Serromyia femorata	species
2881677	Chamaemyia flavipalpis	species
2839829	Chamaemyia polystigma	species
41813	Chaoborus crystallinus	species
204564	Chaoborus flavicans	species
33397	Chironomus plumosus	species
700373	Procladius choreus	species
2795674	Chlorops speciosus	species
2823189	Elachiptera brevipennis	species
#idGymFlav	Gymnochiromyia flavella	species
#idChyFlav	Chyromya flava	species
576317	Clusia tigrina	species
576318	Clusiodes albimanus	species
169500	Coelopa pilipes	species
169498	Coelopa frigida	species
1219204	Sicus ferrugineus	species
2829445	Myopa tessellatipennis	species
227531	Anopheles plumbeus	species
120873	Ochlerotatus detritus	species
1740910	Cylindrotoma distinctissima	species
2203738	Phalacrocera replicata	species
560722	Diadocidia ferruginosa	species
608668	Diadocidia spinosula	species
1262299	Diastata fuscula	species
2725505	Diastata adusta	species
560781	Symmerus annulatus	species
1520323	Ditomyia fasciata	species
1780471	Dixella aestivalis	species
2870500	Dixa nubilipennis	species
327082	Dolichopus festivus	species
369887	Poecilobothrus nobilitatus	species
7300	Scaptomyza pallida	species
140569	Lordiphosa fenestrarum	species
#idDryFlae	Dryomyza flaveola	species
169445	Dryomyza anilis	species
1446181	Empis tessellata	species
2867109	Rhamphomyia laevipes	species
2719069	Hydrellia maura	species
2882474	Notiphila riparia	species
1086765	Fannia serena	species
95469	Fannia armata	species
1226586	Helcomyza ustulata	species
1230148	Suillia variegata	species
#idHelBore	Heleomyza borealis	species
169482	Heterocheila buccata	species
170903	Lipoptena cervi	species
452744	Crataerina pallida	species
1262239	Hybos culiciformis	species
1209083	Bicellaria vana	species
1914935	Macrocera vittata	species
1817652	Macrocera angulata	species
189931	Minettia longipennis	species
1825021	Sapromyzosoma quadripunctata	species
1690341	Limonia nubeculosa	species
#idAusOchr	Austrolimnophila ochracea	species
2725526	Silba fumosa	species
1754237	Lonchaea chorea	species
92596	Lonchoptera lutea	species
385268	Lonchoptera bifurcata	species
#idMegDoli	Megamerina dolium	species
1262234	Compsobata cibaria	species
1572562	Micropeza corrigiolata	species
2849645	Milichia ludens	species
2719087	Phyllomyza securicornis	species
116148	Mesembrina meridiana	species
221902	Musca autumnalis	species
608697	Speolepta leptogaster	species
633887	Nycteribia kolenatii	species
1637334	Basilia nana	species
716599	Odinia boletina	species
1720716	Odinia meijerei	species
84525	Gasterophilus intestinalis	species
1888233	Cephenemyia auribarbis	species
1298491	Opomyza germinationis	species
1262245	Opomyza florum	species
#idPalMuli	Palloptera muliebris	species
2795682	Toxonevra trimacula	species
2866288	Tricyphona immaculata	species
2882575	Pedicia rivosa	species
1743444	Periscelis annulata	species
#idPerWinn	Periscelis winnertzi	species
88686	Megaselia abdita	species
92542	Phora atra	species
1073109	Parapiophila vulgaris	species
#idSteNigc	Stearibia nigriceps	species
1821807	Cephalops varipes	species
566305	Nephrocerus scutellatus	species
1445822	Callomyia amoena	species
92607	Protoclythia modesta	species
286505	Platystoma seminationis	species
1262250	Rivellia syngenesiae	species
229640	Pollenia rudis	species
1266491	Pollenia labialis	species
2886749	Pseudopomyza atrimana	species
2867107	Psila merdaria	species
666059	Chamaepsila rosae	species
1160986	Clytocerus ocellaris	species
1161024	Satchelliella trivialis	species
1572538	Ptychoptera contaminata	species
1902997	Ptychoptera albimana	species
2484562	Rhagio scolopaceus	species
2867108	Rhagio annulatus	species
1606781	Stomorhina lunata	species
670626	Rhinophora lepida	species
559696	Paykullia maculata	species
226135	Sarcophaga carnaria	species
2795672	Blaesoxipha plumicornis	species
95463	Scathophaga stercoraria	species
391172	Norellia spinipes	species
1520325	Scatopse notata	species
#idThrCoxe	Thripomorpha coxendix	species
247600	Scenopinus fenestralis	species
2882819	Scenopinus niger	species
709459	Sciara hemerobioides	species
1817654	Schwenckfeldina carbonaria	species
1096045	Tetanocera elata	species
1096071	Hydromya dorsalis	species
137508	Sepsis fulgens	species
292387	Nemopoda nitidula	species
630741	Simulium aureum	species
304233	Simulium ornatum	species
1988065	Opacifrons coxata	species
137483	Lotophila atra	species
2949693	Stenomicra cogani	species
343672	Chloromyia formosa	species
931490	Stratiomys potamida	species
#idStrUstu	Strongylophthalmyia ustulata	species
226147	Blera fallax	species
511117	Merodon equestris	species
304241	Tabanus bromius	species
2878347	Hybomitra distinguenda	species
1053270	Eriothrix rufomaculata	species
631328	Tachina fera	species
1692487	Tanypeza longimana	species
103414	Anomoia purmunda	species
2719061	Euleia heraclei	species
1758350	Thaumalea testacea	species
1758352	Thaumalea verralli	species
2878346	Pandivirilia melaleuca	species
1774267	Thereva nobilitata	species
52757	Tipula paludosa	species
2746509	Nephrotoma flavipalpis	species
52760	Trichocera regelationis	species
#idTriAnnu	Trichocera annulata	species
1335492	Herina lugubris	species
