	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
0	Archaeognatha	Machilidae	Dilta hibernica	Availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1	Archaeognatha	Machilidae	Petrobius maritimus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
2	Coleoptera	Aderidae	Aderus populneus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
3	Coleoptera	Aderidae	Euglenes oculatus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
4	Coleoptera	Aegialiidae	Aegialia arenaria	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
6	Coleoptera	Alexiidae	Sphaerosoma pilosum	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
8	Coleoptera	Anobiidae	Ptinus sexpunctatus	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
176	Coleoptera	Ptinidae	Ptinus sexpunctatus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
9	Coleoptera	Anobiidae	Hemicoelus fulvicornis	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
10	Coleoptera	Anthicidae	Anthicus antherinus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
12	Coleoptera	Anthribidae	Platyrhinus resinosus	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
14	Coleoptera	Aphodiidae	Aphodius rufipes	Availablity	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
