taxon_id	input	rank	suggested
248324	Anastrophyllum hellerianum	species	Crossocalyx hellerianus
209807	Barbilophozia kunzeana	species	Schljakovia kunzeana
537838	Barbilophozia quadriloba	species	Schljakovianthus quadrilobus
1331087	Orthocaulis attenuatus	species	Neoorthocaulis attenuatus
209806	Orthocaulis floerkei	species	Neoorthocaulis floerkei
1527763	Cephalozia albescens	species	Fuscocephaloziopsis albescens
280823	Cephalozia catenulata	species	Fuscocephaloziopsis catenulata
1075679	Cephalozia connivens	species	Fuscocephaloziopsis connivens
402109	Cephalozia crassifolia	species	Fuscocephaloziopsis crassifolia
280839	Cephalozia curvifolia	species	Nowellia curvifolia
1230425	Cephalozia leucantha	species	Fuscocephaloziopsis leucantha
1230426	Cephalozia loitlesbergeri	species	Fuscocephaloziopsis loitlesbergeri
402110	Cephalozia lunulifolia	species	Fuscocephaloziopsis lunulifolia
1230428	Cephalozia macrostachya	species	Fuscocephaloziopsis macrostachya
1230430	Cephalozia pleniceps	species	Fuscocephaloziopsis pleniceps
1527785	Heterogemma capitata	species	Tritomaria capitata
1331045	Lophozia excisa	species	Lophoziopsis excisa
1331084	Lophozia longidens	species	Lophoziopsis longidens
248352	Tritomaria quinquedentata	species	Trilophozia quinquedentata
304445	Pellia endiviifolia	species	Apopellia endiviifolia
111435	Hygroamblystegium tenax	species	Amblystegium tenax
69983	Palustriella commutata	species	Palustriella falcata
140012	Serpoleskea confervoides	species	Platydictya confervoides
184650	Homalothecium lutescens	species	Camptothecium lutescens
200801	Bryum algovicum	species	Plagiobryum algovicum
66991	Bryum alpinum	species	Imbribryum alpinum
576376	Bryum apiculatum	species	Gemmabryum apiculatum
200803	Bryum archangelicum	species	Ptychostomum archangelicum
576377	Bryum arcticum	species	Ptychostomum arcticum
388895	Bryum bornholmense	species	Rosulabryum bornholmense
66992	Bryum caespiticium	species	Gemmabryum caespiticium
99387	Bryum capillare	species	Rosulabryum capillare
200806	Bryum cyclophyllum	species	Ptychostomum cyclophyllum
187845	Bryum demissum	species	Plagiobryum demissum
576378	Bryum dichotomum	species	Gemmabryum dichotomum
66993	Bryum donianum	species	Plagiobryum donianum
2929762	Bryum elegans	species	Ptychostomum elegans
216088	Bryum gemmiferum	species	Gemmabryum gemmiferum
388898	Bryum gemmilucens	species	Gemmabryum gemmilucens
187837	Bryum gemmiparum	species	Imbribryum gemmiparum
67232	Bryum julaceum	species	Anomobryum julaceum
420775	Bryum klinggraeffii	species	Gemmabryum klinggraeffii
563845	Bryum mildeanum	species	Imbribryum mildeanum
187838	Bryum muehlenbeckii	species	Imbribryum muehlenbeckii
200810	Bryum pallens	species	Ptychostomum pallens
187839	Bryum pallescens	species	Ptychostomum pallescens
190272	Bryum radiculosum	species	Gemmabryum radiculosum
187841	Bryum rubens	species	Rosulabryum rubens
190271	Bryum ruderale	species	Gemmabryum ruderale
388900	Bryum subapiculatum	species	Imbribryum subapiculatum
981517	Bryum turbinatum	species	Ptychostomum turbinatum
200812	Bryum uliginosum	species	Plagiobryum uliginosum
388903	Bryum violaceum	species	Gemmabryum violaceum
187846	Bryum zieri	species	Ptychostomum zieri
98330	Dicranum montanum	species	Orthodicranum montanum
296905	Racomitrium aciculare	species	Codriophorus aciculare
483358	Racomitrium aquaticum	species	Codriophorus aquaticus
95767	Racomitrium canescens	species	Niphotrichum canescens
71396	Racomitrium elongatum	species	Niphotrichum elongatum
657341	Racomitrium ericoides	species	Niphotrichum ericoides
129286	Racomitrium fasciculare	species	Dilutineuron fasciculare
981374	Racomitrium himalayanum	species	Bucklandiella himalayana
981376	Racomitrium sudeticum	species	Bucklandiella sudetica
172818	Neckera complanata	species	Alleniella complanata
103981	Neckera crispa	species	Exsertotheca crispa
323989	Neckera smithii	species	Leptodon smithii
478072	Nyholmiella gymnostoma	species	Orthotrichum gymnostomum
61564	Nyholmiella obtusifolia	species	Orthotrichum obtusifolium
1621533	Ulota calvescens	species	Atlantichella calvescens
186693	Isopterygiopsis pulchella	species	Isopterygiella pulchella
200711	Didymodon australasiae	species	Trichostomopsis australasiae
260773	Didymodon fallax	species	Geheebia fallax
260774	Didymodon ferrugineus	species	Geheebia ferruginea
260776	Didymodon insulanus	species	Vinealobryum insulanum
200712	Didymodon luridus	species	Geheebia lurida
260772	Didymodon maximus	species	Geheebia maxima
260778	Didymodon nicholsonii	species	Vinealobryum nicholsonii
200729	Didymodon sinuosus	species	Husnotiella sinuosa
260771	Didymodon spadiceus	species	Geheebia spadicea
260792	Didymodon umbrosus	species	Trichostomopsis umbrosa
260777	Didymodon vinealis	species	Vinealobryum vineale
96528	Cynodontium polycarpon	species	Cynodontium polycarpum
