taxon_id	input	rank	suggested
698801	Xylomyces aquaticus	species	Vargamyces aquaticus
2566060	Anguillospora longissima	species	Amniculicola longissima
181044	Conidiobolus osmodes	species	Neoconidiobolus osmodes
76012	Conidiobolus thromboides	species	Neoconidiobolus thromboides
136159	Aplosporella dothideoides	species	Anthostomella palmicola
278010	Arthopyrenia punctiformis	species	Arthopyrenia salicis
875176	Dischloridium laeense	species	Australiasca laeensis
4972	Bullera armeniaca	species	Dioszegia hungarica
4974	Bullera crocea	species	Dioszegia crocea
100049	Caryospora callicarpa	species	Trematosphaeria hydrela
435415	Ceratium hydnoides	species	Ceratiomyxa fruticulosa
1661791	Sphaerodes fimicola	species	Microthecium fimicola
2737165	Chionosphaera coppinsii	species	Crittendenia coppinsii
166631	Cladosporium chlorocephalum	species	Graphiopsis chlorocephala
1289961	Pseudovalsaria foedans	species	Pseudovalsaria ferruginea
146297	Dimerella lutea	species	Coenogonium luteum
232769	Dimerella pineti	species	Coenogonium pineti
2792658	Colacogloea peniophorae	species	Colacogloea effusa
1888955	Diplocarpa bloxamii	species	Diplocarpa bloxami
1071710	Phaeangella ventosa	species	Mollisia ventosa
166634	Davidiella dianthi	species	Cladosporium echinulatum
161657	Davidiella macrospora	species	Cladosporium iridis
1075110	Comoclathris typhicola	species	Pleospora typhicola
73002	Phoma macrostoma	species	Didymella macrostoma
1173061	Dipodascus geotrichum	species	Geotrichum candidum
43962	Geotrichum decipiens	species	Dipodascus armillariae
1978820	Sphaceloma populi	species	Elsinoe populi
369758	Entorrhiza scirpicola	species	Entorrhiza fineranae
5211	Filobasidium capsuligenum	species	Piskurozyma capsuligena
40450	Piptoporus betulinus	species	Fomitopsis betulina
474922	Glomerella cingulata	species	Colletotrichum gloeosporioides
2170747	Lachnum niveum	species	Dasyscyphella nivea
88632	Lecidea grisella	species	Lecidea fuscoatra
327271	Lentamyces parricidus	species	Lentamyces parricida
398331	Lentithecium arundinaceum	species	Setoseptoria arundinacea
1543936	Leptopeltis filicina	species	Fouragea filicina
394533	Aspicilia radiosa	species	Lobothallia radiosa
2075149	Melanamphora spinifera	species	Melogramma spiniferum
1619914	Melaspilea lentiginosa	species	Stictographa lentiginosa
64522	Mortierella gamsii	species	Linnemannia gamsii
205924	Mortierella parvispora	species	Entomortierella parvispora
252172	Nitschkia grevillii	species	Nitschkia grevillei
2651840	Ophiocordyceps gracilis	species	Paraisaria gracilis
1931354	Oxyporus latemarginatus	species	Irpex latemarginatus
2056307	Oxyporus obducens	species	Rigidoporus obducens
703506	Lecanidion atratum	species	Patellaria atrata
2055183	Patellaria compressa	species	Mollisia ligni
1986327	Pertusaria amara	species	Lepra amara
1033655	Psilachnum chrysostigmum	species	Pezizella chrysostigma
