taxon_id	input	rank
371067	Acarospora fuscata	species
286400	Polysporina simplex	species
78545	Acaulospora laevis	species
152639	Acrospermum compressum	species
443868	Agyrium rufum	species
5037	Histoplasma capsulatum	species
2831984	Leucogaster liosporus	species
1032852	Leucogaster nudus	species
65357	Albugo candida	species
435389	Jahnula aquatica	species
109903	Alphamyces chaetifer	species
41956	Amanita muscaria	species
283665	Enerthenema papillatum	species
765871	Stemonitopsis typhina	species
213320	Anguillospora furtiva	species
5101	Amorphotheca resinae	species
101483	Monographella nivalis	species
40654	Wallrothiella subiculosa	species
264126	Ceraceomyces tessulatus	species
194185	Pseudoproboscispora caudae-suis	species
265852	Anthracoidea caricis	species
1074046	Aphanopsis coenosa	species
1118352	Steinia geophana	species
255776	Apiospora montagnei	species
180791	Arachnomyces nitidus	species
742136	Arachnopeziza aurelia	species
318753	Arctomia delicatula	species
39680	Arthonia radiata	species
278010	Arthopyrenia salicis	species
74037	Arthroderma curreyi	species
2904647	Arthrorhaphis aeruginosa	species
146290	Arthrorhaphis citrinella	species
2081410	Ascocorticium anomalum	species
341453	Lasiobolus cuniculi	species
931431	Ascodichaena rugosa	species
54195	Ascoidea rubescens	species
5105	Ascosphaera apis	species
36655	Penicillium aurantiogriseum	species
5074	Penicillium brevicompactum	species
56746	Athelia epiphylla	species
1176130	Aulographum hederae	species
160862	Auricularia mesenterica	species
40419	Auriscalpium vulgare	species
64654	Backusella lamprospora	species
1196543	Backusella oblongispora	species
223396	Ainoa mooreana	species
83475	Baeomyces rufus	species
137748	Bankera fuligineoalba	species
162409	Bartalinia robillardoides	species
34480	Basidiobolus ranarum	species
409245	Beltrania querna	species
306125	Bertia moriformis	species
1155948	Nectriopsis sporangiicola	species
110586	Nectriopsis violacea	species
1276655	Bolbitius titubans	species
307806	Conocybe aporos	species
36056	Boletus edulis	species
1086346	Camarops polysperma	species
312340	Lentomitella cirrhosa	species
13563	Heterobasidion annosum	species
68795	Botryobasidium subcoronatum	species
55169	Botryosphaeria dothidea	species
190070	Dicellomyces scirpi	species
1145296	Brigantiaea fuscolutea	species
315200	Bryoglossum gracile	species
1198485	Hannaella luteola	species
172843	Fellhanera bouteillei	species
1518596	Leimonis erratica	species
189367	Cainia graminis	species
911321	Calcarisporiella thermophila	species
168910	Calicium viride	species
2831883	Calloria neglecta	species
47187	Caloscypha fulgens	species
104250	Candelaria concolor	species
271883	Candelariella vitellina	species
93487	Capnodium salicinum	species
1453784	Carbonicola anthracophila	species
109876	Catenaria anguillulae	species
281913	Catenomyces persicinus	species
945688	Catenophlyctis variabilis	species
1416618	Catillaria chalybeia	species
1792686	Cenangium ferruginosum	species
27311	Cephaloascus fragrans	species
95345	Cephalotheca sulfurea	species
1910946	Ceratocystis autographa	species
2075396	Sporendocladia fumosa	species
252201	Ceratosphaeria lampadophora	species
266072	Pilidium concavum	species
38033	Chaetomium globosum	species
252169	Chaetosphaerella phaeostroma	species
139949	Chaetosphaeria innumera	species
54693	Chlorociboria aeruginosa	species
47194	Desmazierella acicola	species
1507893	Chrysothrix candelaris	species
714576	Chrysothrix flavovirens	species
261098	Phlyctochytrium planicorne	species
4814	Chytriomyces hyalinus	species
1604274	Cladochytrium tenue	species
174058	Cladonia fimbriata	species
174067	Cladonia pyxidata	species
203533	Classicula fluitans	species
137625	Clastoderma debaryanum	species
440096	Clavaria fragilis	species
68753	Clavariadelphus pistillaris	species
5111	Claviceps purpurea	species
1289956	Apiorhynchostoma curreyi	species
1341328	Spilonema paradoxum	species
1341329	Spilonema revertens	species
2606990	Coccotrema citrinescens	species
413154	Chrysomyxa empetri	species
2797047	Scytinium lichenoides	species
2593657	Scytinium plicatile	species
177197	Coniochaeta ligniaria	species
164572	Chaenotheca chrysocephala	species
164575	Chaenotheca furfuracea	species
85977	Coniophora olivacea	species
80637	Coniophora puteana	species
1159477	Cordana pauciseptata	species
176275	Beauveria bassiana	species
714403	Coronophora gregaria	species
55342	Corticium roseum	species
304823	Cortinarius hemitrichus	species
59586	Corynespora cassiicola	species
132096	Corynespora olivacea	species
110238	Crepidotus cesatii	species
179855	Crepidotus variabilis	species
435416	Cribraria argillacea	species
300239	Cribraria cancellata	species
2072832	Endothia radicalis	species
215250	Acaromyces ingoldii	species
45142	Cucurbitaria berberidis	species
33158	Spathularia flavida	species
90261	Absidia caerulea	species
101105	Gongronella butleri	species
181981	Cheimonophyllum candidissimum	species
293805	Granulobasidium vellereum	species
293229	Cyphellophora olivacea	species
203526	Cystobasidium fimetarium	species
476042	Cystocoleus ebeneus	species
5412	Cystofilobasidium capitatum	species
89913	Cystofilobasidium infirmominiatum	species
2493773	Crustomyces expallens	species
1812521	Dacampia hookeri	species
29887	Dacrymyces stillatus	species
544579	Postia stiptica	species
1046378	Postia ptychogaster	species
2170746	Dactylospora stygia	species
4929	Meyerozyma guilliermondii	species
1849047	Coleophoma cylindrospora	species
1334559	Prototrichia metallica	species
83184	Diaporthe eres	species
42366	Diatrype disciformis	species
328845	Dictyosporium elegans	species
31287	Dictyostelium mucoroides	species
73001	Phoma herbarum	species
289976	Didymium clavus	species
1030369	Didymium difforme	species
135648	Paraconiothyrium fuckelii	species
125373	Paraphaeosphaeria michotii	species
2761393	Dimargaris verticillata	species
78923	Dispira cornuta	species
150782	Astraeus hygrometricus	species
2508942	Gyromitra ancilis	species
33161	Gyromitra esculenta	species
222515	Lemonniera aquatica	species
253302	Tetrachaetum elegans	species
909071	Discosia artocreas	species
2031124	Doassansiopsis hydrophila	species
162394	Dothidea sambuci	species
631193	Dothidotthia ramulicola	species
64499	Sydowia polyspora	species
2074952	Diplocarpon earlianum	species
538191	Pseudopeziza medicaginis	species
55340	Amylostereum chailletii	species
112237	Amylostereum laevigatum	species
300235	Echinostelium minutum	species
45429	Elaphomyces aculeatus	species
1637981	Elaphomyces asperulus	species
232753	Elixia flexella	species
45306	Elsinoe veneta	species
4872	Endogone pisiformis	species
71936	Clitopilus prunulus	species
631146	Entoloma conferendum	species
34485	Entomophthora muscae	species
63374	Entorrhiza aschersoniana	species
62642	Entyloma microsporum	species
48854	Eocronartium muscicola	species
190621	Herpobasidium filicinum	species
1206341	Epibryon plagiochilae	species
1206337	Epibryon diaphanum	species
4968	Eremascus albus	species
157594	Erysiphe alphitoides	species
246947	Neoerysiphe galeopsidis	species
2060870	Euzodiomyces lathrobii	species
5407	Exobasidium vaccinii	species
1041196	Syzygospora pallida	species
1162323	Antherospora tractemae	species
72567	Antherospora vaillantii	species
40437	Daedalea quercina	species
286414	Fuscidea lygaea	species
318758	Fuscidea mollis	species
202705	Gastrosporium simplex	species
566084	Geastrum striatum	species
90948	Geastrum triplex	species
177196	Ascocoryne cylichnium	species
139061	Ascocoryne sarcoides	species
566086	Geoglossum cookeanum	species
315207	Geoglossum fallax	species
63287	Jamesdicksonia dactylidis	species
127116	Jamesdicksonia irregularis	species
40444	Gloeophyllum sepiarium	species
144533	Glomus macrocarpum	species
469299	Thecaphora lathyri	species
5570	Cenococcum geophilum	species
124133	Apiognomonia errabunda	species
492490	Cryptosporella suffusa	species
68780	Ramaria stricta	species
150184	Ramaria decurrens	species
5393	Gomphidius glutinosus	species
2614277	Gyalidea lecideopsis	species
252678	Gonapodya polymorpha	species
71600	Graphis scripta	species
5276	Graphiola phoenicis	species
326631	Biscogniauxia anceps	species
97378	Biscogniauxia nummularia	species
5627	Grifola frondosa	species
185329	Gyalecta truncigena	species
80648	Gyroporus cyanescens	species
1491028	Clavatospora longibrachiata	species
45810	Corollospora maritima	species
1071702	Hamatocanthoscypha laricionis	species
187249	Harknessia eucalypti	species
370264	Harpella melusinae	species
1402991	Harpellomyces eccentricus	species
5574	Helicobasidium purpureum	species
252221	Helminthosphaeria clavariarum	species
253101	Hymenoscyphus scutula	species
155150	Bisporella citrina	species
315228	Helvella crispa	species
78325	Helvella macropus	species
100756	Hericium coralloides	species
476044	Racodium rupestre	species
45228	Heterogastridium pycnidioideum	species
1968684	Heterosphaeria patella	species
68759	Hydnum repandum	species
36061	Laccaria laccata	species
344591	Laccaria tortilis	species
2817881	Trechispora cohaerens	species
1211768	Trechispora mollusca	species
104224	Hygrocybe conica	species
72124	Hygrophoropsis aurantiaca	species
196135	Ionaspis lacustris	species
160932	Hymenochaete rubiginosa	species
109634	Gymnopilus junonius	species
231916	Gymnopilus dilepis	species
42384	Hyphochytrium catenoides	species
5131	Hypomyces chrysospermus	species
5132	Hypomyces rosellus	species
103884	Hyponectria buxi	species
42361	Daldinia concentrica	species
63214	Hypoxylon fragiforme	species
112995	Hysterangium clathroides	species
100027	Hysterium pulicare	species
83478	Dibaeis baeomyces	species
53373	Siphula ceratites	species
507466	Inocybe whitei	species
166043	Inocybe sindonia	species
40428	Ceriporia viridans	species
202697	Jaapia argillacea	species
61397	Kickxella alabastrina	species
147564	Kirschsteiniothelia aethiops	species
4989	Bensingtonia ciliata	species
1983711	Laboulbenia flagellata	species
2607500	Laboulbenia vulgaris	species
5630	Laetiporus sulphureus	species
1489789	Lagena radicicola	species
187261	Lamproconium desmazieri	species
987145	Lamproderma columbinum	species
92902	Lasiosphaeria ovina	species
1016800	Lecanographa lyncea	species
659194	Lecanora chlarotera	species
742157	Lecanora expallens	species
273104	Porpidia soredizodes	species
80653	Kavinia alboviridis	species
914054	Keissleriella ocellata	species
39932	Leotia lubrica	species
2016442	Leptodontidium trabinellum	species
112090	Aphanomyces astaci	species
100861	Aphanomyces euteiches	species
100866	Leptomitus lacteus	species
28988	Leptosphaeria doliolum	species
5278	Leucosporidium scottii	species
1334548	Licea marginata	species
2793310	Lichenoconium cargillianum	species
977789	Lichenoconium usneae	species
1263500	Lichenothelia convexa	species
157483	Lichina pygmaea	species
42458	Lichtheimia corymbifera	species
29829	Lipomyces starkeyi	species
86794	Lobaria pulmonaria	species
447950	Lobulomyces poculatus	species
2615234	Lopadium pezizoideum	species
1457319	Lopadostoma turgidum	species
1565511	Lophiotrema rubi	species
132173	Loramyces juncicola	species
339359	Zalerion maritima	species
90686	Lycoperdon perlatum	species
5428	Lycoperdon pyriforme	species
445258	Lyophyllum connatum	species
64660	Lyophyllum decastes	species
55194	Malassezia furfur	species
182057	Marasmius rotula	species
931590	Propolis farinosa	species
161978	Massalongia carnosa	species
708607	Massaria inquinans	species
45293	Massarina eburnea	species
271826	Megalospora tuberculosa	species
1006479	Lobothallia recedens	species
190605	Melampsora euphorbiae	species
172185	Melanconis stilbostoma	species
100047	Melanomma pulvis-pyrius	species
84746	Melanotaenium endogenum	species
1140624	Melogramma campylosporum	species
1109119	Meriderma carestiae	species
40446	Meripilus giganteus	species
355737	Chondrogaster pachysporus	species
27322	Metschnikowia bicuspidata	species
186352	Cephalotrichum microsporum	species
561152	Scopulariopsis brevicaulis	species
288790	Microbotryum stellariae	species
5272	Microbotryum violaceum	species
1293502	Microcalicium disseminatum	species
255777	Microsphaeropsis olivacea	species
157250	Microstroma album	species
703497	Microthyrium microscopicum	species
2775181	Mikronegeria fagi	species
1206357	Mniaecia jungermanniae	species
1206358	Mniaecia nivea	species
2055183	Mollisia ligni	species
237469	Mollisia melaleuca	species
89489	Monascus ruber	species
286427	Acrocordia conoidea	species
39407	Morchella esculenta	species
377608	Itersonilia pastinacae	species
84742	Itersonilia perplexans	species
101089	Chaetocladium brefeldii	species
29922	Mucor mucedo	species
71905	Mycena galericulata	species
43215	Ramularia endophylla	species
991776	Ramularia rubella	species
64633	Mycotypha microspora	species
147570	Myriangium duriaei	species
390894	Lophium mytilinum	species
78151	Oidiodendron rhodogenum	species
78154	Oidiodendron tenuissimum	species
112072	Naohidea sebacea	species
1053090	Dialonectria episphaeria	species
5507	Fusarium oxysporum	species
4758	Neocallimastix patriciarum	species
1056131	Exochalara longissima	species
1573175	Neozygites fresenii	species
203386	Nephroma laevigatum	species
203387	Nephroma parile	species
269155	Flagelloscypha minutissima	species
2493800	Merismodes anomala	species
2075193	Niesslia exosporioides	species
714360	Acanthonitschkea tristis	species
109881	Nowakowskiella elegans	species
232763	Ochrolechia tartarea	species
2494378	Olpidiopsis saprolegniae	species
117020	Gymnopus peronatus	species
206335	Rhodocollybia butyracea	species
45433	Onygena equina	species
71617	Tolypocladium ophioglossoides	species
145978	Ophioparma ventosa	species
42373	Ophiostoma novo-ulmi	species
1796083	Orbilia leucostigma	species
70604	Pachnocybe ferruginea	species
191112	Pannaria rubiginosa	species
144539	Paraglomus occultum	species
87261	Parmelia saxatilis	species
1619892	Hemigrapha asteriscus	species
1619893	Hemigrapha atlantica	species
71150	Paxillus involutus	species
161979	Peltigera canina	species
659211	Peltula euploca	species
2075235	Peniophora quercina	species
123356	Hyaloperonospora parasitica	species
120412	Peronospora ficariae	species
153480	Pertusaria albescens	species
498732	Pestalotiopsis guepinii	species
47203	Peziza vesiculosa	species
2901220	Mollisina rubi	species
380017	Phacidium lacerum	species
1385570	Lichenostigma alpinum	species
146781	Phallus impudicus	species
48140	Phanerochaete sordida	species
5331	Bjerkandera adusta	species
5224	Phleogena faginea	species
318762	Phlyctis agelaea	species
279129	Phragmidium mucronatum	species
269771	Phycomyces nitens	species
101486	Phyllachora graminis	species
71920	Rhodotus palmatus	species
289942	Craterium minutum	species
647304	Physarum leucophaeum	species
50936	Physcia aipolia	species
116822	Physcia tenella	species
388808	Physoderma maculare	species
369761	Pilobolus crystallinus	species
183917	Piptocephalis freseniana	species
168921	Placynthium nigrum	species
37360	Plasmodiophora brassicae	species
27335	Verticillium albo-atrum	species
100044	Pleomassaria siparia	species
95330	Pleuroascus nicholsonii	species
1774188	Hohenbuehelia atrocoerulea	species
28993	Pleurotus dryinus	species
92896	Pleurothecium recurvatum	species
181527	Pluteus cervinus	species
137743	Abortiporus biennis	species
467969	Podoscypha multizonata	species
40433	Daedaleopsis confragosa	species
5325	Trametes versicolor	species
348126	Porina aenea	species
2874900	Porina borreri	species
181942	Porotheleum fimbriatum	species
2480734	Porpidinia tumidula	species
668360	Protosporangium articulatum	species
668364	Protosteliopsis fimicola	species
472931	Protostelium mycophagum	species
284606	Protothelenella corrosa	species
284608	Protothelenella sphinctrinoidella	species
71717	Coprinellus micaceus	species
2070683	Homophron spadiceum	species
1141095	Pseudomassaria chondrospora	species
