taxon_id	input	rank	suggested
67583	Foviella affinis	species	Procerodes littoralis
2025577	Edwardsia carnea	species	Edwardsiella carnea
124277	Alcyonium glomeratum	species	Alcyonidium glomeratum
117508	Sphaceloderma caespitulum	species	Sphacelaria caespitula
43935	Ectocarpus flagelliformis	species	Ectocarpus fasciculatus
135205	Hildenbrandia crouaniorum	species	Hildenbrandia crouanii
1268066	Cruoria cruoriiformis	species	Cruoria cruoriaeformis
188456	Paucibranchia bellii	species	Marphysa bellii
875966	Ophelia borealis	species	Ophelia limacina
2589380	Monia patelliformis	species	Pododesmus patelliformis
228466	Corbula gibba	species	Varicorbula gibba
1138471	Boreochiton ruber	species	Tonicella rubra
529748	Margarites striatus	species	Margarites groenlandicus
271729	Aetea anguinea	species	Aetea anguina
