Diphasiastrum	alpinum	Lycopodiaceae	DTOL	DTOL	DTOL	NA	NA
Huperzia	selago	Lycopodiaceae	DTOL			NA	NA
Lycopodiella	inundata	Lycopodiaceae	DTOL			NA	NA
Lycopodium	clavatum	Lycopodiaceae	DTOL	DTOL	DTOL	NA	NA
Lycopodium	lagopus	Lycopodiaceae	DTOL			NA	NA
Selaginella	selaginoides	Selaginellaceae	DTOL	DTOL	DTOL	NA	NA
Isoetes	echinospora	Isoetaceae	DTOL	DTOL	DTOL	NA	NA
Isoetes	histrix	Isoetaceae	DTOL			NA	NA
Isoetes	lacustris	Isoetaceae	DTOL	DTOL	DTOL	NA	NA
Botrychium	lunaria	Ophioglossaceae	DTOL	DTOL	DTOL	NA	NA
Ophioglossum	azoricum	Ophioglossaceae	DTOL			NA	NA
Ophioglossum	lusitanicum	Ophioglossaceae	DTOL			NA	NA
Ophioglossum	vulgatum	Ophioglossaceae	DTOL	DTOL	DTOL	NA	NA
Equisetum	arvense	Equisetaceae	DTOL	DTOL	DTOL	NA	NA
Equisetum	fluviatile	Equisetaceae	DTOL			NA	NA
Equisetum	hyemale	Equisetaceae	DTOL	DTOL	DTOL	NA	NA
Equisetum	palustre	Equisetaceae	DTOL	DTOL		NA	NA
Equisetum	pratense	Equisetaceae	DTOL			NA	NA
Equisetum	ramosissimum	Equisetaceae	DTOL			NA	NA
Equisetum	sylvaticum	Equisetaceae	DTOL			NA	NA
Equisetum	telmateia	Equisetaceae	DTOL	DTOL		NA	NA
Equisetum	variegatum	Equisetaceae	DTOL			NA	NA
Osmunda	regalis	Osmundaceae	DTOL	DTOL	DTOL	NA	NA
Hymenophyllum	tunbrigense	Hymenophyllaceae	DTOL	DTOL	DTOL	NA	NA
Hymenophyllum	wilsonii	Hymenophyllaceae	DTOL			NA	NA
Pilularia	globulifera	Marsileaceae	DTOL	DTOL	DTOL	NA	NA
Azolla	filiculoides	Salviniaceae	DTOL	DTOL	DTOL	NA	NA
Pteridium	aquilinum	Dennstaedtiaceae	DTOL	DTOL	DTOL	NA	NA
Adiantum	capillus-veneris	Pteridaceae	DTOL	DTOL	DTOL	NA	NA
Anogramma	leptophylla	Pteridaceae	DTOL	DTOL	DTOL	NA	NA
Cryptogramma	crispa	Pteridaceae	DTOL			NA	NA
Cystopteris	alpina	Cystopteridaceae	DTOL			NA	NA
Cystopteris	diaphana	Cystopteridaceae	DTOL			NA	NA
Cystopteris	fragilis	Cystopteridaceae	DTOL			NA	NA
Cystopteris	montana	Cystopteridaceae	DTOL	DTOL	DTOL	NA	NA
Gymnocarpium	dryopteris	Cystopteridaceae	DTOL			NA	NA
Gymnocarpium	robertianum	Cystopteridaceae	DTOL	DTOL	DTOL	NA	NA
Asplenium	adiantum-nigrum	Aspleniaceae	DTOL			NA	NA
Asplenium	ceterach	Aspleniaceae	DTOL			NA	NA
Asplenium	marinum	Aspleniaceae	DTOL			NA	NA
Asplenium	obovatum	Aspleniaceae	DTOL			NA	NA
Asplenium	onopteris	Aspleniaceae	DTOL			NA	NA
Asplenium	ruta-muraria	Aspleniaceae	DTOL	DTOL		NA	NA
Asplenium	scolopendrium	Aspleniaceae	DTOL	DTOL	DTOL	NA	NA
Asplenium	septentrionale	Aspleniaceae	DTOL			NA	NA
Asplenium	trichomanes	Aspleniaceae	DTOL			NA	NA
Asplenium	viride	Aspleniaceae	DTOL	DTOL	DTOL	NA	NA
Oreopteris	limbosperma	Thelypteridaceae	DTOL			NA	NA
Phegopteris	connectilis	Thelypteridaceae	DTOL	DTOL	DTOL	NA	NA
Thelypteris	palustris	Thelypteridaceae	DTOL	DTOL	DTOL	NA	NA
Athyrium	distentifolium	Woodsiaceae	DTOL	DTOL	DTOL	NA	NA
Athyrium	filix-femina	Woodsiaceae	DTOL	DTOL		NA	NA
Woodsia	alpina	Woodsiaceae	DTOL	DTOL		NA	NA
Woodsia	ilvensis	Woodsiaceae	DTOL	DTOL	DTOL	NA	NA
Blechnum	spicant	Blechnaceae	DTOL	DTOL	DTOL	NA	NA
Dryopteris	aemula	Dryopteridaceae	DTOL	DTOL	DTOL	NA	NA
