taxon_id	input	rank	suggested
63136	Colpoda steinii	species	Colpoda steini
529820	Amastigomonas media	species	Amastigomonas sp. 6B/7c
529821	Amastigomonas oxoniensis	species	Amastigomonas sp. IVY8c
75804	Scotiellopsis oocystiformis	species	Coelastrella oocystiformis
304863	Monomorphina aenigmaticus	species	Monomorphina aenigmatica
96784	Phacus pyrum	species	Monomorphina pyrum
13221	Pleurochrysis carterae	species	Chrysotila carterae
2801	Rhodella maculata	species	Rhodella violacea
127444	Elongisporangium undulatum	species	Phytophthora undulata
120401	Newbya pascuicola	species	Achlya ornata
259834	Cyclotella pseudostelligera	species	Discostella pseudostelligera
33645	Fragilaria striatula	species	Grammonema striatula
180228	Neoparamoeba pemaquidensis	species	Paramoeba pemaquidensis
2528165	Monoraphidium griffithii	species	Monoraphidium griffithi
334524	Isoachlya subterranea	species	Saprolegnia subterranea
