Family	Genus	Species	NCBI name (if different)	Status	2020	lowest_priority	RBGE_2021	RBGK_2021	RBGE_2022	RBGK_2022	sample_collected	other_priority	family_representative	long_list
Cupressaceae	Juniperus	communis		dtol_family_representative	yes						DTOL		DTOL	DTOL
Pinaceae	Pinus	sylvestris		dtol_family_representative	yes						DTOL		DTOL	DTOL
Pinaceae	Pseudotsuga	menziesii		dtol_family_representative				yes			DTOL		DTOL	DTOL
Taxaceae	Taxus	baccata		dtol_family_representative	yes						DTOL		DTOL	DTOL
Aspleniaceae	Asplenium	adiantum-nigrum		dtol					yes		DTOL			DTOL
Aspleniaceae	Asplenium	ceterach		dtol				yes			DTOL			DTOL
Aspleniaceae	Asplenium	marinum		dtol				yes			DTOL			DTOL
Aspleniaceae	Asplenium	obovatum		dtol										DTOL
Aspleniaceae	Asplenium	onopteris		dtol										DTOL
Aspleniaceae	Asplenium	ruta-muraria		dtol_other_priority	yes						DTOL	DTOL		DTOL
Aspleniaceae	Asplenium	scolopendrium		dtol_family_representative	yes						DTOL		DTOL	DTOL
Aspleniaceae	Asplenium	septentrionale		dtol					yes		DTOL			DTOL
Aspleniaceae	Asplenium	trichomanes		dtol				yes			DTOL			DTOL
Aspleniaceae	Asplenium	viride		dtol_family_representative			yes				DTOL		DTOL	DTOL
Blechnaceae	Blechnum	spicant		dtol_family_representative	yes						DTOL		DTOL	DTOL
Cystopteridaceae	Cystopteris	alpina		dtol										DTOL
Cystopteridaceae	Cystopteris	diaphana		dtol										DTOL
Cystopteridaceae	Cystopteris	dickieana		dtol										DTOL
Cystopteridaceae	Cystopteris	fragilis		dtol										DTOL
Cystopteridaceae	Cystopteris	montana		dtol_family_representative			yes				DTOL		DTOL	DTOL
Cystopteridaceae	Gymnocarpium	dryopteris		dtol										DTOL
Cystopteridaceae	Gymnocarpium	robertianum		dtol_family_representative	yes						DTOL		DTOL	DTOL
Dennstaedtiaceae	Pteridium	aquilinum		dtol_family_representative	yes						DTOL		DTOL	DTOL
