taxon_id	input	rank	suggested
112094	Achlya bispora	species	Brevilegnia bispora
27335	Acremonium apii	species	Verticillium albo-atrum
461124	Acremonium restrictum	species	Chlamydosporiella restricta
286007	Acrogenospora sphaerocephala	species	Acrogenospora carmichaeliana
5341	Agaricus brunnescens	species	Agaricus bisporus
239117	Agaricus croceus	species	Cortinarius croceus
141857	Agaricus cyanus	species	Cortinarius caerulescens
38945	Agaricus fuscipes	species	Flammulina velutipes
1612253	Agaricus graveolens	species	Calocybe graveolens
181989	Agaricus leucophyllus	species	Gamundia leucophylla
1032844	Agaricus listeri	species	Lactarius pergamenus
230767	Agaricus pileolarius	species	Infundibulicybe geotropa
364711	Agonimia gelatinosa	species	Polyblastia gelatinosa
2074745	Aleurodiscus delicatus	species	Acanthobasidium delicatum
166454	Aleurodiscus norvegicus	species	Acanthobasidium norvegicum
119919	Alternaria raphani	species	Alternaria japonica
2608779	Amphiporthe leiphaemia	species	Dendrostoma leiphaemia
603838	Androsaceus actinophorus	species	Crinipellis actinophora
1663484	Apostrasseria lunata	species	Allantophomopsis lunata
1450331	Arcyria vitellina	species	Arcyria versicolor
47427	Armillaria lutea	species	Armillaria gallica
201225	Armillaria subcava	species	Leucocoprinus brebissonii
1542741	Arthonia muscigena	species	Bryostigma muscigenum
63406	Arthroderma simii	species	Trichophyton simii
287985	Ascochyta alismatis	species	Plectosphaerella alismatis
622173	Ascochyta clematidina	species	Calophoma clematidina
1770171	Ascochyta desmazieri	species	Neoascochyta desmazieri
306554	Ascochyta nymphaeae	species	Colletotrichum nymphaeae
394533	Aspicilia radiosa	species	Lobothallia radiosa
2698429	Athelopsis galzinii	species	Pteridomyces galzinii
2094522	Aurantiporus alborubescens	species	Odoria alborubescens
5423	Aureobasidium microstictum	species	Kabatiella microsticta
55348	Auricularia cinerea	species	Peniophora cinerea
1150419	Bactrodesmium longisporum	species	Gamsomyces longisporus
1652118	Badhamia curtisii	species	Craterium obovatum
1652118	Badhamia rubiginosa	species	Craterium obovatum
98763	Basidioradulum tuberculatum	species	Cytidiella albida
2016432	Bloxamia leucophthalma	species	Bloxamia truncata
1354919	Boletus armeniacus	species	Xerocomellus armeniacus
178527	Boletus leucomelaena	species	Boletopsis leucomelaena
2493828	Boletus radicatus	species	Pseudofistulina radicata
139424	Boletus rubiginosus	species	Ischnoderma benzoinum
36058	Boletus vaccinus	species	Xerocomus badius
856250	Botryodiplodia fraxini	species	Diplodia fraxini
45134	Botryosphaeria ribis	species	Neofusicoccum ribis
279361	Botrytis anthophila	species	Sclerotinia spermophila
134698	Botrytis epiphylla	species	Peronospora farinosa
153157	Cacumisporium capitulatum	species	Chaetosphaeria decastyla
131356	Calonectria theae	species	Calonectria indusiata
1300031	Caloplaca chrysodeta	species	Leproplaca chrysodeta
1301499	Caloplaca phlogina	species	Polycauliona phlogina
520595	Caloplaca xantholyta	species	Leproplaca xantholyta
2041240	Calospora arausiaca	species	Coryneum arausiacum
2040570	Camarosporium spartii	species	Camarosporidiella spartii
2052908	Candelabrum brocchiatum	species	Brocchiosphaera brocchiata
2052907	Candelabrum spinulosum	species	Hyaloscypha spinulosa
4929	Candida guilliermondii	species	Meyerozyma guilliermondii
53655	Candida lambica	species	Pichia fermentans
49330	Candida norvegica	species	[Candida] norvegica
1263323	Cantharellus melanoxeros	species	Craterellus melanoxeros
467939	Ceraceomyces borealis	species	Serpulomyces borealis
1796096	Cercospora depazeoides	species	Pseudocercospora depazeoides
1931366	Ceriporia metamorphosa	species	Riopa metamorphosa
156595	Ceriporiopsis mucida	species	Porpomyces mucidus
98758	Ceriporiopsis pannocincta	species	Gloeoporus pannocinctus
1659228	Ceuthospora lauri	species	Phacidium lauri
1934397	Chaetomium senegalense	species	Ovatospora senegalensis
2737165	Chionosphaera coppinsii	species	Crittendenia coppinsii
2036943	Chlamydomyces palmarum	species	Harzia palmara
1126960	Chrysosporium asperatum	species	Ctenomyces vellereus
1126944	Chrysosporium luteum	species	Myceliophthora lutea
193391	Cladobotryum fungicola	species	Hypomyces semitranslucens
101002	Cladobotryum verticillatum	species	Hypomyces armeniacus
166631	Cladosporium chlorocephalum	species	Graphiopsis chlorocephala
1046109	Cladotrichum myrmecophilum	species	Ophiocordyceps forquignonii
252169	Cladotrichum triseptatum	species	Chaetosphaerella phaeostroma
2016671	Clasterosporium fasciculare	species	Pleotrichocladium opacum
2079456	Claussenomyces allenii	species	Claussenomyces atrovirens
64660	Clitocybe coffeata	species	Lyophyllum decastes
1032901	Clitocybe curtisii	species	Melanoleuca curtipes
230768	Clitocybe mortuosa	species	Clitocybe metachroa
648681	Clitopilus septicoides	species	Clitopilus hobsonii
101162	Cochliobolus miyabeanus	species	Bipolaris oryzae
2792658	Colacogloea peniophorae	species	Colacogloea effusa
2488736	Collema subfurvum	species	Collema subflaccidum
5467	Colletotrichum capsici	species	Colletotrichum truncatum
937743	Collybia retigera	species	Hymenopellis radicata
379984	Collybia stevensonii	species	Gymnopus readiae
236212	Collybia ventricosa	species	Gymnopus aquosus
1167838	Conidiobolus heterosporus	species	Capillidium heterosporum
1342295	Conidiobolus lachnodes	species	Neoconidiobolus lachnodes
181044	Conidiobolus osmodes	species	Neoconidiobolus osmodes
181046	Conidiobolus rhysosporus	species	Capillidium rhysosporum
76012	Conidiobolus thromboides	species	Neoconidiobolus thromboides
1077355	Coniothyrium obiones	species	Neocamarosporium obiones
71668	Conocybe togularis	species	Agrocybe praecox
530113	Coprinus bellulus	species	Coprinopsis bellula
505272	Coprinus deliquescens	species	Coprinellus deliquescens
71694	Coprinus fuscescens	species	Coprinopsis atramentaria
71722	Coprinus squamosus	species	Coprinopsis romagnesiana
5346	Coprinus tomentosus	species	Coprinopsis cinerea
176089	Coprinus velox	species	Coprinopsis stercorea
87730	Cordyceps myrmecophila	species	Ophiocordyceps myrmecophila
264096	Corticium anthochroum	species	Erythricium laetum
194996	Corticium radiosum	species	Vesiculomyces citrinus
304800	Cortinarius angulosus	species	Cortinarius renidens
47323	Cortinarius punctatus	species	Cortinarius gentilis
183879	Cortinarius sublanatus	species	Cortinarius cotoneus
289942	Craterium brunneum	species	Craterium minutum
156599	Cristella submutabilis	species	Trechispora farinacea
89926	Cryptococcus macerans	species	Cystofilobasidium macerans
45140	Cucurbidothis pityophila	species	Curreya pityophila
2499871	Cucurbitaria sorbi	species	Synfenestella sorbi
303672	Cylindrocarpon ianthothele	species	Thelonectria rubi
42744	Cylindrocarpon lichenicola	species	Fusarium lichenicola
858592	Cylindrotrichum clavatum	species	Reticulascus clavatus
1028407	Cylindrotrichum oligospermum	species	Reticulascus tulasneorum
1032609	Cystolepiota moelleri	species	Cystolepiota rosea
252744	Cytospora subclypeata	species	Valsa subclypeata
47276	Dactylaria dimorphospora	species	[Dactylaria] dimorphospora
1051791	Dactylaria fusiformis	species	Scolecobasidium fusiforme
1578916	Dactylaria juncicola	species	Macgarvieomyces borealis
313362	Dactylella candida	species	Dactylium candidum
430499	Dactylella leptospora	species	Dactylellina leptospora
74497	Dactylella minuta	species	Orbilia rhopalota
217297	Daedalea aurea	species	Pseudomerulius aureus
2185227	Deightoniella arundinacea	species	Utrechtiana arundinacea
5007	Dekkera bruxellensis	species	Brettanomyces bruxellensis
5007	Dekkera intermedia	species	Brettanomyces bruxellensis
186354	Dematium echinobotryum	species	Cephalotrichum stemonitis
1792674	Dencoeliopsis johnstonii	species	Rutstroemia johnstonii
440566	Diaporthe rostellata	species	Gnomonia rostellata
2137241	Dicarpella dryina	species	Tubakia suttoniana
290626	Dicoccum asperum	species	Trichocladium asperum
142829	Dictyostelium aureostipes	species	Cavenderia aureostipes
372025	Didymella fabae	species	Ascochyta fabae
218861	Didymium congestum	species	Physarum didermoides
385451	Didymium melanopus	species	Didymium melanospermum
29852	Diplocladium minus	species	Hypomyces aurantius
708607	Diplodia inquinans	species	Massaria inquinans
139102	Diplomitoporus lindbladii	species	Cinereomyces lindbladii
875176	Dischloridium laeense	species	Australiasca laeensis
415589	Dothidella ulmi	species	Platychora ulmi
103884	Dothiorella candollei	species	Hyponectria buxi
139234	Drechslera catenaria	species	Pyrenophora catenaria
2211334	Drechslera fugax	species	Pyrenophora fugax
139237	Drechslera phlei	species	Pyrenophora grahamii
684097	Eccilia molliuscula	species	Entoloma cephalotrichum
