taxon_id	input	rank	suggested
1350006	Vanderbylia fraxinea	species	Perenniporia fraxinea
1755444	Nectria sp.	species	Nectria sp. (in: ascomycete fungi)
1302223	Lanzia cuniculi	species	Rutstroemia cuniculi
937743	Xerula radicata	species	Hymenopellis radicata
163804	Velutarina rufo-olivacea	species	Velutarina rufoolivacea
1889039	Encoelia fimbriata	species	[Encoelia] fimbriata
167373	Phellinus wahlbergii	species	Fuscoporia wahlbergii
1033655	Psilachnum chrysostigmum	species	Pezizella chrysostigma
183880	Cortinarius croceocoeruleus	species	Thaxterogaster croceocoeruleus
304747	Cortinarius elegantissimus	species	Calonarius elegantissimus
1978343	Cortinarius amoenolens	species	Phlegmacium amoenolens
393249	Cortinarius vesterholtii	species	Calonarius vesterholtii
393245	Cortinarius cisticola	species	Calonarius cisticola
749444	Clavulinopsis corniculata	species	Ramariopsis corniculata
2968026	Gymnopus villosipes	species	Collybiopsis villosipes
1398758	Hygrocybe calyptriformis	species	Porpolomopsis calyptriformis
217302	Paxillus obscurisporus	species	Paxillus obscurosporus
110526	Kretzschmaria deusta	species	Ustulina deusta
269812	Ophiostoma dentifundum	species	Sporothrix dentifunda
205924	Mortierella parvispora	species	Entomortierella parvispora
290189	Postia caesia	species	Cyanosporus caesius
45568	Candida mesenterica	species	[Candida] mesenterica
230357	Mazzantia angelicae	species	Diaporthe angelicae
933320	Mycena tortuosa	species	Hemimycena tortuosa
371118	Botryosphaeria visci	species	Sphaeropsis visci
255209	Achroomyces disciformis	species	Platygloea disciformis
122423	Bionectria ralfsii	species	Clonostachys ralfsii
2231603	Lecanicillium muscarium	species	Akanthomyces muscarius
64525	Mortierella minutissima	species	Podila minutissima
2074843	Chaetomium spinosum	species	Xanthiomyces spinosus
1709941	Unknown fungus	species	fungal sp.
2729594	Polyporus durus	species	Nigrohirschioporus durus
2952469	Peziza badia	species	Legaliana badia
2074862	Collybia maculata	species	Rhodocollybia maculata
2823264	Gymnopus confluens	species	Collybiopsis confluens
121053	leccinum versipelle	species	Leccinum versipelle
932629	Lophodermium juniperi	species	Lophodermium juniperinum
117019	Gymnopus acervatus	species	Connopus acervatus
176825	russula sanguinea	species	Russula sanguinea
176833	russula betularum	species	Russula betularum
1928545	Marasmius vaillantii	species	Collybiopsis vaillantii
150803	scleroderma verrucosum	species	Scleroderma verrucosum
5403	russula cyanoxantha	species	Russula cyanoxantha
47422	cortinarius limonius	species	Aureonarius limonius
176782	russula aquosa	species	Russula aquosa
2909142	Gymnopus peronatus	species	Collybiopsis peronata
1663179	Leucopaxillus rhodoleucus	species	Pseudoclitopilus rhodoleucus
1056147	melanoleuca polioleuca	species	Melanoleuca polioleuca
566073	Entoloma chalybeum	species	Entoloma chalybaeum
245163	Naucoria amarescens	species	Alnicola amarescens
1276720	Conocybe arrhenii	species	Pholiotina arrhenii
1398756	Hygrocybe ovina	species	Neohygrocybe ovina
1611796	Calocybe carnea	species	Rugosomyces carneus
2806344	Peziza succosa	species	Paragalactinia succosa
2074862	Gomphidius maculatus	species	Rhodocollybia maculata
222052	Cortinarius triumphans	species	Phlegmacium triumphans
1982014	Absidia sp.	species	Absidia sp. (in: fungi)
220672	Leptosphaeria biglobosa	species	Plenodomus biglobosus
95328	Nigrosabulum globosum	species	Hapsidospora globosa
33186	Auxarthron zuffianum	species	Malbranchea zuffiana
34436	Chlorophyllum rachodes	species	Chlorophyllum rhacodes
88742	Xanthoria elegans	species	Rusavskia elegans
2016031	Lobaria virens	species	Ricasolia virens
1301332	Caloplaca marina	species	Flavoplaca marina
1934368	Chaetomium bostrychodes	species	Collariella bostrychodes
2036943	Chlamydomyces palmarum	species	Harzia palmara
398332	Didymosphaeria igniaria	species	Periconia igniaria
749563	Didymella lycopersici	species	Boeremia lycopersici
5346	Coprinus cinereus	species	Coprinopsis cinerea
190048	Thielavia sepedonium	species	Corynascus sepedonium
186344	Microascus manginii	species	Scopulariopsis candida
327271	Absidia parricida	species	Lentamyces parricida
13563	Spiniger meineckellus	species	Heterobasidion annosum
1577608	Pyricularia juncicola	species	Macgarvieomyces juncicola
669021	Aporothielavia leptoderma	species	Chaetomidium leptoderma
