taxon_id	input	rank
1350006	Perenniporia fraxinea	species
139825	Sparassis crispa	species
90686	Lycoperdon perlatum	species
56174	Leucocoprinus birnbaumii	species
139390	Plicaturopsis crispa	species
149346	Clavulina rugosa	species
181985	Clitocybe odora	species
2781586	Stropharia cyanea	species
39932	Leotia lubrica	species
2781588	Podophacidium xanthomelum	species
1434228	Microglossum griseoviride	species
29895	Pseudohydnum gelatinosum	species
160928	Guepinia helvelloides	species
230767	Infundibulicybe geotropa	species
34428	Agaricus arvensis	species
151294	Tricholomopsis rutilans	species
166043	Inocybe sindonia	species
1755444	Nectria sp. (in: ascomycete fungi)	species
355755	Geastrum pectinatum	species
2008357	Contumyces rosellus	species
42361	Daldinia concentrica	species
5188	Aleuria aurantia	species
714545	Plagiostoma aesculi	species
190013	Chlorophyllum brunneum	species
1935363	Scutellinia sp.	species
285637	Bankera violascens	species
2832327	Hortiboletus engelii	species
182627	Butyriboletus appendiculatus	species
1449397	Clathrus archeri	species
67634	Seifertia azaleae	species
114818	Xylaria longipes	species
398499	Euepixylon udum	species
1756131	Arthrinium sp.	species
158314	Polyporus umbellatus	species
458648	Urocystis anemones	species
1302223	Rutstroemia cuniculi	species
369782	Plasmoverna pygmaea	species
5321	Pleurotus cornucopiae	species
44606	Disciotis venosa	species
1174673	Morchella importuna	species
167352	Pseudoinonotus dryadeus	species
4846	Rhizopus stolonifer	species
76940	Coprinopsis strossmayeri	species
1715226	Cytospora sp.	species
48021	Artomyces pyxidatus	species
71933	Amanita rubescens	species
67700	Amanita citrina	species
80636	Coniophora arida	species
5241	Tulasnella violea	species
83254	Skeletocutis nivea	species
#gfOxyLate	Oxyporus latemarginatus	species
139378	Oxyporus populinus	species
5574	Helicobasidium purpureum	species
139424	Ischnoderma benzoinum	species
68795	Botryobasidium subcoronatum	species
104305	Botryobasidium aureum	species
182057	Marasmius rotula	species
#gfCerCris	Ceraceomyces crispatus	species
937743	Hymenopellis radicata	species
156599	Trechispora farinacea	species
139128	Radulomyces molaris	species
85970	Rhizopogon luteolus	species
85976	Chroogomphus rutilus	species
80648	Gyroporus cyanescens	species
1889042	Ionomidotis fulvotingens	species
40488	Sarcomyxa serotina	species
2170747	Dasyscyphella nivea	species
2075156	Mollisia lividofusca	species
163804	Velutarina rufoolivacea	species
40469	Inonotus hispidus	species
29884	Ganoderma applanatum	species
34465	Ganoderma resinaceum	species
1889039	[Encoelia] fimbriata	species
2729662	Ypsilina buttingtonensis	species
167373	Fuscoporia wahlbergii	species
40262	Cryphonectria radicalis	species
1756130	Lachnum sp.	species
47828	Lachnum virgineum	species
1033655	Pezizella chrysostigma	species
71955	Inocybe lilacina	species
230810	Mycena olivaceomarginata	species
646506	Marasmius cohaerens	species
68753	Clavariadelphus pistillaris	species
388837	Aureoboletus gentilis	species
54540	Tricholoma pardinum	species
182868	Lepiota castanea	species
183880	Thaxterogaster croceocoeruleus	species
160859	Lepiota oreadiformis	species
90948	Geastrum triplex	species
440096	Clavaria fragilis	species
2004834	Clavaria cf. fragilis	species
2709074	Phaeoclavulina alboapiculata	species
467872	Inocybe posterula	species
36061	Laccaria laccata	species
230769	Singerocybe phaeophthalma	species
40444	Gloeophyllum sepiarium	species
304747	Calonarius elegantissimus	species
1911259	Cortinarius bergeronii	species
1978343	Phlegmacium amoenolens	species
1078859	Cortinarius puniceus	species
1033783	Russula faginea	species
152966	Russula olivacea	species
1661158	Lycoperdon excipuliforme	species
67736	Amanita vaginata	species
318605	Inocybe fraudans	species
467885	Inocybe hirtella	species
222050	Calonarius splendens	species
2014969	Amanita simulans	species
393249	Calonarius vesterholtii	species
393245	Calonarius cisticola	species
1148785	Inocybe fuscescentipes	species
749444	Ramariopsis corniculata	species
240310	Inocybe griseolilacina	species
234946	Hygrophorus discoxanthus	species
37992	Xylaria hypoxylon	species
182055	Macrocystidia cucumis	species
2968026	Collybiopsis villosipes	species
669522	Ramariopsis tenuiramosa	species
2720607	Hemimycena cucullata	species
1398758	Porpolomopsis calyptriformis	species
2822767	Inocybe obscuroides	species
674002	Inocybe cincinnata	species
