SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Vanderbylia fraxinea	Vanderbylia	Polyporaceae	Polyporales	DTOL	sample_collected
Sparassis crispa	Sparassis	Sparassidaceae	Agaricales	DTOL	sample_collected
Lycoperdon perlatum	Lycoperdon	Lycoperdaceae	Amylocorticiales	DTOL	sample_collected
Leucocoprinus birnbaumii	Leucocoprinus	Agaricaceae	Cantharellales	DTOL	sample_collected
Plicaturopsis crispa	Plicaturopsis	Amylocorticiaceae	Russulales	DTOL	sample_collected
Clavulina rugosa	Clavulina	Hydnaceae		DTOL	sample_collected
Clitocybe odora	Clitocybe	Tricholomataceae	Helotiales	DTOL	sample_collected
Stropharia cyanea	Russula		Phacidiales	DTOL	sample_collected
Leotia lubrica	Postia	Fomitopsidaceae	Pleosporales	DTOL	sample_collected
Leotia lubrica	Diatrypella			DTOL	sample_collected
Podophacidium xanthomelum	Helvella	Elaphomycetaceae		DTOL	sample_collected
Microglossum griseoviride	Pseudohydnum	Hydnangiaceae	Orbiliales	DTOL	sample_collected
Pseudohydnum gelatinosum	Stereum	Bolbitiaceae	Incertae sedis	DTOL	sample_collected
Guepinia helvelloides	Exidia	Nectriaceae	Microthyriales	DTOL	sample_collected
Infundibulicybe geotropa	Phaeohelotium	Lachnaceae	Chaetothyriales	DTOL	sample_collected
Agaricus arvensis	Coprinellus			DTOL	sample_collected
Tricholomopsis rutilans	Daedalea	Rhizopodaceae		DTOL	sample_collected
Inocybe sindonia	Resupinatus	Macrocystidiaceae		DTOL	sample_collected
Inocybe sindonia	Humicola			DTOL	sample_collected
Nectria sp.	Panaeolus	Bionectriaceae		DTOL	sample_collected
Geastrum pectinatum	Agrocybe			DTOL	sample_collected
Contumyces rosellus		Chaetosphaerellaceae		DTOL	sample_collected
Daldinia concentrica	Rubroboletus	Vialaeaceae		DTOL	sample_collected
Aleuria aurantia	Urocystis	Echinodontiaceae		DTOL	sample_collected
Aleuria aurantia				DTOL	sample_collected
Plagiostoma aesculi	Velutarina	Exobasidiaceae		DTOL	sample_collected
Plagiostoma aesculi	Inonotus	Juglanconidaceae		DTOL	sample_collected
Chlorophyllum brunneum	Pseudosperma			DTOL	sample_collected
Scutellinia sp.	Craterellus 			DTOL	sample_collected
Bankera violascens	Cantharellus			DTOL	sample_collected
Hortiboletus engelii	Volvopluteus			DTOL	sample_collected
Butyriboletus appendiculatus	Sarcodontia			DTOL	sample_collected
Clathrus archeri	Xerocomus			DTOL	sample_collected
Seifertia azaleae	Psilocybe			DTOL	sample_collected
Xylaria longipes	Rugosomyces			DTOL	sample_collected
Euepixylon udum	Gomphidius			DTOL	sample_collected
Arthrinium sp.	Hymenogaster			DTOL	sample_collected
Polyporus umbellatus	Simplicillium			DTOL	sample_collected
Urocystis anemones	Ossicaulis			DTOL	sample_collected
Rutstroemia cuniculi	Ascomycota			DTOL	sample_collected
Lanzia cuniculi	Apioperdon			DTOL	sample_collected
Plasmoverna pygmaea	Ascobolus			DTOL	sample_collected
Pleurotus cornucopiae	Sarocladium			DTOL	sample_collected
Disciotis venosa	Flammula			DTOL	sample_collected
Morchella importuna	Omphalotus			DTOL	sample_collected
Pseudoinonotus dryadeus	Kretzschmaria			DTOL	sample_collected
Rhizopus stolonifer	Lacrymaria			DTOL	sample_collected
Coprinopsis strossmayeri	Dendrocollybia			DTOL	sample_collected
Cytospora sp.	Isaria			DTOL	sample_collected
Artomyces pyxidatus	Sarcoscypha			DTOL	sample_collected
Amanita rubescens	Cyathus			DTOL	sample_collected
Amanita citrina	Leptosphaeria			DTOL	sample_collected
Coniophora arida	Anteaglonia			DTOL	sample_collected
Tulasnella violea	Diaporthe			DTOL	sample_collected
Skeletocutis nivea	Melanconium			DTOL	sample_collected
Oxyporus latemarginatus	Aspergillus			DTOL	sample_collected
Oxyporus populinus	Ramularia			DTOL	sample_collected
Helicobasidium purpureum	Penicillium			DTOL	sample_collected
Ischnoderma benzoinum	Geomyces			DTOL	sample_collected
Botryobasidium subcoronatum	Leptographium			DTOL	sample_collected
Botryobasidium aureum	Sugiyamaella			DTOL	sample_collected
Marasmius rotula	Sporothrix			DTOL	sample_collected
Ceraceomyces crispatus	Ophiostoma			DTOL	sample_collected
Xerula radicata	Oidiodendron			DTOL	sample_collected
Trechispora farinacea	Cladosporium			DTOL	sample_collected
Radulomyces molaris	Scytalidium			DTOL	sample_collected
Rhizopogon luteolus	Aspergillaceae			DTOL	sample_collected
Chroogomphus rutilus	Gliomastix			DTOL	sample_collected
Gyroporus cyanescens	Acremonium			DTOL	sample_collected
Ionomidotis fulvotingens	Pseudopezicula			DTOL	sample_collected
Sarcomyxa serotina	Entomortierella			DTOL	sample_collected
Dasyscyphella nivea	Mariannaea			DTOL	sample_collected
Mollisia lividofusca	Rasamsonia			DTOL	sample_collected
Velutarina rufo-olivacea	Sydowia			DTOL	sample_collected
Inonotus hispidus	Rhizosphaera			DTOL	sample_collected
Ganoderma applanatum	Chlorociboria			DTOL	sample_collected
Ganoderma resinaceum	Tausonia			DTOL	sample_collected
Encoelia fimbriata	Diplodia			DTOL	sample_collected
Ypsilina buttingtonensis	Patellaria			DTOL	sample_collected
Phellinus wahlbergii	Barbatosphaeria			DTOL	sample_collected
Cryphonectria radicalis	Tympanopsis			DTOL	sample_collected
Lachnum sp.	Godronia			DTOL	sample_collected
Lachnum sp.				DTOL	sample_collected
Lachnum virgineum	Schwanniomyces			DTOL	sample_collected
Psilachnum chrysostigmum	Candida			DTOL	sample_collected
Inocybe lilacina	Cephaloascus			DTOL	sample_collected
Mycena olivaceomarginata	Ogataea			DTOL	sample_collected
Marasmius cohaerens	Umbelopsis			DTOL	sample_collected
Clavariadelphus pistillaris	Talaromyces			DTOL	sample_collected
Aureoboletus gentilis	Xenoacremonium			DTOL	sample_collected
Tricholoma pardinum	Apiotrichum			DTOL	sample_collected
Lepiota castanea	Ophiognomonia			DTOL	sample_collected
Thaxterogaster croceocoeruleus	Gnomonia			DTOL	sample_collected
Cortinarius croceocoeruleus	Xanthoriicola			DTOL	sample_collected
Lepiota oreadiformis	Thedgonia			DTOL	sample_collected
Geastrum triplex	Eutypa			DTOL	sample_collected
Clavaria fragilis	Rhopographus			DTOL	sample_collected
Clavaria cf. fragilis	Phacidium			DTOL	sample_collected
Phaeoclavulina alboapiculata	Milesina			DTOL	sample_collected
Inocybe posterula	Rosellinia			DTOL	sample_collected
Laccaria laccata	Olla			DTOL	sample_collected
Singerocybe phaeophthalma	Coprinus			DTOL	sample_collected
Gloeophyllum sepiarium	Diatrype			DTOL	sample_collected
Calonarius elegantissimus	Lophodermium			DTOL	sample_collected
Cortinarius elegantissimus	Camarosporium			DTOL	sample_collected
Cortinarius bergeronii	Entyloma			DTOL	sample_collected
Phlegmacium amoenolens	Uromyces			DTOL	sample_collected
Cortinarius amoenolens	Calloria			DTOL	sample_collected
