taxon_id	input	rank
300846	Trebouxia crenulata	species
67781	Pyramimonas disomata	species
2853153	Cylindrocapsa involuta	species
229672	Pseudoparamoeba pagei	species
242550	Vexillifera minutissima	species
210441	Asterionella formosa	species
1715697	Amphora sp.	species
130981	Micrasterias rotata	species
984086	Mallomonas cratis	species
2873612	Agitata tremulans	species
3125	Coleochaete scutata	species
687161	Paracercomonas minima	species
135496	Phacus triqueter	species
100933	Cercomonas longicauda	species
981202	Rhogostoma schuessleri	species
98045	Ochromonas tuberculata	species
89044	Spumella elongata	species
1276173	Paraphysomonas acuminata	species
60000	Coleps hirtus	species
49234	Aulacoseira ambigua	species
2873653	Entomoneis alata	species
210448	Fragilaria crotonensis	species
1034818	Marsupiomonas pelliculata	species
47904	Microglena monadina	species
686731	Cercomonas pigra	species
686750	Paracercomonas ambulans	species
63676	Chloroidium ellipsoideum	species
126839	Micractinium pusillum	species
44650	Chlorococcum hypnosporum	species
937591	Klebsormidium subtile	species
2873794	Microspora amoena	species
1328805	Balticola droebakensis	species
130987	Hyalotheca dissiliens	species
2589022	Mougeotia sp.	species
81817	Selenastrum bibraianum	species
424540	Chrysotila stipitata	species
49246	Cymatosira belgica	species
1526603	Surirella sp.	species
#ucMonGrii	Monoraphidium griffithii	species
2873797	Monoraphidium tortile	species
2081490	Drepanochloris nannoselene	species
95581	Graesiella emersonii	species
41120	Apusomonas proboscidea	species
1884190	Synedra sp.	species
795112	Coelastrum proboscideum	species
81816	Messastrum gracile	species
34112	Chlorolobion braunii	species
75804	Coelastrella oocystiformis	species
529820	Amastigomonas sp. 6B/7c	species
2606886	Pseudocharaciopsis ovalis	species
1273174	Thaumatomonas zhukovi	species
2873770	Tabellaria sp.	species
179868	Heterochlamydomonas rugosa	species
74790	Paramecium bursaria	species
77619	Vorticella microstoma	species
307513	Monoraphidium convolutum	species
2998304	Micractinium sp.	species
163317	Microspora stagnorum	species
1683230	Draparnaldia mutabilis	species
764113	Draparnaldia glomerata	species
52965	Phacotus lenticularis	species
102167	Cylindrocystis brebissonii	species
353565	Polytomella magna	species
292364	Staurastrum polymorphum	species
1276067	Paraphysomonas ovalis	species
2811679	Pseudopedinella sp.	species
