NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
860324	Melica	nutans	Poaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
29687	Nardus	stricta	Poaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
231083	Sphagnum	annulatum	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
231083	Sphagnum	annulatum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
473950	Anthidium	manicatum	Megachilidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
65597	Bombus	humilis	Apidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
156354	Panurgus	calcaratus	Andrenidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
213030	Absidia	cylindrospora	Cunninghamellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
29923	Amylomyces	rouxii	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
371907	Bubo	scandiacus	Strigidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
155726	Cunninghamella	blakesleeana	Cunninghamellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
76405	Cunninghamella	echinulata	Cunninghamellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
478208	Flustra	foliacea	Flustridae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
1553340	Gyrophaena	boleti	Staphylinidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64524	Linnemannia	hyalina	Mortierellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64524	Mortierella	hyalina	Mortierellaceae	ebpn_other_priority			EBPN		EBPN						
64518	Mortierella	alpina	Mortierellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
979764	Mortierella	zonata	Mortierellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
36080	Mucor	circinelloides	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
