taxon_id	input	rank
3037	Euglena longa	species
102910	Colacium vesiculosum	species
167756	Colacium mucronatum	species
215771	Discoplastis spathirhyncha	species
565118	Euglena adhaerens	species
96764	Euglena agilis	species
167850	Euglena cantabrica	species
344921	Euglena chadefaudii	species
157923	Euglena chlamydophora	species
215708	Euglena clara	species
66845	Euglena deses	species
#peEugEhre	Euglena ehrenbergii	species
38274	Euglena geniculata	species
3039	Euglena gracilis	species
69255	Euglena granulata	species
167757	Euglena laciniata	species
272233	Euglena mainxii	species
38275	Euglena mutabilis	species
#peEugOblo	Euglena oblonga	species
#peEugObtu	Euglena obtusa	species
130315	Euglena sanguinea	species
459218	Euglena sociabilis	species
392894	Euglena splendens	species
167851	Euglena terricola	species
161227	Euglena tristella	species
3040	Euglena viridis	species
38278	Euglena stellata	species
38273	Euglenaria anabaena	species
459221	Euglenaria caudata	species
344910	Euglenaria clavata	species
299110	Euglenaformis proxima	species
102907	Eutreptia pertyi	species
73025	Eutreptiella gymnastica	species
298305	Lepocinclis acus	species
66847	Lepocinclis buetschlii	species
2527827	Lepocinclis globulus	species
86638	Lepocinclis ovum	species
107946	Lepocinclis oxyuris	species
298306	Lepocinclis spirogyroides	species
135494	Lepocinclis tripteris	species
298291	Monomorphina ovata	species
96784	Monomorphina pyrum	species
298304	Monomorphina pyriformis	species
1559991	Neometanema parovale	species
135495	Phacus brachykentron	species
215770	Phacus limnophila	species
215783	Phacus longicauda	species
158829	Phacus orbicularis	species
126719	Phacus oscillans	species
2591489	Phacus salinus	species
1112050	Rapaza viridis	species
103340	Trachelomonas volvocina	species
