Species_name	Verified_name	Family	long_list	family_representative	other_priority
Astasia longa	Euglena longa	Euglenaceae	EIN		
Colacium vesiculosum	Type Specimen	Euglenaceae	EIN		
Colacium mucronatum		Euglenaceae	EIN		
Discoplastis spathirhyncha	Type Specimen	Phacaceae	EIN		
Euglena adhaerens		Euglenaceae	EIN		
Euglena agilis		Euglenaceae	EIN		
Euglena cantabrica		Euglenaceae	EIN		
Euglena cantabrica		Euglenaceae	EIN		
Euglena chadefaudii		Euglenaceae	EIN		
Euglena chlamydophora		Euglenaceae	EIN		
Euglena clara		Euglenaceae	EIN		
Euglena deses		Euglenaceae	EIN		
Euglena ehrenbergii		Euglenaceae	EIN		
Euglena geniculata		Euglenaceae	EIN		
Euglena gracilis		Euglenaceae	EIN		
Euglena granulata		Euglenaceae	EIN		
Euglena laciniata		Euglenaceae	EIN		
Euglena longa		Euglenaceae	EIN		
Euglena mainxii		Euglenaceae	EIN		
Euglena mutabilis		Euglenaceae	EIN		
Euglena oblonga		Euglenaceae	EIN		
Euglena obtusa		Euglenaceae	EIN		
Euglena sanguinea		Euglenaceae	EIN		
Euglena sociabilis		Euglenaceae	EIN		
Euglena splendens		Euglenaceae	EIN		
Euglena terricola		Euglenaceae	EIN		
Euglena tristella		Euglenaceae	EIN		
Euglena viridis	Type Specimen	Euglenaceae	EIN		
Euglena stellata		Euglenaceae	EIN		
Euglenaria anabaena		Euglenaceae	EIN		
Euglenaria caudata	Type Specimen	Euglenaceae	EIN		
Euglenaria clavata		Euglenaceae	EIN		
Euglenaformis proxima		Euglenaceae	EIN		
Eutreptia pertyi		Eutreptiaceae	EIN		
Eutreptiella gymnastica		Eutreptiaceae	EIN		
Lepocinclis acus		Phacaceae	EIN		
Lepocinclis buetschlii	Lepocinclis steinii	Phacaceae	EIN		
Lepocinclis globulus	Type Specimen	Phacaceae	EIN		
Lepocinclis ovum		Phacaceae	EIN		
Lepocinclis oxyuris		Phacaceae	EIN		
Lepocinclis spirogyroides		Phacaceae	EIN		
Lepocinclis tripteris	Lepocinclis torta	Phacaceae	EIN		
Monomorphina ovata		Euglenaceae	EIN		
Monomorphina pyrum	Type Specimen	Euglenaceae	EIN		
Monomorphina pyriformis		Euglenaceae	EIN		
Neometanema parovale		no higher taxa	EIN		
Phacus brachykentron	Phacus acuminatus	Phacaceae	EIN		
Phacus limnophilus		Phacaceae	EIN		
Phacus longicauda	Type Specimen	Phacaceae	EIN		
Phacus orbicularis		Phacaceae	EIN		
Phacus oscillans		Phacaceae	EIN		
Phacus salinus		Phacaceae	EIN		
Rapaza viridis	Type Specimen	Rapazidae	EIN		
Trachelomonas volvocina	Type specimen	Euglenaceae	EIN		
