	Species_name	Verified_name	Family	long_list	family_representative	other_priority
3	Astasia longa	Euglena longa	Euglenaceae	EIN		
5	Colacium vesiculosum		Euglenaceae	EIN		
6	Colacium mucronatum		Euglenaceae	EIN		
9	Discoplastis spathirhyncha		Phacaceae	EIN		
15	Euglena adhaerens		Euglenaceae	EIN		
16	Euglena agilis		Euglenaceae	EIN		
21	Euglena cantabrica		Euglenaceae	EIN		
24	Euglena chadefaudii		Euglenaceae	EIN		
25	Euglena chlamydophora		Euglenaceae	EIN		
26	Euglena clara		Euglenaceae	EIN		
27	Euglena deses		Euglenaceae	EIN		
28	Euglena ehrenbergii		Euglenaceae	EIN		
29	Euglena geniculata		Euglenaceae	EIN		
30	Euglena gracilis		Euglenaceae	EIN		
31	Euglena granulata		Euglenaceae	EIN		
33	Euglena laciniata		Euglenaceae	EIN		
35	Euglena longa		Euglenaceae	EIN		
36	Euglena mainxii		Euglenaceae	EIN		
38	Euglena mutabilis		Euglenaceae	EIN		
39	Euglena oblonga		Euglenaceae	EIN		
43	Euglena sanguinea		Euglenaceae	EIN		
44	Euglena sociabilis		Euglenaceae	EIN		
45	Euglena splendens		Euglenaceae	EIN		
46	Euglena terricola		Euglenaceae	EIN		
47	Euglena tristella		Euglenaceae	EIN		
51	Euglena stellata		Euglenaceae	EIN		
52	Euglenaria anabaena		Euglenaceae	EIN		
54	Euglenaria caudata		Euglenaceae	EIN		
55	Euglenaria clavata		Euglenaceae	EIN		
56	Euglenaformis proxima		Euglenaceae	EIN		
58	Eutreptia pertyi		Eutreptiaceae	EIN		
59	Eutreptiella gymnastica		Eutreptiaceae	EIN		
63	Lepocinclis acus		Phacaceae	EIN		
64	Lepocinclis buetschlii	Lepocinclis steinii	Phacaceae	EIN		
66	Lepocinclis ovum		Phacaceae	EIN		
67	Lepocinclis oxyuris		Phacaceae	EIN		
68	Lepocinclis spirogyroides		Phacaceae	EIN		
69	Lepocinclis tripteris	Lepocinclis torta	Phacaceae	EIN		
72	Monomorphina ovata		Euglenaceae	EIN		
73	Monomorphina pyrum		Euglenaceae	EIN		
79	Phacus brachykentron	Phacus acuminatus	Phacaceae	EIN		
81	Phacus limnophilus		Phacaceae	EIN		
82	Phacus orbicularis		Phacaceae	EIN		
83	Phacus oscillans		Phacaceae	EIN		
85	Phacus salinus		Phacaceae	EIN		
87	Rapaza viridis		Rapazidae	EIN		
