taxon_id	input	rank
10068	Acomys cahirinus	species
39030	Apodemus agrarius	species
1457099	Astagobius angustatus	species
94942	Austropotamobius torrentium	species
220156	Carabus baronii	species
347984	Coronilla viminalis	species
575809	Dailognatha quadricollis	species
2712997	Dendarus foraminosus	species
1826298	Obama nungara	species
169124	Ophryotrocha puerilis	species
1380992	Pinna rudis	species
34869	Rupicapra rupicapra	species
1146903	Scolopendra cretica	species
57642	Siphonaria pectinata	species
307678	Tetrastemma melanocephalum	species
75933	Umbra krameri	species
160988	Zelkova abelicea	species
195855	Valencia hispanica	species
44597	Arca noae	species
31175	Diadema setosum	species
259844	Hermodice carunculata	species
112209	Pinctada radiata	species
363316	Protula tubularia	species
1088795	Sarcotragus spinosulus	species
1849190	Anthroherpon ganglbaueri	species
1849259	Graciliella metohijensis	species
184180	Primula carniolica	species
1538746	Sempervivum wulfenii subsp. juvanii	subspecies
647718	Aporrectodea molleri	species
308503	Conus guanche	species
1929230	Gyrocaryum oppositifolium	species
395596	Munidopsis polymorpha	species
124803	Tarphius canariensis	species
130055	Cladocora caespitosa	species
