taxon_id	input	rank
647170	Palaemon varians	species
41365	Scolopendra cingulata	species
29022	Scutigera coleoptrata	species
2973175	Archispirostreptus syriacus	species
241674	Bothriogaster signata	species
2994054	Hogna graeca	species
280394	Holocnemus pluchei	species
6863	Hottentotta judaicus	species
1662104	Scorpio fuscus	species
986714	Armadillidium maculatum	species
348718	Lopinga achine	species
1400418	Rosalia alpina	species
111411	Oreina speciosa	species
143294	Anodonta anatina	species
96821	Armadillo officinalis	species
262335	Porcellio laevis	species
