ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	unnamed:_8	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
647170	Palaemon varians		Palaemonidae	other_priority	data_generation	Palaemonetes varians	Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
41365	Scolopendra cingulata		Scolopendridae	other_priority	data_generation		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
29022	Scutigera coleoptrata		Scutigeridae	other_priority	data_generation		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
2973175	Archispirostreptus syriacus		Spirostreptidae	other_priority	data_generation		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
241674	Bothriogaster signata		Himantariidae	other_priority	sample_acquired		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
2994054	Hogna graeca		Lycosidae	other_priority	sample_acquired		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
280394	Holocnemus pluchei		Pholcidae	other_priority	sample_acquired	Aranea pluchii	Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
6863	Hottentotta judaicus		Buthidae	other_priority	sample_acquired	Hottentotta judaica	Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
1662104	Scorpio fuscus		Scorpionidae	other_priority	sample_acquired	Scorpio maurus fuscus	Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
986714	Armadillidium maculatum		Armadillidiidae	other_priority	sample_acquired		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH							
96821	Armadillo officinalis		Armadillidae	other_priority	sample_collected		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
262335	Porcellio laevis		Porcellionidae	other_priority	sample_collected		Moulting	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
348718	Lopinga achine		Nymphalidae	other_priority	sample_collected	Pararge achine	Trient	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
1400418	Rosalia alpina		Cerambycidae	other_priority	sample_collected		Trient	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH								
111411	Oreina speciosa		Chrysomelidae	other_priority			Trient	ERGA-CH	ERGA-CH		ERGA-CH									
143294	Anodonta anatina		Unionidae	other_priority	data_generation	Mytilus anatinus	Alex	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
1660632	Erebia pluto		Nymphalidae	other_priority	in_assembly		Kay	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH		ERGA-CH				
111902	Erebia euryale	adyte	Nymphalidae	other_priority	data_generation		Kay	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH					
111902	Erebia euryale	isarica	Nymphalidae	other_priority	in_assembly		Kay	ERGA-CH	ERGA-CH		ERGA-CH	ERGA-CH	ERGA-CH	ERGA-CH		ERGA-CH				
