taxon_id	input	rank
27704	Gobio gobio	species
322563	Proterorhinus semilunaris	species
48668	Rutilus rutilus	species
69811	Leuciscus idus	species
38527	Abramis brama	species
40830	Barbus barbus	species
8284	Squalius cephalus	species
155067	Vimba vimba	species
260767	Romanogobio albipinnatus	species
210855	Zingel zingel	species
58323	Leucaspius delineatus	species
36185	Thymallus thymallus	species
98928	Leuciscus aspius	species
283035	Sander lucioperca	species
7962	Cyprinus carpio	species
100952	Cottus gobio	species
57865	Gymnocephalus cernua	species
58317	Blicca bjoerkna	species
8168	Perca fluviatilis	species
58319	Scardinius erythrophthalmus	species
101364	Carassius gibelio	species
51549	Pseudorasbora parva	species
98397	Rhodeus amarus	species
373745	Rhodeus meridionalis	species
