ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
27704	Gobio	gobio	Gobionidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
322563	Proterorhinus	semilunaris	Gobiidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
48668	Rutilus	rutilus	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
69811	Leuciscus	idus	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
38527	Abramis	brama	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
40830	Barbus	barbus	Cyprinidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
8284	Squalius	cephalus	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
155067	Vimba	vimba	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
260767	Romanogobio	albipinnatus	Gobionidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
210855	Zingel	zingel	Percidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
58323	Leucaspius	delineatus	Leuciscidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
36185	Thymallus	thymallus	Salmonidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
98928	Aspius	aspius	Leuciscidae	eurofish_other_priority	in_assembly	Leuciscus aspius	EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH				
283035	Sander	lucioperca	Percidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
7962	Cyprinus	carpio	Cyprinidae	eurofish_other_priority	insdc_submitted		EUROFISH	EUROFISH		EUROFISH						EUROFISH			
100952	Cottus	gobio	Cottidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
57865	Gymnocephalus	cernua	Percidae	eurofish_other_priority	insdc_open		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH				EUROFISH	EUROFISH	
58317	Blicca	bjoerkna	Leuciscidae	eurofish_other_priority	data_generation		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH					
8168	Perca	fluviatilis	Percidae	eurofish_other_priority	data_generation		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH	EUROFISH					
58319	Scardinius	erythropthalmus	Leuciscidae	eurofish_other_priority	insdc_submitted		EUROFISH	EUROFISH		EUROFISH						EUROFISH			
101364	Carassius	gibelio	Cyprinidae	eurofish_other_priority	in_assembly		EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH				
51549	Pseudorasbora	parva	Gobionidae	eurofish_other_priority	insdc_submitted		EUROFISH	EUROFISH		EUROFISH						EUROFISH			
98397	Rhodeus	amarus	Acheilognathidae	eurofish_other_priority	in_assembly	Cyprinus amarus,  Rhodeus sericeus amarus	EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH				
373745	Rhodeus	meridionalis	Acheilognathidae	eurofish_other_priority	in_assembly	Rhodeus amarus meridionalis	EUROFISH	EUROFISH		EUROFISH	EUROFISH	EUROFISH	EUROFISH		EUROFISH				
