taxon_id	input	rank
613017	Mystrium camillae	species
621488	Prionopelta kraepelini	species
610584	Iridomyrmex anceps	species
611171	Liometopum microcephalum	species
255795	Ochetellus glaber	species
219810	Tapinoma melanocephalum	species
606893	Cerapachys sulcinodis	species
232121	Dorylus orientalis	species
237765	Typhlomyrmex rogenhoferi	species
354296	Anoplolepis gracilipes	species
213863	Camponotus fellah	species
84547	Camponotus japonicus	species
606068	Camponotus singularis	species
359642	Camponotus nicobarensis	species
606501	Cataglyphis aenescens	species
609683	Euprenolepis procera	species
255794	Formica japonica	species
72779	Formica fusca	species
208980	Formica sanguinea	species
219780	Gigantiops destructor	species
1495095	Iberoformica subrufa	species
219781	Lasius alienus	species
67765	Lasius spathepus	species
67763	Lasius flavus	species
231986	Lasius fuliginosus	species
111072	Lasius neglectus	species
67767	Lasius niger	species
610787	Lepisiota rothneyi	species
271140	Myrmecocystus mendax	species
612981	Myrmoteras binghamii	species
613905	Nylanderia fulva	species
84561	Oecophylla smaragdina	species
262035	Paratrechina longicornis	species
72798	Plagiolepis pygmaea	species
111115	Polyrhachis illaudata	species
621697	Proformica mongolica	species
621792	Pseudolasius similus	species
72797	Rossomyrmex minuchae	species
625025	Rossomyrmex quandratinodum	species
36172	Myrmecia croslandi	species
13618	Myrmecia pilosula	species
602937	Acanthomyrmex ferox	species
602145	Acromyrmex ameliae	species
103372	Acromyrmex echinatior	species
602163	Acromyrmex lobicornis	species
64783	Acromyrmex octospinosus	species
219762	Acromyrmex subterraneus	species
297320	Aphaenogaster smythiesii	species
165431	Aphaenogaster subterranea	species
286306	Cardiocondyla obscurior	species
615681	Carebara diversa	species
297328	Carebara melasolena	species
606728	Cephalotes minutus	species
1202028	Crematogaster osakensis	species
520149	Crematogaster rogenhoferi	species
411750	Eutetramorium mocquerysi	species
369141	Goniomma hispanicum	species
27500	Harpagoxenus sublaevis	species
1539540	Kalathomyrmex emeryi	species
33409	Leptothorax acervorum	species
219785	Manica rubida	species
520063	Melissotarsus emeryi	species
611886	Meranoplus bicolor	species
87890	Messor barbarus	species
219786	Messor capitatus	species
307658	Monomorium pharaonis	species
1424378	Mycetophylax morschi	species
34710	Mycetosoritis hartmanni	species
357228	Myrmecina graminicola	species
106198	Myrmica rubra	species
207696	Myrmica scabrinodis	species
2202542	Myrmicocrypta squamosa uncinata	subspecies
613565	Oxyopomyrmex saulcyi	species
297324	Pheidole capellinii	species
297325	Pheidole noda	species
190770	Pheidole pallidula	species
367159	Pheidole yeensis	species
507543	Pristomyrmex punctatus	species
625040	Sericomyrmex mayri	species
625136	Solenopsis fugax	species
625351	Stenamma debile	species
2751292	Strumigenys mutica	species
314134	Temnothorax ambiguus	species
1964332	Temnothorax americanus	species
300112	Temnothorax longispinosus	species
102681	Temnothorax nylanderi	species
1964331	Temnothorax pilagens	species
314137	Temnothorax ravouxi	species
215518	Temnothorax rugatulus	species
61278	Temnothorax unifasciatus	species
219812	Tetramorium bicarinatum	species
255789	Tetramorium caespitum	species
612570	Xerolitor explicatus	species
55425	Paraponera clavata	species
602515	Anochetus risii	species
228606	Diacamma indicum	species
255798	Diacamma rugosum	species
2571052	Ectomomyrmex javanus	species
2751300	Euponera pilosior	species
610381	Harpegnathos venator	species
280466	Hypoponera opacior	species
610989	Leptogenys kitteli	species
411755	Leptogenys diminuta	species
1885322	Megaponera analis	species
613454	Odontomachus monticola	species
486644	Odontomachus hastatus	species
77147	Platythyrea punctata	species
1885326	Pseudoneoponera rufipes	species
609309	Discothyrea kamiteta	species
621600	Proceratium itoi	species
600682	Pseudomyrmex spinicola	species
28640	Tetraponera rufonigra	species
611969	Messor aciculatus	species
602287	Aenictus fuchuanensis	species
602449	Stigmatomma rubiginoum	species
605238	Camponotus fedtschenkoi	species
602623	Aphaenogaster exasperata	species
606346	Carebara altinoda	species
606371	Carebara capreola	species
606413	Carebara lignata	species
606360	Carebara bengalensis	species
615715	Carebara trechideros	species
609915	Formicoxenus nitidulus	species
610646	Kartidris nyos	species
3057130	Megalomyrmex milenae	species
612872	Myrmica urbanii	species
615475	Pheidole selathorax	species
603027	Anergates atratulus	species
3057134	Tetramorium polymorphum	species
613574	Buniapone amblyops	species
610886	Leptogenys binghamii	species
3057131	Neoponera goeldii	species
621557	Probolomyrmex longiscapus	species
