taxon_id	input	rank
2576531	Adeonella calveti	species
2614492	Dianthus juniperinus	species
204053	Scyllarides latus	species
667735	Xerocrassa amphiconus	species
798305	Axinella cannabina	species
412090	Pipistrellus hanaki	species
72721	Echinaster sepositus	species
575809	Dailognatha quadricollis	species
3034271	Bolbelasmus keithi	species
940504	Potamon kretaion	species
239464	Petromarula pinnata	species
2497455	Horstrissea dolinicola	species
7685	Holothuria tubulosa	species
544679	Schizoporella errata	species
491806	Holothuria sanctori	species
497761	Origanum dictamnus	species
3034270	Anaglyptus praecellens	species
31175	Diadema setosum	species
3034265	Micromeria hispida	species
84658	Percnon gibbesi	species
470445	Portunus segnis	species
39285	Verbascum arcturus	species
256473	Anchusa cespitosa	species
105859	Antedon mediterranea	species
47118	Bonellia viridis	species
3034263	Bupleurum kakiskalae	species
538483	Carlina diae	species
208460	Cerianthus membranaceus	species
130055	Cladocora caespitosa	species
260824	Cystodytes dellechiajei	species
2787592	Eupholidoptera astyla	species
201963	Halocynthia papillosa	species
3034286	Eopolita protensa	species
1577152	Iurus dekanum	species
2807638	Kretania psylorita	species
3034285	Lindholmiola barbata	species
112135	Lithophaga lithophaga	species
3034135	Mediodactylus bartoni	species
1980904	Metafruticicola noverca	species
475381	Myriapora truncata	species
2832117	Oxychilus superfluus	species
198232	Palinurus elephas	species
112209	Pinctada radiata	species
1073557	Plesionika narval	species
3034273	Platanosphaera ariadnae	species
3030550	Poiretia dilatata	species
1586530	Protaetia opaca	species
2951297	Reptadeonella violacea	species
155265	Sideritis syriaca	species
1302814	Tandonia sowerbyi	species
186607	Telescopus fallax	species
387912	Crocidura zimmermanni	species
55448	Cymodocea nodosa	species
3034272	Chaetopelma lymberakisi	species
143642	Pelophylax cretensis	species
265327	Mastus olivaceus	species
754874	Ebenus cretica	species
1960912	Charonia tritonis	species
1545402	Boyeria cretensis	species
1857129	Clematis elisabethae-carolae	species
44597	Arca noae	species
1518524	Macrothele cretica	species
69427	Albinaria teres	species
2865396	Smittina cervicornis	species
473679	Poecilimon cretensis	species
365391	Paraleucilla magna	species
144766	Aplysia dactylomela	species
3034287	Deroceras lasithionense	species
