primary	source	taxon_id	taxon_rank	scientific_name	synonym	tol_id	common_name	subspecies	species	genus	family	order	class	phylum	kingdom	superkingdom	assembly_level	assembly_span	bioproject	biosample	contig_n50	gene_count	assembly_date	scaffold_n50	sample_sex	ebp_metric_date	busco_completeness	busco_lineage	gc_percent	n_percent	nohit	target	mitochondrion_assembly_span	mitochondrion_gc_percent	plastid_assembly_span	plastid_gc_percent	chromosome_number	haploid_number	sex_determination	ploidy	echabs92	habreg_2017	marhabreg-2017	waca_1981	isb_wildlife_act_1976	protection_of_badgers_act_1992	sequencing_status	sample_acquired	in_progress	insdc_submitted	insdc_open	published	sample_collected	sample_collected_by	country_list	c_value	c_value_method	c_value_cell_type	genome_size	genome_size_kmer	genome_size_draft	long_list	other_priority	family_representative
1	ISBN: 978-1-119-41805-4	40674	class	Mammalia																																			XY,XY	2																								
1	https://doi.org/10.5962/bhl.title.7295	335469		Orgyia antiqua																																		14		2																								
1	ISBN: 9781483154701	203782	species	Celastrina argiolus																																		24,25		2																								
1	DALGAARD, Vilhelm (1986). Chromosome studies in flowering plants from Macaronesia. Anales Jard. Bot. Madrid 43(1): 83-111	38846	species	Euphorbia peplus																																	16			2																								
1	https://doi.org/10.3347/kjp.2014.52.4.449	112528	species	Biomphalaria tenagophila																																	36	18		2																								
1	https://institucional.us.es/revistas/lagascalia/04.1/01%20love.pdf, Lagascalia 4(1) 1974	33127	species	Parietaria judaica																																	26			2																								
1	https://www.jstage.jst.go.jp/article/jplantres1887/65/769-770/65_769-770_195/_pdf, Fritsch, Reinhard. (1991). Index to bryophyte chromosome counts. Bryophytorum Bibliotheca. 40. 1-352	28469	species	Hylocomiadelphus triquetrus	Rhytidiadelphus triquetrus																																	6																										
1	PMID: 948208	6526	species	Biomphalaria glabrata																																	36	18		2																								
1	Kaur H, Bansal N. First cytogenetic report on seven species of Coreidae (Heteroptera) with a bibliographic review of chromosomal data. J. Biol. Res.(Thessaloniki). 2012 Jan 1;18:235-48.	1545138	species	Gonocerus acuteangulatus																																	20		X0	2																								
1	D. Colombera (1971) The Karyology of Clavelina Lepadiformis Mueller (Ascidiacea), Caryologia, 24:1, 59-64, DOI: https://doi.org/10.1080/00087114.1971.10796413	159417	species	Clavelina lepadiformis																																	18	9		2																								
1	Insua, A., López-Piñón, M.J., Freire, R. et al. Karyotype and Chromosomal Location of 18S–28S and 5S Ribosomal DNA in the Scallops Pecten maximus and Mimachlamys varia (Bivalvia: Pectinidae). Genetica 126, 291–301 (2006). https://doi.org/10.1007/s10709-005-7408-7	50417	species	Mimachlamys varia																																	38	19		2																								
