taxon_id	input	rank
1963915	Antrostomus arizonae	species
48437	Phalaenoptilus nuttallii	species
43179	Ictidomys tridecemlineatus	species
208972	Craseonycteris thonglongyai	species
102178	Anguis fragilis	species
700936	Leptonycteris yerbabuenae	species
9725	Inia geoffrensis	species
6398	Lumbricus terrestris	species
7819	Galeocerdo cuvier	species
58323	Leucaspius delineatus	species
2012539	Acrobeloides tricornis	species
358040	Pristionchus entomophagus	species
2528157	Rhomborhabditis regina	species
73405	Diplolepis rosae	species
288516	Diploscapter coronatus	species
2012544	Paroigolaimella bernensis	species
1538710	Acrostichus nudicapitatus	species
178770	Haematopota pluvialis	species
135692	Xylocopa	subgenus
186250	Lepidocyrtus lanuginosus	species
136168	Onychiurus	genus
187682	Parisotoma notabilis	species
281420	Folsomia quadrioculata	species
2714226	Protaphorura cancellata	species
2041949	Protaphorura campata	species
#qeProSubu	Protaphorura subuliginata	species
#qlMesKrau	Mesaphorura krausbaueri	species
