"lfd. Nr","Überfamilie","Familie","Unterfamilie","Tribus","Subtribus","Gattung","Art","Autoren","Trivialnamen (meist deutsche Namen)","KR-Nr.","GUID","Anmer-kung zum Artstatus","zu löschen!","Änderungs-Datum","Kommentar Änderung gegenüber Version 1 vom 4. Februar 2017","Anmerkung Faunistik Europa","Vorkommen in Europa sensu Fauna Europaea","Vorkommen in Europa i.w.S.","D","CH","A","Hinweis auf eingeschränkte Verbreitung","Anzahl Länder mit Nachweisen","Lebendbild","Diagnosebild"
"2","Micropterigoidea","Micropterigidae","","","","Micropterix","allionella","(Fabricius, 1794)","Bergwiesen-Urfalter","5","0e15d720-61f2-4154-b47f-15bb1bb2ff05","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"4","Micropterigoidea","Micropterigidae","","","","Micropterix","aruncella","(Scopoli, 1763)","","7","b3f1a10c-1580-44e1-80dc-adeff761e14b","","","","","D-CH-A","etabliert","etabliert","D","C","A","","35","Ja","Ja"
"5","Micropterigoidea","Micropterigidae","","","","Micropterix","aureatella","(Scopoli, 1763)","","8","605776b1-31ef-4f48-9fa9-40e1515cc22a","","","","","D-CH-A","etabliert","etabliert","D","C","A","","29","Ja","Ja"
"6","Micropterigoidea","Micropterigidae","","","","Micropterix","aureoviridella","(Höfner, 1898)","","9","ef81859a-3263-4513-ae73-92e468b2d01d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"7","Micropterigoidea","Micropterigidae","","","","Micropterix","calthella","(Linnaeus, 1761)","","10","0036ef4f-5a2d-4db7-9b22-9eeb2e6c518e","","","06.01.2019 und 20.03.2021","1761 ==> [1760]; und wieder zurück:  [1760] ==> 1761","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"14","Micropterigoidea","Micropterigidae","","","","Micropterix","erctella","Walsingham, 1919","","15","b8aab7fe-2bd4-4d53-8d16-f0a884b28819","","","","","","etabliert","etabliert","","","","nur Sizilien","1","",""
"15","Micropterigoidea","Micropterigidae","","","","Micropterix","facetella","Zeller, 1850","","16","04a0d6ff-ce9f-49d9-b512-1a8411c8d4f6","","","","","","etabliert","etabliert","","","","nur Balkan erweitert","2","Ja","Ja"
"19","Micropterigoidea","Micropterigidae","","","","Micropterix","hartigi","Heath, 1981","","20","f9e88b48-ec6c-445b-8f5e-a1eb2a8f3834","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"28","Micropterigoidea","Micropterigidae","","","","Micropterix","klimeschi","Heath, 1973","","00026a","3ad94f89-c7f2-4373-9ffd-c0925e550a08","","","","","","etabliert","etabliert","","","","nur Dodekanische Inseln","1","","Ja"
"30","Micropterigoidea","Micropterigidae","","","","Micropterix","mansuetella","Zeller, 1844","Riedgras-Urfalter","28","a2bae88e-262c-41f7-bb22-6cd0cc130b89","","","","","D-CH-A","etabliert","etabliert","D","C","A","","23","Ja","Ja"
"36","Micropterigoidea","Micropterigidae","","","","Micropterix","myrtetella","Zeller, 1850","","31","8d5af626-9d2c-4ddd-a2f2-fd089843403d","","","","","D-CH-A","etabliert","etabliert","","","A","","12","Ja","Ja"
"37","Micropterigoidea","Micropterigidae","","","","Micropterix","osthelderi","Heath, 1975","Osthelders Urfalter","32","ae0dbe18-426f-4f9f-9033-d9f0d0447b25","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"39","Micropterigoidea","Micropterigidae","","","","Micropterix","rablensis","Zeller, 1868","","34","9b645d30-27a7-4b2d-a9ff-4fc53389e5d6","","","","","D-CH-A","etabliert","etabliert","","","A","","4","Ja","Ja"
"41","Micropterigoidea","Micropterigidae","","","","Micropterix","rothenbachii","Frey, 1856","","35","44a8226c-4972-4d6d-8621-a23dfbbd8210","","","","","D-CH-A","etabliert","etabliert","D","C","A","","8","Ja","Ja"
