taxon_id	input	rank	suggested
214181	Korscheltellus lupulina	species	Korscheltellus lupulinus
1660699	Stigmella juryi	species	Stigmella paradoxa
1218228	Glaucolepis sanctibenedicti	species	Trifurcula sanctibenedicti
1218219	Glaucolepis bupleurella	species	Trifurcula bupleurella
1457174	Glaucolepis chretieni	species	Trifurcula chretieni
1218221	Glaucolepis istriae	species	Trifurcula istriae
1457176	Glaucolepis kalavritana	species	Trifurcula kalavritana
1457177	Glaucolepis magna	species	Trifurcula magna
1457177	Trifurcula collinella	species	Trifurcula magna
1457175	Glaucolepis helladica	species	Trifurcula helladica
1218227	Glaucolepis sanctaecrucis	species	Trifurcula sanctaecrucis
1070331	Etainia sericopeza	species	Ectoedemia sericopeza
1070333	Etainia decentella	species	Ectoedemia decentella
1070403	Zimmermannia reichli	species	Ectoedemia reichli
1927199	Pseudopostega cyrneochalcopepla	species	Pseudopostega chalcopepla
1129764	Antispila petryi	species	Antispila treitschkiella
753375	Nematopogon swammerdamella	species	Nematopogon swammerdamellus
873146	Dahlica listerella	species	Siederia listerella
262188	Dahlica rupicolella	species	Siederia rupicolella
2566269	Proutia norvegica	species	Anaproutia norvegica
1869458	Proutia comitella	species	Anaproutia comitella
1104513	Nemapogon hungaricus	species	Nemapogon inconditella
3003482	Nemapogon wolffiella	species	Nemapogon koenigi
263927	Yponomeuta mahalebella	species	Yponomeuta mahalebellus
263928	Yponomeuta rorrella	species	Yponomeuta rorrellus
263926	Yponomeuta irrorella	species	Yponomeuta irrorellus
1594356	Yponomeuta plumbella	species	Yponomeuta plumbellus
263933	Yponomeuta sedella	species	Yponomeuta sedellus
753180	Euhyponomeutoides ribesiella	species	Euhyponomeutoides ribesiellus
2567739	Ypsolopha blandella	species	Ypsolopha blandellus
1178303	Lepidotarphius perornatella	species	Lepidotarphius perornatellus
1075124	Bucculatrix albella	species	Bucculatrix staintonella
1608661	Bucculatrix jugicola	species	Bucculatrix cristatella
2561030	Bucculatrix obscurella	species	Bucculatrix humiliella
199018	Parornix eppelsheimi	species	Parornix carpinella
1870210	Phyllonorycter anatolica	species	Phyllonorycter belotella
199048	Phyllonorycter irmella	species	Phyllonorycter lautella
1870234	Phyllonorycter glaserorum	species	Phyllonorycter rebimbasi
199079	Phyllonorycter tinctoriella	species	Phyllonorycter staintoniella
1870238	Phyllonorycter sardiniensis	species	Phyllonorycter sublautella
1869414	Agdistis delicatulella	species	Agdistis meridionalis
2561962	Platyptilia diversicilia	species	Buszkoiana capnodactylus
1660692	Stenoptilia tourlani	species	Stenoptilia bipunctidactyla
