taxon_id	input	rank
1042619	Micropterix allionella	species
1042620	Micropterix aruncella	species
245874	Micropterix aureatella	species
1042621	Micropterix aureoviridella	species
41027	Micropterix calthella	species
1042623	Micropterix erctella	species
2056225	Micropterix facetella	species
1042624	Micropterix hartigi	species
1042625	Micropterix klimeschi	species
#ilMicMans	Micropterix mansuetella	species
1042626	Micropterix myrtetella	species
2561505	Micropterix osthelderi	species
886384	Micropterix rablensis	species
886385	Micropterix rothenbachii	species
1042627	Micropterix schaefferi	species
1042628	Micropterix sicanella	species
1042629	Micropterix tunbergella	species
1042630	Micropterix vulturensis	species
1042631	Micropterix wockei	species
886386	Micropterix zangheriella	species
173635	Dyseriocrania subpurpurella	species
#ilParChry	Paracrania chrysolepidella	species
173637	Heringocrania unimaculella	species
871382	Eriocrania sparrmannella	species
2561294	Eriocrania salopiella	species
1869865	Eriocrania cicatricella	species
173586	Eriocrania sangii	species
41180	Eriocrania semipurpurella	species
1197232	Gazoryctra ganna	species
2561339	Gazoryctra fuscoargenteus	species
537462	Triodia sylvina	species
2561820	Triodia adriaticus	species
#ilKorFusc	Korscheltellus fusconebulosa	species
214181	Korscheltellus lupulinus	species
1476530	Pharmacis carna	species
1870191	Pharmacis claudiae	species
1870190	Pharmacis anselminae	species
1116919	Pharmacis bertrandi	species
1108693	Phymatopus hecta	species
470875	Hepialus humuli	species
1178096	Enteucha acetosae	species
1927206	Simplimorpha promissa	species
1927226	Stigmella freyella	species
1870369	Stigmella prunetorum	species
1927219	Stigmella diniensis	species
1858076	Stigmella aceris	species
1927304	Stigmella ulmivora	species
1927303	Stigmella ulmiphaga	species
1928139	Stigmella viscerella	species
1870366	Stigmella naturnella	species
1927302	Stigmella tiliae	species
1666728	Stigmella betulicola	species
1928138	Stigmella nivenburgensis	species
1927248	Stigmella sakhalinella	species
1870364	Stigmella luteella	species
1870362	Stigmella glutinosae	species
1927208	Stigmella alnetella	species
1666731	Stigmella microtheriella	species
740954	Stigmella xystodes	species
1927215	Stigmella catharticella	species
1660700	Stigmella sanguisorbae	species
1639174	Stigmella thuringiaca	species
1639172	Stigmella rolandi	species
1927243	Stigmella muricatella	species
1473690	Stigmella lapponica	species
1858077	Stigmella confusella	species
1870365	Stigmella malella	species
1120776	Stigmella salicis	species
1870361	Stigmella arbusculae	species
1120781	Stigmella vimineticola	species
1120774	Stigmella myrtillella	species
1120782	Stigmella zelleriella	species
2561775	Stigmella benanderella	species
1120775	Stigmella obliquella	species
1120779	Stigmella trimaculella	species
1101055	Stigmella assimilella	species
431664	Stigmella anomalella	species
#ilStiSpin	Stigmella spinosissimae	species
1927216	Stigmella centifoliella	species
1660699	Stigmella paradoxa	species
1927232	Stigmella inopinata	species
1870363	Stigmella hybnerella	species
#ilStiMesp	Stigmella mespilicola	species
1927234	Stigmella irregularis	species
1927231	Stigmella incognitella	species
1927245	Stigmella perpygmaeella	species
#ilStiTorm	Stigmella torminalis	species
#ilStiRegi	Stigmella regiella	species
1927218	Stigmella crataegella	species
1927241	Stigmella magdalenae	species
1870367	Stigmella nylandriella	species
1870368	Stigmella oxyacanthella	species
2561777	Stigmella pyri	species
1887508	Stigmella minusculella	species
2936624	Stigmella desperatella	species
2936625	Stigmella stettinensis	species
1927300	Stigmella speciosa	species
1927240	Stigmella lonicerarum	species
1120770	Stigmella aurella	species
1120771	Stigmella auromarginella	species
1120777	Stigmella splendidissimella	species
1241359	Stigmella pretiosa	species
1120769	Stigmella aeneofasciella	species
1120778	Stigmella tormentillella	species
1594348	Stigmella dryadella	species
2561776	Stigmella poterii	species
1120772	Stigmella filipendulae	species
1120780	Stigmella ulmariae	species
1927237	Stigmella lediella	species
1639173	Stigmella sorbi	species
1858078	Stigmella plagicolella	species
1927209	Stigmella amygdali	species
1927238	Stigmella lemniscella	species
1927217	Stigmella continuella	species
1594349	Stigmella floslactella	species
#ilStiCarp	Stigmella carpinella	species
1660701	Stigmella tityrella	species
1101056	Stigmella johanssonella	species
1660698	Stigmella hemargyrella	species
1870372	Stigmella suberivora	species
1927212	Stigmella basiguttella	species
#ilStiSven	Stigmella svenssoni	species
1927307	Stigmella zangherii	species
1927301	Stigmella szoecsiella	species
1927220	Stigmella dorsiguttella	species
1101057	Stigmella ruficapitella	species
1608937	Stigmella atricapitella	species
1101058	Stigmella samiatella	species
1498834	Stigmella roborella	species
