NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
1569484	Lithobius	agilis	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1147027	Lithobius	crassipes	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2015377	Lithobius	crassipesoides	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
7552	Lithobius	forficatus	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1569488	Lithobius	microps	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1255756	Lithobius	mutabilis	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1255757	Lithobius	nodulipes	Lithobiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1147033	Schendyla	nemorensis	Schendylidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1519113	Protaphorura	fimata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187695	Sinella	curviseta	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041972	Supraphorura	furcifera	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1008849	Choneiulus	palmatus	Blaniulidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1008861	Leptoiulus	proximus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1519098	Campodea	silvestrii	Campodeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
913654	Fridericia	nemoralis	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
913707	Stercutus	niveus	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
717519	Epicrius	mollis	Epicriidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
99237	Veigaia	nemorensis	Veigaiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
118551	Zercon	vagabundus	Zerconidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
115156	Haplophthalmus	danicus	Trichoniscidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
64697	Porcellio	scaber	Porcellionidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
33330	Trichoniscus	pusillus	Trichoniscidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
288488	Anatonchus		Anatonchidae		in_assembly	cf. genovi		METAINVERT			METAINVERT	METAINVERT	METAINVERT		
288489	Anatonchus	tridentatus	Anatonchidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
286770	Aporcelaimellus	obtusicaudatus	Aporcelaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
473156	Dolichorhabditis	dolichura	Rhabditidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
708378	Acrogalumna	longipluma	Galumnidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1979925	Acrotritia	duplicata	Euphthiracaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2234146	Allosuctobelba	grandis	Suctobelbidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2664692	Hermanniella	dolosa	Hermanniellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
66581	Hypochthonius	rufulus	Hypochthoniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
128015	Platynothrus	peltifer	Camisiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
59818	Tyrophagus	putrescentiae	Acaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
173049	Cryptops	parisi	Cryptopidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
173285	Geophilus	carpophagus	Geophilidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
856749	Geophilus	flavus	Geophilidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
173284	Geophilus	truncorum	Geophilidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
173289	Haplophilus	subterraneus	Himantariidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
126936	Henia	vesuviana	Dignathodontidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
115410	Pachymerium	ferrugineum	Geophilidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1569481	Stenotaenia	linearis	Geophilidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1255758	Strigamia	acuminata	Linotaeniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1428135	Strigamia	crassipes	Linotaeniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1579475	Strigamia	transsilvanica	Linotaeniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1933610	Agrenia	bidenticulata	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
39272	Allacma	fusca	Sminthuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187597	Anurida	granaria	Neanuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187608	Pygmarrhopalites	spinosus	Arrhopalitidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187608	Pygmarrhopalites	spinosus	Arrhopalitidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
106916	Bilobella	braunerae	Neanuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
574228	Bourletiella	hortensis	Bourletiellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
928250	Ceratophysella	denticulata	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1218962	Ceratophysella	stachi	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187617	Ceratophysella	scotica	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1218965	Ceratophysella	sigillata	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187625	Entomobrya		Entomobryidae		in_assembly	cf. arborea		METAINVERT			METAINVERT	METAINVERT	METAINVERT		
370026	Desoria	olivacea	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1184801	Desoria	trispinata	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041938	Deuterosminthurus	bicinctus	Bourletiellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1385863	Dicyrtoma	fusca	Dicyrtomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1387116	Dicyrtomina	minuta	Dicyrtomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
438492	Dicyrtomina	saundersi	Dicyrtomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1503966	Entomobrya	corticalis	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041940	Entomobrya	muscorum	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041941	Entomobrya	nicoleti	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1387109	Entomobrya	nivalis	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
247613	Entomobrya	multifasciata	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
158441	Folsomia	candida	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1387114	Folsomia	fimetaria	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041942	Folsomia	inoculata	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
266765	Folsomia	penicula	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187628	Friesea	truncata	Neanuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2449080	Gisinianus	flammeolus	Katiannidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
254095	Heteromurus	nitidus	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
301519	Hydroisotoma	schaefferi	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1725397	Hypogastrura	burkilli	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
247611	Isotoma	anglicana	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
308473	Isotoma	caerulea	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
57735	Isotoma	decorata	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187635	Isotoma	viridis	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
370032	Isotomiella	minor	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
370031	Isotomiella	paraminor	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1184803	Isotomurus	graminis	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
36143	Isotomurus	maculatus	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
36144	Isotomurus	palustris	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1410395	Isotomurus	plumosus	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
