taxon_id	input	rank
304445	Apopellia endiviifolia	species
34168	Diphasiastrum complanatum	species
32108	Dipteris conjugata	species
49495	Ceratopteris richardii	species
58031	Cycas rumphii	species
42329	Zamia furfuracea	species
3377	Welwitschia mirabilis	species
156270	Taxus floridana	species
13333	Amborella trichopoda	species
13099	Illicium parviflorum	species
263995	Acorus americanus	species
112799	Japonolirion osense	species
72649	Talbotia elegans	species
4733	Typha latifolia	species
100679	Brocchinia micrantha	species
13529	Flagellaria indica	species
38723	Joinvillea ascendens	species
38686	Pharus latifolius	species
15368	Brachypodium distachyon	species
92927	Sarcandra glabra	species
3426	Canella winterana	species
12953	Asimina triloba	species
3415	Liriodendron tulipifera	species
3467	Eschscholzia californica	species
83223	Myrothamnus flabellifolia	species
4378	Dillenia indica	species
3572	Saponaria officinalis	species
379269	Colpoon compressum	species
53854	Chamaecrista fasciculata	species
49801	Cercis canadensis	species
3635	Gossypium hirsutum	species
99303	Ehretia anacua	species
86093	Lindenbergia philippensis	species
4556	Setaria viridis	species
4558	Sorghum bicolor	species
