ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	publication_id	contributing_project_lab	primary_contact	primary_contact_institution	date_of_update	project_url	translate_status	in_progress	published	insdc_open	sample_acquired	sample_collected
637954	Knipowitschia caucasica		Gobiidae	OTHER	in_assembly			REES - Rhine Eco-Evolutionary System	Ann-Marie Waldvogel	Institute of Zoology, University of Cologne, Germany	18.12.2022		in_progress	OTHER			OTHER	OTHER
204562	Chaoborus obscuripes		Chaoboridae	OTHER	data_generation			REES - Rhine Eco-Evolutionary System	Ann-Marie Waldvogel	Institute of Zoology, University of Cologne, Germany	15.09.2022		in_progress	OTHER			OTHER	OTHER
315576	Chironomus riparius		Chironomidae	OTHER	in_assembly			Rothamsted Research Limited	Ann-Marie Waldvogel	Institute of Zoology, University of Cologne, Germany	15.09.2022		in_progress	OTHER			OTHER	OTHER
1488665	Pelomedusa galeata		Pelomedusidae	OTHER	in_assembly				Ann-Marie Waldvogel	Institute of Zoology, University of Cologne, Germany	20.11.2022		in_progress	OTHER			OTHER	OTHER
44522	Pelomedusa subrufa		Pelomedusidae	OTHER	data_generation				Ann-Marie Waldvogel	Institute of Zoology, University of Cologne, Germany	20.11.2022		in_progress	OTHER			OTHER	OTHER
62621	Lepus timidus		Leporidae	OTHER	data_generation			xHARES / UEF Hare research	Jaakko Pohjoismäki		27.09.2022		in_progress	OTHER			OTHER	OTHER
9983	Lepus europaeus		Leporidae	OTHER	in_assembly			xHARES / UEF Hare research	Jaakko Pohjoismäki		27.09.2023		in_progress	OTHER			OTHER	OTHER
36305	Strix uralensis		Strigidae	OTHER	data_generation			LIB-CellGen - MPI-GC Cologne	Astrid Böhne	Leibniz Institute for the Analysis of Biodiversity Change, Museum Koenig Bonn, Germany	22.11.2022	https://bonn.leibniz-lib.de/en/research/projects/cellgen	in_progress	OTHER			OTHER	OTHER
2996325	Epictia australis		Leptotyphlopidae	OTHER	data_generation			LIB Bonn - MPI-CBG Dresden	Astrid Böhne	Leibniz Institute for the Analysis of Biodiversity Change, Museum Koenig Bonn, Germany	28.11.2022	https://bonn.leibniz-lib.de/en/research/research-centres-and-groups/comparative-vertebrate-genomics	in_progress	OTHER			OTHER	OTHER
344395	Tobrilus gracilis		Tobrilidae	OTHER	in_assembly			Worm lab Cologne	Philipp Schiffer	Institute of Zoology, University of Cologne, Germany	23.01.2023		in_progress	OTHER			OTHER	OTHER
243733	Mononchus aquaticus		Mononchidae	OTHER	data_generation			Worm lab Cologne	Philipp Schiffer	Institute of Zoology, University of Cologne, Germany	23.01.2023		in_progress	OTHER			OTHER	OTHER
1595897	Tripylella intermedia		Tripyloidea	OTHER	data_generation			Worm lab Cologne	Philipp Schiffer	Institute of Zoology, University of Cologne, Germany	23.01.2023		in_progress	OTHER			OTHER	OTHER
416168	Romanomermis iyengari		Mermithidae	OTHER	in_assembly			Worm lab Cologne	Philipp Schiffer	Institute of Zoology, University of Cologne, Germany	23.01.2023		in_progress	OTHER			OTHER	OTHER
13658	Romanomermis culicivorax		Mermithidae	OTHER	in_assembly			Worm lab Cologne	Philipp Schiffer	Institute of Zoology, University of Cologne, Germany	23.01.2023		in_progress	OTHER			OTHER	OTHER
2011161	Plectus sambesii		Plectidae	OTHER	data_generation								in_progress	OTHER			OTHER	OTHER
591445	Panagrolaimus ES5		Panagrolaimidae	OTHER	in_assembly								in_progress	OTHER			OTHER	OTHER
55785	Panagrolaimus PS1159		Panagrolaimidae	OTHER	data_generation								in_progress	OTHER			OTHER	OTHER
