taxon_id	input	rank
9600	Pongo pygmaeus	species
9586	Nomascus siki	species
9590	Symphalangus syndactylus	species
593543	Hoolock leuconedys	species
9589	Hylobates pileatus	species
9551	Macaca assamensis	species
54601	Macaca silenus	species
9557	Papio hamadryas	species
75566	Lophocebus aterrimus	species
9561	Mandrillus sphinx	species
867370	Cercopithecus albogularis	species
9534	Chlorocebus aethiops	species
9538	Erythrocebus patas	species
310352	Pygathrix nigripes	species
1194336	Rhinopithecus strykeri	species
33548	Colobus guereza	species
30586	Saguinus midas	species
9515	Sapajus apella	species
9514	Cebus albifrons	species
9509	Ateles geoffroyi	species
43777	Pithecia pithecia	species
9477	Cephalopachus bancanus	species
31869	Daubentonia madagascariensis	species
9468	Loris tardigradus	species
261741	Nycticebus bengalensis	species
30609	Galago moholi	species
9540	Macaca arctoides	species
54602	Macaca thibetana	species
9541	Macaca fascicularis	species
9542	Macaca fuscata	species
90387	Macaca leonina	species
54600	Macaca nigra	species
40843	Macaca tonkeana	species
9546	Macaca sylvanus	species
