taxon_id	input	rank
130055	Cladocora caespitosa	species
94942	Austropotamobius torrentium	species
1457099	Astagobius angustatus	species
130898	Rupicapra rupicapra rupicapra	subspecies
39030	Apodemus agrarius	species
184180	Primula carniolica	species
1538746	Sempervivum wulfenii subsp. juvanii	subspecies
1849259	Graciliella metohijensis	species
1849190	Anthroherpon ganglbaueri	species
9659	Martes foina	species
29065	Martes martes	species
75933	Umbra krameri	species
40178	Alectoris graeca	species
170895	Cephenemyia stimulator	species
2750063	Lithobius validus	species
171369	Eupolybothrus grossipes	species
173051	Dicellophilus carniolensis	species
2750798	Lithobius stygius	species
6925	Latrodectus tredecimguttatus	species
554486	Coenonympha oedippus	species
1662264	Leviellus thorelli	species
1046855	Amilenus aurantiacus	species
1926191	Lacinius dentiger	species
2779018	Cottus metae	species
1052165	Erinaceus roumanicus	species
287238	Zygaena carniolica	species
170899	Hypoderma diana	species
903833	Melolontha hippocastani	species
2506770	Octodrilus mimus	species
468173	Erebia calcaria	species
556215	Niphargus stygius	species
134416	Cicada orni	species
