species	family	phylum	kingdom	source	ncbi_taxon_id	target_list_status	sequencing_status	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Coronilla viminalis	Fabaceae	Streptophyta	Viridiplantae	SpainHSp	347984	other_priority		SPAIN-HSP	SPAIN-HSP		SPAIN-HSP									
Obama nungara	Geoplanidae	 Platyhelminthes	Metazoa	SpainHSp	1826298	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Pinna rudis	Pinnidae	 Mollusca	Metazoa	SpainHSp	1380992	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Siphonaria pectinata	Siphonariidae	 Mollusca	Metazoa	SpainHSp	57642	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Tetrastemma melanocephalum	Tetrastemmatidae	 Nemertea	Metazoa	SpainHSp	307678	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Valencia hispanica	Valenciidae	Chordata	Metazoa	SpainHSP	195855	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Allolobophora molleri 	Lumbricidae	Annelida	Metazoa	SpainHSP	647718	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Conus guanche	Conidae	Mollusca	Metazoa	SpainHSP	308503	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Gyrocaryum oppositifolium	Boraginaceae	Magnoliopsida	Plantae	SpainHSP	1929230	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Munidopsis polymorpha	Munidopsidae	Arthropoda	Metazoa	SpainHSP	395596	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
Tarphius canariensis	Zopheridae	Arthropoda	Metazoa	SpainHSP	124803	other_priority	sample_acquired	SPAIN-HSP	SPAIN-HSP		SPAIN-HSP	SPAIN-HSP	SPAIN-HSP							
