taxon_id	input	rank
137246	Chiloscyllium punctatum	species
259920	Rhincodon typus	species
75743	Scyliorhinus torazame	species
378071	Stegostoma fasciatum	species
57985	Megachasma pelagios	species
7815	Prionace glauca	species
57983	Isurus oxyrinchus	species
57982	Cetorhinus maximus	species
7808	Carcharhinus plumbeus	species
432798	Okamejei kenojei	species
2704970	Hemitrygon akajei	species
95544	Heterodontus japonicus	species
62965	Narke japonica	species
27585	Chlamydoselachus anguineus	species
195330	Rhinobatos schlegelii	species
195328	Rhina ancylostoma	species
862654	Etmopterus molleri	species
55135	Pristiophorus japonicus	species
661037	Squatina japonica	species
134996	Squalus mitsukurii	species
