	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	data_generation	in_assembly	insdc_open	insdc_submitted	sample_acquired	long_list
0	137246	Chiloscyllium	punctatum	Hemiscylliidae	long_list	insdc_open		SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX
1	259920	Rhincodon	typus	Rhincodontidae	long_list	insdc_submitted		SQUALOMIX	SQUALOMIX	SQUALOMIX		SQUALOMIX	SQUALOMIX	SQUALOMIX
2	75743	Scyliorhinus	torazame 	Scyliorhinidae	long_list	insdc_open		SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX	SQUALOMIX
3	378071	Stegostoma	tigrinum	Stegostomatidae	long_list	insdc_submitted	Stegostoma fasciatum	SQUALOMIX	SQUALOMIX	SQUALOMIX		SQUALOMIX	SQUALOMIX	SQUALOMIX
4	57985	Megachasma	pelagios 	Megachasmidae	long_list	in_assembly		SQUALOMIX	SQUALOMIX	SQUALOMIX			SQUALOMIX	SQUALOMIX
5	7815	Prionace 	glauca	Carcharhinidae	long_list	in_assembly		SQUALOMIX	SQUALOMIX	SQUALOMIX			SQUALOMIX	SQUALOMIX
6	57983	Isurus	oxyrinchus	Alopiidae	long_list	in_assembly		SQUALOMIX	SQUALOMIX	SQUALOMIX			SQUALOMIX	SQUALOMIX
7	57982	Cetorhinus	maximus	Alopiidae	long_list	in_assembly		SQUALOMIX	SQUALOMIX	SQUALOMIX			SQUALOMIX	SQUALOMIX
8	7808	Carcharhinus	plumbeus	Carcharhinidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
9	432798	Okamejei	kenojei	Rajidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
10	2704970	Hemitrygon	akajei	Dasyatidae	long_list	in_assembly	Dasyatis akajei	SQUALOMIX	SQUALOMIX	SQUALOMIX			SQUALOMIX	SQUALOMIX
11	95544	Heterodontus	japonicus	Heterodontidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
12	62965	Narke	japonica	Narkidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
13	27585	Chlamydoselachus	anguineus	Chlamydoselachidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
14	195330	Rhinobatos	schlegelii	Rhinobatidae	long_list	data_generation		SQUALOMIX	SQUALOMIX				SQUALOMIX	SQUALOMIX
15	195328	Rhina	ancylostoma	Rhinidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
16	862654	Etmopterus	molleri	Etmopteridae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
17	55135	Pristiophorus	japonicus 	Pristiophoridae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
18	661037	Squatina	japonica	Squatinidae	long_list	data_generation		SQUALOMIX	SQUALOMIX				SQUALOMIX	SQUALOMIX
19	134996	Squalus	mitsukurii	Squalidae	long_list	sample_acquired		SQUALOMIX					SQUALOMIX	SQUALOMIX
