taxon_id	input	rank
1491768	Abrothallus parmeliarum	species
1642272	Abrothallus welwitschii	species
126420	Acanthochitona crinita	species
55704	Acanthochitona fascicularis	species
2818234	Neophasis anarrhichae	species
483950	Acanthosoma haemorrhoidale	species
286402	Sarcogyne regularis	species
371067	Acarospora fuscata	species
286400	Polysporina simplex	species
1262227	Acartophthalmus nigrinus	species
78545	Acaulospora laevis	species
43551	Pernis apivorus	species
8962	Aquila chrysaetos	species
211598	Accipiter nisus	species
8957	Accipiter gentilis	species
8964	Circus aeruginosus	species
387828	Circus pygargus	species
8969	Haliaeetus albicilla	species
30397	Buteo buteo	species
43466	Circus cyaneus	species
43518	Milvus milvus	species
112088	Achlya radiosa	species
3018	Acinetospora crinita	species
2885	Pylaiella littoralis	species
318815	Panthalis oerstedi	species
116142	Chorthippus brunneus	species
402627	Acrobolbus wilsonii	species
210248	Acrocera orbiculus	species
519111	Acrochaetium microscopicum	species
209631	Acrochaetium secundatum	species
278015	Macrochaeta clavicornis	species
152640	Acrospermum graminum	species
1907525	Oomyces carneoalbus	species
152639	Acrospermum compressum	species
71513	Acteon tornatilis	species
6106	Actinia equina	species
396334	Actinia fragacea	species
51769	Anemonia viridis	species
200527	Aulactinia verrucosa	species
1929765	Stomphia coccinea	species
402628	Pseudomarsupidium decipiens	species
139828	Adelanthus lindenbergianus	species
53015	Syzygiella autumnalis	species
133063	Adelges laricis	species
233164	Nemophora degeerella	species
442080	Aderus populneus	species
4208	Adoxa moschatellina	species
28503	Sambucus ebulus	species
85293	Viburnum opulus	species
237945	Viburnum lantana	species
4202	Sambucus nigra	species
86349	Aegires punctilucens	species
73327	Aegithalos caudatus	species
195873	Aeolidia papillosa	species
1903821	Aeolidiella glauca	species
38134	Aeolothrips albicinctus	species
12921	Aeshna cyanea	species
34436	Chlorophyllum rhacodes	species
56187	Coprinus comatus	species
1348649	Echinoderma asperum	species
56174	Leucocoprinus birnbaumii	species
876678	Leucocoprinus cepistipes	species
83518	Agaricus xanthodermus	species
1698855	Eratigena atrica	species
443868	Agyrium rufum	species
28023	Ahnfeltia plicata	species
1720303	Aiptasia couchii	species
379227	Disphyma crassifolium	species
379215	Carpobrotus edulis	species
5037	Histoplasma capsulatum	species
71501	Akera bullata	species
2268681	Roxania utriculus	species
2889	Alaria esculenta	species
215315	Lullula arborea	species
88112	Alauda arvensis	species
135430	Eremophila alpestris	species
1631665	Albugo lepigoni	species
323849	Albugo trianthemae	species
