	gen	sp	fam	family_representative	long_list	other_priority
1	Abrothallus	parmeliarum	Abrothallaceae		DTOL	
3	Abrothallus	welwitschii	Abrothallaceae		DTOL	
5	Acanthochitona	crinita	Acanthochitonidae	DTOL	DTOL	
6	Acanthochitona	fascicularis	Acanthochitonidae	DTOL	DTOL	
8	Neophasis	anarrhichae	Acanthocolpidae	DTOL	DTOL	
9	Acanthosoma	haemorrhoidale	Acanthosomatidae	DTOL	DTOL	
10	Sarcogyne	regularis	Acarosporaceae		DTOL	
13	Acarospora	fuscata	Acarosporaceae	DTOL	DTOL	
14	Polysporina	simplex	Acarosporaceae	DTOL	DTOL	
15	Acartophthalmus	nigrinus	Acartophthalmidae	DTOL	DTOL	
17	Acaulospora	laevis	Acaulosporaceae	DTOL	DTOL	
18	Pernis	apivorus	Accipitridae		DTOL	
19	Aquila	chrysaetos	Accipitridae		DTOL	
20	Accipiter	nisus	Accipitridae		DTOL	
21	Accipiter	gentilis	Accipitridae		DTOL	
22	Circus	aeruginosus	Accipitridae		DTOL	
23	Circus	pygargus	Accipitridae		DTOL	
24	Haliaeetus	albicilla	Accipitridae		DTOL	
25	Buteo	buteo	Accipitridae		DTOL	
26	Circus	cyaneus	Accipitridae	DTOL	DTOL	
27	Milvus	milvus	Accipitridae	DTOL	DTOL	
28	Achlya	radiosa	Saprolegniaceae	DTOL	DTOL	
29	Acinetospora	crinita	Acinetosporaceae	DTOL	DTOL	
30	Pylaiella	littoralis	Acinetosporaceae	DTOL	DTOL	
31	Panthalis	oerstedi	Acoetidae	DTOL	DTOL	
32	Chorthippus	brunneus	Acrididae	DTOL	DTOL	
33	Acrobolbus	wilsonii	Acrobolbaceae	DTOL	DTOL	
36	Acrocera	orbiculus	Acroceridae	DTOL	DTOL	
37	Acrochaetium	microscopicum	Acrochaetiaceae	DTOL	DTOL	
38	Acrochaetium	secundatum	Acrochaetiaceae	DTOL	DTOL	
39	Macrochaeta	clavicornis	Acrocirridae	DTOL	DTOL	
41	Acrospermum	graminum	Acrospermaceae		DTOL	
43	Oomyces	carneoalbus	Acrospermaceae		DTOL	
44	Acrospermum	compressum	Acrospermaceae	DTOL	DTOL	
45	Acteon	tornatilis	Acteonidae	DTOL	DTOL	
46	Actinia	equina	Actiniidae	DTOL	DTOL	
47	Actinia	fragacea	Actiniidae	DTOL	DTOL	
48	Anemonia	viridis	Actiniidae	DTOL	DTOL	
49	Aulactinia	verrucosa	Actiniidae	DTOL	DTOL	
50	Stomphia	coccinea	Actinostolidae	DTOL	DTOL	
51	Pseudomarsupidium	decipiens	Adelanthaceae		DTOL	
52	Adelanthus	lindenbergianus	Adelanthaceae	DTOL	DTOL	
53	Syzygiella	autumnalis	Adelanthaceae	DTOL	DTOL	
54	Adelges	laricis	Adelgidae	DTOL	DTOL	
55	Nemophora	degeerella	Adelidae	DTOL	DTOL	
61	Aderus	populneus	Aderidae	DTOL	DTOL	
62	Adoxa	moschatellina	Adoxaceae		DTOL	
63	Sambucus	ebulus	Adoxaceae		DTOL	
64	Viburnum	opulus	Adoxaceae		DTOL	
65	Viburnum	lantana	Adoxaceae	DTOL	DTOL	
66	Sambucus	nigra	Adoxaceae		DTOL	DTOL
68	Aegires	punctilucens	Aegiridae	DTOL	DTOL	
69	Aegithalos	caudatus	Aegithalidae	DTOL	DTOL	
70	Aeolidia	papillosa	Aeolidiidae	DTOL	DTOL	
71	Aeolidiella	glauca	Aeolidiidae	DTOL	DTOL	
72	Aeolothrips	albicinctus	Aeolothripidae	DTOL	DTOL	
73	Aeshna	cyanea	Aeshnidae	DTOL	DTOL	
75	Chlorophyllum	rhacodes	Agaricaceae		DTOL	
76	Coprinus	comatus	Agaricaceae		DTOL	
77	Echinoderma	asperum	Agaricaceae		DTOL	
78	Leucocoprinus	birnbaumii	Agaricaceae		DTOL	
79	Leucocoprinus	cepistipes	Agaricaceae		DTOL	
80	Agaricus	xanthodermus	Agaricaceae		DTOL	
81	Eratigena	atrica	Agelenidae	DTOL	DTOL	
83	Agyrium	rufum	Agyriaceae	DTOL	DTOL	
84	Ahnfeltia	plicata	Ahnfeltiaceae	DTOL	DTOL	
85	Aiptasia	couchii	Aiptasiidae	DTOL	DTOL	
86	Disphyma	crassifolium	Aizoaceae	DTOL	DTOL	
87	Carpobrotus	edulis	Aizoaceae		DTOL	DTOL
88	Histoplasma	capsulatum	Ajellomycetaceae	DTOL	DTOL	
89	Akera	bullata	Akeridae	DTOL	DTOL	
90	Roxania	utriculus	Alacuppidae	DTOL	DTOL	
91	Alaria	esculenta	Alariaceae	DTOL	DTOL	
92	Lullula	arborea	Alaudidae		DTOL	
93	Alauda	arvensis	Alaudidae	DTOL	DTOL	
94	Eremophila	alpestris	Alaudidae	DTOL	DTOL	
97	Albugo	lepigoni	Albuginaceae		DTOL	
98	Albugo	trianthemae	Albuginaceae		DTOL	
99	Pustula	tragopogonis	Albuginaceae		DTOL	
100	Albugo	candida	Albuginaceae	DTOL	DTOL	
101	Alcedo	atthis	Alcedinidae	DTOL	DTOL	
102	Alle	alle	Alcidae		DTOL	
103	Alca	torda	Alcidae		DTOL	
104	Cepphus	grylle	Alcidae		DTOL	
105	Uria	aalge	Alcidae	DTOL	DTOL	
106	Fratercula	arctica	Alcidae	DTOL	DTOL	
107	Alcyonidium	diaphanum	Alcyonidiidae	DTOL	DTOL	
108	Alcyonidium	hirsutum	Alcyonidiidae	DTOL	DTOL	
109	Alcyonium	digitatum	Alcyoniidae	DTOL	DTOL	
111	Alepisaurus	ferox	Alepisauridae	DTOL	DTOL	
112	Alepocephalus	bairdii	Alepocephalidae		DTOL	
113	Bathyprion	danae	Alepocephalidae		DTOL	
114	Bathytroctes	microlepis	Alepocephalidae		DTOL	
115	Alepocephalus	agassizii	Alepocephalidae		DTOL	
116	Alepocephalus	australis	Alepocephalidae		DTOL	
117	Alepocephalus	productus	Alepocephalidae		DTOL	
118	Bathytroctes	macrolepis	Alepocephalidae		DTOL	
119	Bathytroctes	michaelsarsi	Alepocephalidae		DTOL	
120	Narcetes	stomias	Alepocephalidae		DTOL	
121	Bajacalifornia	megalops	Alepocephalidae		DTOL	
122	Conocara	macropterum	Alepocephalidae		DTOL	
123	Conocara	murrayi	Alepocephalidae		DTOL	
124	Rinoctes	nasutus	Alepocephalidae		DTOL	
125	Xenodermichthys	copei	Alepocephalidae		DTOL	
126	Rouleina	attrita	Alepocephalidae		DTOL	
127	Conocara	salmoneum	Alepocephalidae		DTOL	
128	Alepocephalus	rostratus	Alepocephalidae		DTOL	
129	Rouleina	maderensis	Alepocephalidae		DTOL	
130	Photostylus	pycnopterus	Alepocephalidae		DTOL	
