taxon_id	input	rank
9813	Procavia capensis	species
29137	Dugong dugon	species
473867	Rhynchocyon cirnei	species
329863	Microgale cowani	species
9391	Amblysomus hottentotus	species
9818	Orycteropus afer	species
48850	Tamandua tetradactyla	species
27675	Choloepus didactylus	species
9361	Dasypus novemcinctus	species
9606	Homo sapiens	species
9483	Callithrix jacchus	species
1868482	Carlito syrichta	species
9470	Nycticebus coucang	species
9447	Lemur catta	species
110931	Cynocephalus volans	species
34844	Erethizon dorsatum	species
10166	Ctenodactylus gundi	species
41261	Glis glis	species
55149	Sciurus vulgaris	species
51342	Aplodontia rufa	species
1047088	Arvicola amphibius	species
51337	Jaculus jaculus	species
1082180	Anomalurus beecrofti	species
10023	Pedetes capensis	species
10013	Thomomys bottae	species
51338	Castor canadensis	species
9986	Oryctolagus cuniculus	species
9978	Ochotona princeps	species
70687	Tupaia tana	species
320338	Ptilocercus lowii	species
42100	Phocoena sinus	species
9833	Hippopotamus amphibius	species
9913	Bos taurus	species
9823	Sus scrofa	species
9838	Camelus dromedarius	species
9796	Equus caballus	species
9802	Tapirus indicus	species
89673	Phyllostomus discolor	species
59479	Rhinolophus ferrumequinum	species
9657	Lutra lutra	species
61383	Lynx canadensis	species
143292	Manis pentadactyla	species
109475	Suncus etruscus	species
9375	Talpa europaea	species
9365	Erinaceus europaeus	species
79805	Solenodon paradoxus	species
9337	Trichosurus vulpecula	species
9315	Notamacropus eugenii	species
38626	Phascolarctos cinereus	species
92651	Macrotis lagotis	species
9305	Sarcophilus harrisii	species
37699	Notoryctes typhlops	species
33562	Dromiciops gliroides	species
13616	Monodelphis domestica	species
42731	Lestoros inca	species
9258	Ornithorhynchus anatinus	species
59729	Taeniopygia guttata	species
296741	Chiroxiphia lanceolata	species
57068	Acanthisitta chloris	species
2489341	Strigops habroptila	species
120794	Falco rusticolus	species
54380	Cariama cristata	species
118200	Dryobates pubescens	species
57421	Merops nubicus	species
153643	Bucorvus abyssinicus	species
297711	Trogon surrucura	species
188344	Leptosomus discolor	species
57412	Colius striatus	species
56313	Tyto alba	species
8962	Aquila chrysaetos	species
33610	Gypaetus barbatus	species
36300	Pelecanus crispus	species
188379	Egretta garzetta	species
1118847	Theristicus caerulescens	species
9209	Phalacrocorax carbo	species
37578	Morus bassanus	species
52777	Ciconia maguari	species
30455	Fulmarus glacialis	species
9240	Spheniscus humboldti	species
37040	Gavia stellata	species
54386	Rhynochetos jubatus	species
670352	Pluvialis apricaria	species
30419	Opisthocomus hoazin	species
9244	Calypte anna	species
8895	Apus apus	species
243314	Hemiprocne comata	species
111811	Caprimulgus europaeus	species
671282	Aegotheles insignis	species
8905	Podargus strigoides	species
48435	Steatornis caripensis	species
48427	Nyctibius grandis	species
73107	Otis tarda	species
121530	Tauraco erythrolophus	species
55661	Cuculus canorus	species
54374	Mesitornis unicolor	species
240206	Pterocles gutturalis	species
177155	Streptopelia turtur	species
9217	Phoenicopterus ruber	species
345573	Podiceps cristatus	species
9031	Gallus gallus	species
219594	Aythya fuligula	species
94827	Tinamus guttatus	species
8790	Dromaius novaehollandiae	species
8822	Apteryx australis	species
8795	Rhea pennata	species
8502	Crocodylus porosus	species
8496	Alligator mississippiensis	species
94835	Gavialis gangeticus	species
44489	Carettochelys insculpta	species
8469	Chelonia mydas	species
8475	Chelydra serpentina	species
55550	Dermatemys mawii	species
27794	Dermochelys coriacea	species
82168	Emys orbicularis	species
204960	Geoemyda japonica	species
573971	Sternotherus carinatus	species
55544	Platysternon megacephalum	species
1825980	Gopherus evgoodei	species
55534	Apalone spinifera	species
904206	Mesoclemmys tuberculata	species
367368	Pelusios castaneus	species
44507	Podocnemis expansa	species
51853	Candoia aspera	species
246179	Vipera latastei	species
35005	Thamnophis elegans	species
759943	Typhlophis squamosus	species
38937	Anolis sagrei	species
91907	Chamaeleo chamaeleon	species
118683	Cyclura pinguis	species
52224	Shinisaurus crocodilurus	species
80427	Lacerta agilis	species
261503	Rhineura floridana	species
171146	Aspidoscelis stictogrammus	species
155319	Scincella lateralis	species
768697	Lygodactylus conraui	species
266055	Dibamus novaeguineae	species
8508	Sphenodon punctatus	species
97956	Discoglossus galganoi	species
8345	Bombina bombina	species
43566	Rhinophrynus dorsalis	species
8439	Ascaphus truei	species
265035	Scutiger boulengeri	species
61616	Pelobates cultripes	species
43542	Pelodytes punctatus	species
233779	Spea bombifrons	species
8364	Xenopus tropicalis	species
57060	Eleutherodactylus coqui	species
752182	Hyperolius riggenbachi	species
43498	Hadromophryne natalensis	species
8384	Bufo bufo	species
150705	Dendropsophus ebraccatus	species
76066	Engystomops pustulosus	species
120498	Nanorana pleskei	species
8429	Gastrophryne carolinensis	species
43514	Mantella aurantiaca	species
8407	Rana temporaria	species
8425	Sooglossus thomasseti	species
288313	Hynobius chinensis	species
1380544	Thorius aureus	species
43532	Necturus alabamensis	species
8296	Ambystoma mexicanum	species
57571	Salamandra salamandra	species
8341	Siren intermedia	species
194408	Rhinatrema bivittatum	species
1415580	Microcaecilia unicolor	species
260995	Geotrypetes seraphini	species
27687	Erpetoichthys calabaricus	species
7906	Acipenser ruthenus	species
7924	Amia calva	species
7918	Lepisosteus oculatus	species
118141	Megalops cyprinoides	species
54909	Albula vulpes	species
143895	Notacanthus chemnitzii	species
7936	Anguilla anguilla	species
466964	Hiodon tergisus	species
113540	Scleropages formosus	species
299321	Denticeps clupeoides	species
492051	Xenodermichthys copei	species
29144	Chanos chanos	species
7955	Danio rerio	species
8005	Electrophorus electricus	species
42514	Pygocentrus nattereri	species
337641	Hemibagrus wyckioides	species
89578	Lepidogalaxias salamandroides	species
443705	Nansenia antarctica	species
946358	Aplochiton taeniatus	species
8010	Esox lucius	species
8032	Salmo trutta	species
8014	Osmerus mordax	species
1263181	Guentherus altivela	species
948063	Notolepis coatsi	species
206093	Electrona antarctica	species
81370	Lampris guttatus	species
940468	Speoplatyrhinus poulsoni	species
64108	Zeus faber	species
409996	Stylephorus chordatus	species
8049	Gadus morhua	species
143326	Polymixia lowei	species
88708	Poromitra crassiceps	species
586833	Myripristis murdjan	species
390379	Thalassophryne amazonica	species
161584	Syngnathus acus	species
8240	Thunnus maccoyii	species
205130	Mastacembelus armatus	species
64144	Anabas testudineus	species
941984	Toxotes jaculatrix	species
8267	Hippoglossus hippoglossus	species
8245	Xiphias gladius	species
173247	Echeneis naucrates	species
210632	Parambassis ranga	species
63155	Archocentrus centrarchus	species
75038	Scatophagus argus	species
195821	Anableps anableps	species
48171	Chelon labrosus	species
1250792	Melanotaenia boesemani	species
129108	Xenentodon cancila	species
390368	Pholidichthys leucotaenia	species
508657	Hyperoplus lanceolatus	species
181472	Salarias fasciatus	species
88656	Anoplogaster cornuta	species
27706	Micropterus salmoides	species
1203425	Notolabrus celidotus	species
75022	Drepane punctata	species
56716	Cottoperca gobio	species
109905	Chelmon rostratus	species
75026	Luvarus imperialis	species
8175	Sparus aurata	species
882753	Antennarius maculatus	species
31033	Takifugu rubripes	species
490270	Pempheris oualensis	species
375764	Sphaeramia orbicularis	species
441366	Gouania willdenowi	species
94984	Echiichthys vipera	species
8103	Cyclopterus lumpus	species
7868	Callorhinchus milii	species
7792	Heterodontus francisci	species
170820	Hemiscyllium ocellatum	species
13397	Carcharodon carcharias	species
7830	Scyliorhinus canicula	species
27585	Chlamydoselachus anguineus	species
7797	Squalus acanthias	species
303946	Squatina dumeril	species
212738	Pristiophorus nudipinnis	species
7788	Torpedo marmorata	species
386614	Amblyraja radiata	species
685728	Pristis pectinata	species
7897	Latimeria chalumnae	species
27779	Protopterus dolloi	species
7769	Myxine glutinosa	species
7757	Petromyzon marinus	species
7741	Branchiostoma belcheri	species
7604	Asterias rubens	species
7719	Ciona intestinalis	species
