	superorder	orders_latin_name	latin_name_1	latin_name_2	latin_name_3	species_id_1	species_id_2	species_id_3	status	phylum	phase1
1	Afrotheria	Hyracoidea	Procavia capensis	Heterohyrax brucei					3	Chordata	VGP
2	Afrotheria	Sirenia	Dugong dugon	Trichechus manatus					3	Chordata	VGP
3	Afrotheria	Macroscelidea	Rhynchocyon cirnei	Elephantulus rufescens	Rhynchocyon petersi				3	Chordata	VGP
4	Afrotheria	Afrosoricida (Tenrecs)	Microgale cowani	Echinops telfairi					3	Chordata	VGP
5	Afrotheria	Afrosoricida (Golden moles)	Amblysomus hottentotus	Chrysochloris asiatica					2	Chordata	VGP
6	Afrotheria	Tubulidentata	Orycteropus afer						3	Chordata	VGP
7	Xenarthra	Pilosa (Anteaters)	Tamandua tetradactyla	Myrmecophaga tridactyla	Cyclopes didactylus				3	Chordata	VGP
8	Xenarthra	Pilosa (Sloths)	Choloepus didactylus	Choloepus hoffmanni	Bradypus tridactylus	mChoDid1			4	Chordata	VGP
9	Xenarthra	Cingulata	Dasypus novemcinctus	Chaetophractus vellerosus		mDasNov1			3	Chordata	VGP
10	Supraprimates (Euarchontoglires)	Primates (Apes & OW Monkeys)	Homo sapiens	Pan troglodytes	Macaca mulatta	mHomSap3			4	Chordata	VGP
11	Supraprimates (Euarchontoglires)	Primates (NW Monkeys)	Callithrix jacchus			mCalJac1			4	Chordata	VGP
12	Supraprimates (Euarchontoglires)	Primates (Tarsiers)	Carlito syrichta						2	Chordata	VGP
13	Supraprimates (Euarchontoglires)	Primates (Loris/Galagos)	Nycticebus coucang	Otolemur garnettii		mNycCou1			3	Chordata	VGP
14	Supraprimates (Euarchontoglires)	Primates (Lemurs)	Lemur catta			mLemCat1			4	Chordata	VGP
15	Supraprimates (Euarchontoglires)	Dermoptera	Cynocephalus volans	Galeopterus variegatus					3	Chordata	VGP
16	Supraprimates (Euarchontoglires)	Rodentia (Porcupines)	Erethizon dorsatum	Hystrix brachyura		mEreDor1			3	Chordata	VGP
17	Supraprimates (Euarchontoglires)	Rodentia (Gundi/Squirrel rat)	Ctenodactylus gundi	Laotian rock rat		mCetCom1			3	Chordata	VGP
18	Supraprimates (Euarchontoglires)	Rodentia (Dormice)	Glis glis	Graphiurus murinus					3	Chordata	VGP
19	Supraprimates (Euarchontoglires)	Rodentia (Squirrels/Chipmunks)	Sciurus vulgaris	Tamias striatus	Spermophilus tridecemlineatus	mSciVul1.1			4	Chordata	VGP
20	Supraprimates (Euarchontoglires)	Rodentia (Mountain Beaver)	Aplodontia rufa						2	Chordata	VGP
21	Supraprimates (Euarchontoglires)	Rodentia (Muridae)	Arvicola amphibius	Arvicanthis niloticus	Mus musculus	mArvAmp1			4	Chordata	VGP
22	Supraprimates (Euarchontoglires)	Rodentia (Dipodidae)	Jaculus jaculus			mJacJac1			4	Chordata	VGP
23	Supraprimates (Euarchontoglires)	Rodentia (Anomaluridae)	Anomalurus beecrofti						3	Chordata	VGP
24	Supraprimates (Euarchontoglires)	Rodentia (Pedetidae)	Pedetes capensis						3	Chordata	VGP
25	Supraprimates (Euarchontoglires)	Rodentia (Geomyoidea)	Thomomys bottae	Dipodomys heermanni	Cratogeomys castanops	mThoBot1			3	Chordata	VGP
26	Supraprimates (Euarchontoglires)	Rodentia (Castoridae)	Castor canadensis	Castor fiber					2	Chordata	VGP
27	Supraprimates (Euarchontoglires)	Lagomorpha (Leporidae)	Oryctolagus cuniculus						2	Chordata	VGP
28	Supraprimates (Euarchontoglires)	Lagomorpha (Ochotonidae)	Ochotona princeps	Ochotona hyperborea					3	Chordata	VGP
29	Supraprimates (Euarchontoglires)	Scandentia (Tupaiidae)	Tupaia tana	Tupaia belangeri	Tupaia minor		mDasNov1		3	Chordata	VGP
30	Supraprimates (Euarchontoglires)	Scandentia (Ptilocercidae)	Ptilocercus lowii						2	Chordata	VGP
31	Laurasiatheria	Cetartiodactyla (Cetacea)	Phocoena sinus	Tursiops truncatus	Balaenoptera musculus	mPhoSin1			4	Chordata	VGP
32	Laurasiatheria	Cetartiodactyla (Hippopotamidae)	Hippopotamus amphibius	Choeropsis liberiensis					3	Chordata	VGP
33	Laurasiatheria	Cetartiodactyla (non Cetacea ungulates)	Bos taurus	Cervus elaphus	Tragulus napu or Giraffa camelopardalis	mBosTua1	mCerEla1		4	Chordata	VGP
34	Laurasiatheria	Cetartiodactyla (Suidae)	Sus scrofa	Pecari tajacu					3	Chordata	VGP
35	Laurasiatheria	Cetartiodactyla (Camelidae)	Camelus dromedarius	Lama glama	Camelus ferus				3	Chordata	VGP
36	Laurasiatheria	Perissodactyla (Equidae)	Equus caballus						3	Chordata	VGP
38	Laurasiatheria	Perissodactyla (Tapiridae)	Tapirus indicus			mTapInd1			3	Chordata	VGP
39	Laurasiatheria	Chiroptera (Yangochiroptera)	Phyllostomus discolor	Myotis myotis		mPhyDis1			4	Chordata	VGP
40	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinolophus ferrumequinum		Pteropus vampyrus	mRhiFer1			4	Chordata	VGP
41	Laurasiatheria	Carnivora (Caniformia)	Lutra lutra	Zalophus californianus	Canis familiaris	mLutLut1	mZalCal1		4	Chordata	VGP
42	Laurasiatheria	Carnivora (Feliformia)	Lynx canadensis		Felis catus	rGopEvg1			4	Chordata	VGP
43	Laurasiatheria	Pholidota	Manis pentadactyla			mManPen7			3	Chordata	VGP
44	Laurasiatheria	Eulipotyphla (Soricidae)	Suncus etruscus	Sorex araneus		mSunEtr1			3	Chordata	VGP
45	Laurasiatheria	Eulipotyphla (Talpidae)	Talpa europaea						2	Chordata	VGP
46	Laurasiatheria	Eulipotyphla (Erinaceidae)	Erinaceus europaeus						2	Chordata	VGP
47	Laurasiatheria	Eulipotyphla (Erinaceidae)	Solenodon paradoxus						3	Chordata	VGP
48	Marsupials	Diprotodontia (Phalangeriformes)	Trichosurus vulpecula	Cercartetus nanus		mTriVul1			4	Chordata	VGP
49	Marsupials	Diprotodontia (Hypsiprymnodontidae/Macropodidae)	Macropus eugenii	Macropus giganteus	Hypsiprymnodon moschatus	mMacEug1			3	Chordata	VGP
50	Marsupials	Diprotodontia (Phascolarctidae/Vombatiformes)	Phascolarctos cinereus	Vombatus ursinus					3	Chordata	VGP
51	Marsupials	Peramelemorphia	Macrotis lagotis						3	Chordata	VGP
52	Marsupials	Dasyuromorphia	Sarcophilus harrisii	Myrmecobius fasciatus		mSarHar1			3	Chordata	VGP
53	Marsupials	Notoryctemorphia	Notoryctes typhlops	Notoryctes caurinus					2	Chordata	VGP
54	Marsupials	Microbiotheria	Dromiciops gliroides			mDroGli1			4	Chordata	VGP
55	Marsupials	Didelphimorphia	Monodelphis domestica						3	Chordata	VGP
56	Marsupials	Paucituberculata	Lestoros inca						2	Chordata	VGP
57	Monotremes	Monotremata	Ornithorhynchus anatinus	Achyglossus aculeatus		mOrnAna1	mTacAcu1		4	Chordata	VGP
58	Core landbirds	Passeriformes (Oscines)	Taeniopygia guttata	Corvus brachyrhynchos/ Ailurodeus buccoides	Geospiza fortis	bTaeGut1.4, bTaeGut1			4	Chordata	VGP
59	Core landbirds	Passeriformes (Suboscines)	Chiroxiphia lanceolata	Manacus vitellinus		bChiLan1			4	Chordata	VGP
60	Core landbirds	Passeriformes (Acanthisitti)	Acanthisitta chloris			bAcaChl1			4	Chordata	VGP
61	Core landbirds	Psittaciformes	Strigops habroptilus	Melopsittacus undulatus	Aratinga solstitialis	bStrHab1			4	Chordata	VGP
62	Core landbirds	Falconiformes	Falco rusticolus	Falco peregrinus	Falco naumanni	bFalRus1			4	Chordata	VGP
63	Core landbirds	Cariamiformes	Cariama cristata			bCarCri1			4	Chordata	VGP
64	Core landbirds	Piciformes	Picoides pubescens	Picus viridis	Pogoniulus pusillus	bDryPub1		bPogPus1	4	Chordata	VGP
65	Core landbirds	Coraciiformes	Merops nubicus	Todiramphus cinnamominus		bMerNub1	bTodCin1		4	Chordata	VGP
66	Core landbirds	Bucerotiformes	Bucorvus abyssinicus			bBucAby1			4	Chordata	VGP
67	Core landbirds	Trogoniformes	Trogon surrucura	Apaloderma vittatum		bTroSur1			4	Chordata	VGP
68	Core landbirds	Leptosomiiformes	Leptosomus discolor						2	Chordata	VGP
69	Core landbirds	Coliiformes	Colius striatus						3	Chordata	VGP
70	Core landbirds	Strigiformes	Tyto alba						3	Chordata	VGP
71	Core landbirds	Accipitriformes	Aquila chrysaetos	Haliaeetus leucocephalus	Pandion cristatus	bAquChr1			4	Chordata	VGP
72	Core landbirds	Cathartiformes	Gypaetus barbatus	Cathartes aura	Sagittarius serpentarius				3	Chordata	VGP
73	Core waterbirds	Pelecaniformes (Pelecanidae)	Pelecanus crispus						3	Chordata	VGP
74	Core waterbirds	Pelicaniformes (Ardeidae)	Egretta garzetta						3	Chordata	VGP
75	Core waterbirds	Pelicaniformes (Threskiornithidae)	Theristicus caerulescens	Nipponia nippon		bTheCae1			4	Chordata	VGP
76	Core waterbirds	Pelicaniformes (Phalacrocoracidae)	Phalacrocorax carbo						3	Chordata	VGP
77	Core waterbirds	Suliformes	Morus bassanus	Fregata magnificens	Sula nebouxii				3	Chordata	VGP
78	Core waterbirds	Ciconiiformes	Ciconia maguari			bCicMag1			4	Chordata	VGP
79	Core waterbirds	Procellariiformes	Fulmarus glacialis						3	Chordata	VGP
80	Core waterbirds	Sphenisciformes	Spheniscus humboldti	Aptenodytes forsteri	Eudyptes chrysocome	bSphHub1			3	Chordata	VGP
81	Core waterbirds	Gaviiformes	Gavia stellata						3	Chordata	VGP
83	Core waterbirds	Eurypgiformes	Rhynochetos jubatus	Eurypyga helias		bRhyJub1			3	Chordata	VGP
84	Core waterbirds	Charadriiformes	Pluvialis apricaria	Alca Torda	Sterna hirundo	bPluApr1	bAlcTor1		4	Chordata	VGP
86	Core waterbirds	Opisthocomiformes	Opisthocomus hoazin						2	Chordata	VGP
87	Caprimulgimorphae	Trochiliformes	Calypte anna			bCalAnn1			4	Chordata	VGP
88	Caprimulgimorphae	Apodiformes	Apus apus	Chaetura pelagica					4	Chordata	VGP
89	Caprimulgimorphae	Apodiformes (Hemiprocnidae)	Hemiprocne comata			bHemCom1			4	Chordata	VGP
90	Caprimulgimorphae	Caprimulgiformes	Caprimulgus europaeus	Antrostomus carolinensis		bCapEur3			4	Chordata	VGP
91	Caprimulgimorphae	Caprimulgiformes (Aegothelidae)	Aegotheles insignis						2	Chordata	VGP
92	Caprimulgimorphae	Caprimulgiformes (Podargidae)	Podargus strigoides			bPodStr1			3	Chordata	VGP
93	Caprimulgimorphae	Caprimulgiformes (Steatornithidae)	Steatornis caripensis						3	Chordata	VGP
94	Caprimulgimorphae	Caprimulgiformes (Nyctibiidae)	Nyctibius grandis			bNycGra1			4	Chordata	VGP
95	Otidimorphae	Otidiformes	Otis tarda	Chlamydotis macqueenii					3	Chordata	VGP
96	Otidimorphae	Musophagiformes	Tauraco erythrolophus			bTauEry1			4	Chordata	VGP
97	Otidimorphae	Cuculiformes	Cuculus canorus			bCucCan1			4	Chordata	VGP
