superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Afrotheria	Proboscidea	Loxodonta africana		Collosal	VGP	Chordata	VGP						
Afrotheria	Hyracoidea	Heterohyrax brucei	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Afrotheria	Sirenia	Dugong dugon	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Afrotheria	Macroscelidea	Rhynchocyon cirnei	in_progress			Chordata	VGP	VGP	VGP	VGP			
Afrotheria	Afrosoricida (Tenrecidae)	Microgale cowani	in_progress			Chordata	VGP	VGP	VGP	VGP			
Afrotheria	Afrosoricida (Chrysochloridae)	Amblysomus hottentotus				Chordata	VGP						
Afrotheria	Tubulidentata	Orycteropus afer				Chordata	VGP						
Xenarthra	Cingulata	Dasypus novemcinctus	open	VGP	BRAIN	Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Homo sapiens	open	VGP	HPRC	Chordata	VGP	VGP	VGP	VGP	VGP		
		Homo sapiens		VGP	HPRC	Chordata	VGP						
		Homo sapiens		T2T		Chordata	VGP						
		Homo sapiens		HPRC		Chordata	VGP						
		Homo sapiens		HPRC		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pan troglodytes		T2T		Chordata	VGP						
		Pan troglodytes		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pan paniscus		T2T		Chordata	VGP						
		Pan paniscus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Pongo pygmaeus		T2T		Chordata	VGP						
		Pongo pygmaeus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Symphalangus syndactylus		T2T		Chordata	VGP						
		Symphalangus syndactylus		T2T		Chordata	VGP						
Supraprimates (Euarchontoglires)	Primates (Platyrrhines)	Callithrix jacchus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
		Callithrix jacchus		VGP		Chordata	VGP						
Supraprimates (Euarchontoglires)	Dermoptera	Cynocephalus volans	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Supraprimates (Euarchontoglires)	Rodentia (Muridae, Arvicanthis)	Arvicanthis niloticus		VGP		Chordata	VGP						
		Arvicanthis niloticus				Chordata	VGP						
Supraprimates (Euarchontoglires)	Rodentia (Dipodidae)	Jaculus jaculus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
		Jaculus jaculus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Tursiops truncatus		VGP	Cetacean GP	Chordata	VGP						
		Tursiops truncatus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Kogiidae)	Kogia breviceps		Cetacean GP		Chordata	VGP						
		Kogia breviceps				Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Meles meles		DToL		Chordata	VGP						
		Meles meles		DToL		Chordata	VGP						
Laurasiatheria	Pholidota	Manis pentadactyla	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Peramelemorphia	Macrotis lagotis	in_progress			Chordata	VGP	VGP	VGP	VGP			
