taxon_id	input	rank
9622	Lycaon pictus	species
161592	Syngnathus typhle	species
206126	Spinachia spinachia	species
321072	Polyboroides typus	species
504327	Emberiza tahapisi	species
30532	Dama dama	species
9615	Canis lupus familiaris	subspecies
407818	Stegodyphus africanus	species
190660	Aechmophorus clarkii	species
345573	Podiceps cristatus	species
304662	Oreotrochilus chimborazo	species
689208	Chalcostigma stanleyi	species
86267	Cranioleuca antisiensis	species
279547	Cinclodes excelsior	species
62261	Xenodacnis parina	species
66406	Metallura baroni	species
311354	Turdus fuscater	species
